osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,tunnel,bridge
210122912,True,MEX 110,Boulevard Euquerio Guerrero,primary,False,101.923,"LINESTRING (-101.2848385 20.9947075, -101.284781 20.9954182, -101.2847744 20.995622)",,,,
885841057,True,,,primary_link,False,29.790999999999997,"LINESTRING (-101.2853929 20.9971675, -101.2855473 20.9971562, -101.2856747 20.9971236)",,,,
"[890034369, 890034370, 1068971163, 335981325]",True,MEX 110,Boulevard Euquerio Guerrero,primary,False,296.46700000000004,"LINESTRING (-101.2853929 20.9971675, -101.285322 20.9970823, -101.2851934 20.9968258, -101.2851423 20.9966616, -101.2850691 20.996456, -101.2849331 20.9961207, -101.2848754 20.9958891, -101.2848473 20.9957476, -101.2848419 20.9955235, -101.2848486 20.9953326, -101.284934 20.9946049)","['3', '1']","['40', '50']",yes,
210118176,True,MEX 110,Carretera Libre Guanajuato - Silao,primary,False,39.863,"LINESTRING (-101.2884994 20.996294, -101.2888774 20.9962309)",2,60,,
210118333,True,MEX 110,Glorieta El Laurel,secondary,False,45.214,"LINESTRING (-101.2884994 20.996294, -101.2885424 20.9962381, -101.2885626 20.9961861, -101.2885669 20.9961284, -101.2885496 20.9960587, -101.2885347 20.9959907, -101.2885001 20.9959135)",,,,
210118176,True,MEX 110,Carretera Libre Guanajuato - Silao,primary,False,385.978,"LINESTRING (-101.2896386 20.9961356, -101.2897402 20.9961139, -101.2899382 20.9960655, -101.2901351 20.9959836, -101.2905062 20.9957618, -101.290695 20.9956475, -101.290899 20.9955026, -101.2910318 20.9953884, -101.2912099 20.9951836, -101.2917697 20.994581, -101.2919046 20.9944421, -101.2920562 20.9942913, -101.2922079 20.9941669, -101.2924155 20.9940238, -101.292474 20.993985)",2,60,,
713458339,False,,Callejón Arroyo de la Bolsa,residential,True,109.08700000000002,"LINESTRING (-101.2896386 20.9961356, -101.2895738 20.9963985, -101.2895068 20.9966014, -101.2894075 20.9969794, -101.2894017 20.997031, -101.2894169 20.9970871)",,,,
210118269,True,MEX 110,Carretera a Marfil,primary_link,False,28.003,"LINESTRING (-101.2885001 20.9959135, -101.288401 20.9957412, -101.2883692 20.9956934)",,,,
1068971161,True,MEX 110,Glorieta El Laurel,secondary,False,27.326,"LINESTRING (-101.2885001 20.9959135, -101.2883931 20.995829, -101.2883382 20.9957939, -101.2882911 20.9957647)",,,,
189429846,True,,,primary_link,False,11.34,"LINESTRING (-101.2883692 20.9956934, -101.2882911 20.9957647)",,,,
210118269,True,MEX 110,Carretera a Marfil,primary_link,False,20.303,"LINESTRING (-101.2883692 20.9956934, -101.288236 20.9955597)",,,,
