osmid,ref,name,highway,oneway,reversed,length,geometry
650384141,,Andador Subteniente,residential,False,False,111.12299999999999,"LINESTRING (-92.9187747 17.9133807, -92.9180913 17.9134455, -92.9180717 17.9134335, -92.9180855 17.9132491, -92.9180773 17.9131105)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,False,4.339,"LINESTRING (-92.9180371 17.9131028, -92.9180773 17.9131105)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,True,53.43,"LINESTRING (-92.9180371 17.9131028, -92.9175393 17.913022)"
650384143,,,residential,False,True,40.916,"LINESTRING (-92.9180371 17.9131028, -92.9180442 17.9127349)"
650384144,,Andador El Torrete,residential,False,False,41.153,"LINESTRING (-92.9199945 17.9130598, -92.9199944 17.9126897)"
650384144,,Andador El Torrete,residential,False,True,53.142,"LINESTRING (-92.9199945 17.9130598, -92.9200002 17.913263, -92.9200096 17.9135375)"
650384130,,Andador El Cabo,residential,False,False,31.066,"LINESTRING (-92.9198506 17.9139583, -92.9195594 17.9139941)"
650384130,,Andador El Cabo,residential,False,True,70.382,"LINESTRING (-92.9198506 17.9139583, -92.9205079 17.913861)"
650384147,,Calle Torreta,residential,False,False,42.191,"LINESTRING (-92.9198506 17.9139583, -92.9197573 17.9135894)"
650384137,,Privada Segunda Cerrada de Benito Juárez,residential,False,False,65.664,"LINESTRING (-92.9186901 17.9153104, -92.918071 17.9153518)"
650295983,,Cerrada Segunda Cerrada de Benito Juárez,residential,False,False,77.227,"LINESTRING (-92.918071 17.9153518, -92.9181064 17.9160455)"
650384137,,Privada Segunda Cerrada de Benito Juárez,residential,False,True,65.664,"LINESTRING (-92.918071 17.9153518, -92.9186901 17.9153104)"
650295983,,Cerrada Segunda Cerrada de Benito Juárez,residential,False,True,22.933,"LINESTRING (-92.918071 17.9153518, -92.9180682 17.915212, -92.9180695 17.9151456)"
650384133,,Calle Antonio Jiménez Palomeque,residential,False,False,68.117,"LINESTRING (-92.9180695 17.9151456, -92.9174404 17.9152758)"
650295983,,Cerrada Segunda Cerrada de Benito Juárez,residential,False,False,22.933,"LINESTRING (-92.9180695 17.9151456, -92.9180682 17.915212, -92.918071 17.9153518)"
650295983,,Cerrada Segunda Cerrada de Benito Juárez,residential,False,True,111.851,"LINESTRING (-92.9180695 17.9151456, -92.9180724 17.9149536, -92.9189203 17.9148464)"
650384138,,Andador El Sector,residential,False,False,31.011,"LINESTRING (-92.9187133 17.9127186, -92.9184204 17.9127085)"
650384138,,Andador El Sector,residential,False,True,135.585,"LINESTRING (-92.9187133 17.9127186, -92.9199944 17.9126897)"
650384154,,Calle Pagador,residential,False,False,58.326,"LINESTRING (-92.9187133 17.9127186, -92.9187606 17.9132412)"
650384125,,Calle Pagador,residential,False,False,41.784,"LINESTRING (-92.9188915 17.914091, -92.9188294 17.9137199)"
650384130,,Andador El Cabo,residential,False,False,33.51,"LINESTRING (-92.9188915 17.914091, -92.9185804 17.9141475)"
650384130,,Andador El Cabo,residential,False,True,71.483,"LINESTRING (-92.9188915 17.914091, -92.9195594 17.9139941)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,False,29.113,"LINESTRING (-92.9197393 17.9134885, -92.9200096 17.9135375)"
650384147,,Calle Torreta,residential,False,True,11.38,"LINESTRING (-92.9197393 17.9134885, -92.9197573 17.9135894)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,True,107.189,"LINESTRING (-92.9197393 17.9134885, -92.9195644 17.9134558, -92.9187606 17.9132412)"
415345768,,Andador El Agente,residential,False,False,66.111,"LINESTRING (-92.9192634 17.9144516, -92.918645 17.9145368)"
415345768,,Andador El Agente,residential,False,True,38.262,"LINESTRING (-92.9192634 17.9144516, -92.9196188 17.914388)"
650384149,,,residential,False,False,15.874,"LINESTRING (-92.9192634 17.9144516, -92.9192825 17.9145932)"
415345768,,Andador El Agente,residential,False,False,56.66,"LINESTRING (-92.918645 17.9145368, -92.9181145 17.9146064)"
415345768,,Andador El Agente,residential,False,True,66.111,"LINESTRING (-92.918645 17.9145368, -92.9192634 17.9144516)"
650384139,,,residential,False,False,43.825,"LINESTRING (-92.918645 17.9145368, -92.9185804 17.9141475)"
650384138,,Andador El Sector,residential,False,True,31.011,"LINESTRING (-92.9184204 17.9127085, -92.9187133 17.9127186)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,True,73.743,"LINESTRING (-92.9187606 17.9132412, -92.9180773 17.9131105)"
650384125,,Calle Pagador,residential,False,True,15.583,"LINESTRING (-92.9187606 17.9132412, -92.9187747 17.9133807)"
650384154,,Calle Pagador,residential,False,True,58.326,"LINESTRING (-92.9187606 17.9132412, -92.9187133 17.9127186)"
146950092,,Avenida Mayor Hipólito Lara Barrueta,residential,False,False,107.189,"LINESTRING (-92.9187606 17.9132412, -92.9195644 17.9134558, -92.9197393 17.9134885)"
415345776,,Privada Leandro León Arévalo,residential,False,True,57.748,"LINESTRING (-92.9179993 17.9148181, -92.9174535 17.9148187)"
650714565,,,residential,False,True,57.283,"LINESTRING (-92.9156283 17.915474, -92.9150987 17.915581)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,True,76.379,"LINESTRING (-92.9150987 17.915581, -92.9152492 17.9149092)"
650714565,,,residential,False,False,57.283,"LINESTRING (-92.9150987 17.915581, -92.9156283 17.915474)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,False,97.39599999999999,"LINESTRING (-92.9150987 17.915581, -92.9150717 17.9157017, -92.9149435 17.9161973, -92.9148528 17.9164235)"
650714575,,Calle Principal,residential,False,False,50.038,"LINESTRING (-92.9139608 17.910613, -92.9138941 17.9101675)"
650714575,,Calle Principal,residential,False,True,7.489,"LINESTRING (-92.9139608 17.910613, -92.913968 17.91068)"
650715545,,Cerrada Chachacha,residential,False,False,145.895,"LINESTRING (-92.9139608 17.910613, -92.912643 17.9109992)"
650714571,,Privada Fenasib,residential,False,True,74.052,"LINESTRING (-92.913968 17.91068, -92.9146586 17.9105719)"
650714575,,Calle Principal,residential,False,False,7.489,"LINESTRING (-92.913968 17.91068, -92.9139608 17.910613)"
650714575,,Calle Principal,residential,False,True,47.977,"LINESTRING (-92.913968 17.91068, -92.9140345 17.9111068)"
650714581,,,residential,False,True,144.571,"LINESTRING (-92.9160262 17.9114259, -92.916221 17.9114696, -92.9161545 17.9117686, -92.9165109 17.9117607, -92.9165485 17.9122242)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,True,144.143,"LINESTRING (-92.9165485 17.9122242, -92.9177275 17.9115747)"
35927531,MEX 195,Carretera Parrilla - Huapinol,secondary,False,False,172.199,"LINESTRING (-92.9165485 17.9122242, -92.916328 17.9123379, -92.916019 17.9125584, -92.9158474 17.9127463, -92.9157015 17.9130076, -92.9155847 17.9133894)"
650714581,,,residential,False,False,144.571,"LINESTRING (-92.9165485 17.9122242, -92.9165109 17.9117607, -92.9161545 17.9117686, -92.916221 17.9114696, -92.9160262 17.9114259)"
146950054,,Avenida Frutales,residential,False,False,13.004,"LINESTRING (-92.9141338 17.912023, -92.9141219 17.9119066)"
146950054,,Avenida Frutales,residential,False,True,91.997,"LINESTRING (-92.9141338 17.912023, -92.9142361 17.9128446)"
650714569,,,residential,False,False,41.448,"LINESTRING (-92.9141338 17.912023, -92.9137508 17.9121013)"
415345801,,Calle 11,residential,False,False,46.973,"LINESTRING (-92.9122009 17.911089, -92.9117738 17.9112043)"
415345801,,Calle 11,residential,False,True,46.958,"LINESTRING (-92.9122009 17.911089, -92.9126256 17.9109664)"
650714576,,Calle 1,residential,False,False,67.828,"LINESTRING (-92.9122009 17.911089, -92.9119902 17.9105129)"
146950095,,Calle 4,residential,False,True,32.982,"LINESTRING (-92.9115393 17.9105269, -92.9116369 17.9108086)"
650714570,,,residential,False,True,24.2,"LINESTRING (-92.9165649 17.9138943, -92.9165416 17.9141108)"
650384127,,Privada Manuel Rodríguez Cornelio,residential,False,False,36.133,"LINESTRING (-92.9165649 17.9138943, -92.9165515 17.9138892, -92.9162312 17.9138262)"
650384127,,Privada Manuel Rodríguez Cornelio,residential,False,True,24.663999999999998,"LINESTRING (-92.9165649 17.9138943, -92.9166228 17.9139027, -92.9167953 17.913928)"
650714574,,,residential,False,True,70.12,"LINESTRING (-92.9139632 17.9143617, -92.9140903 17.9137428)"
650714566,,,residential,False,False,63.966,"LINESTRING (-92.9167642 17.9145025, -92.9167953 17.913928)"
650714569,,,residential,False,True,41.448,"LINESTRING (-92.9137508 17.9121013, -92.9141338 17.912023)"
650295988,,Privada Benito Juárez,residential,False,True,46.661,"LINESTRING (-92.916212 17.915952, -92.9162814 17.9163664)"
650714578,,,residential,False,True,23.22,"LINESTRING (-92.916212 17.915952, -92.9164249 17.9159013)"
650295988,,Privada Benito Juárez,residential,False,False,61.029,"LINESTRING (-92.916212 17.915952, -92.9161892 17.9158218, -92.9161648 17.9156646, -92.9159006 17.9157224)"
650714577,,,residential,False,False,37.761,"LINESTRING (-92.9162163 17.9141655, -92.9162312 17.9138262)"
146950054,,Avenida Frutales,residential,False,False,91.997,"LINESTRING (-92.9142361 17.9128446, -92.9141338 17.912023)"
146950054,,Avenida Frutales,residential,False,True,93.557,"LINESTRING (-92.9142361 17.9128446, -92.9143368 17.9136805)"
650714584,,,residential,False,True,52.672,"LINESTRING (-92.9142361 17.9128446, -92.9137555 17.9129681)"
650714583,,,residential,False,False,76.017,"LINESTRING (-92.9156575 17.9101521, -92.9152896 17.9107393)"
650714584,,,residential,False,False,52.672,"LINESTRING (-92.9137555 17.9129681, -92.9142361 17.9128446)"
650714576,,Calle 1,residential,False,True,67.828,"LINESTRING (-92.9119902 17.9105129, -92.9122009 17.911089)"
650714575,,Calle Principal,residential,False,False,47.977,"LINESTRING (-92.9140345 17.9111068, -92.913968 17.91068)"
650714579,,Calle Bolero,residential,False,False,136.257,"LINESTRING (-92.9140345 17.9111068, -92.9127881 17.911415)"
650714575,,Calle Principal,residential,False,True,57.394999999999996,"LINESTRING (-92.9140345 17.9111068, -92.914086 17.9115207, -92.914073 17.9116193)"
650714568,,,residential,False,False,47.927,"LINESTRING (-92.9152896 17.9107393, -92.9150344 17.9110954)"
650714583,,,residential,False,True,76.017,"LINESTRING (-92.9152896 17.9107393, -92.9156575 17.9101521)"
650714571,,Privada Fenasib,residential,False,False,94.81,"LINESTRING (-92.9152896 17.9107393, -92.9152755 17.910481, -92.9146586 17.9105719)"
415345847,,Calle Frutales,residential,False,False,48.619,"LINESTRING (-92.914585 17.9111866, -92.9150344 17.9110954)"
650714580,,Privada Parrillas,residential,False,False,59.173,"LINESTRING (-92.914585 17.9111866, -92.9146304 17.911717)"
415345847,,Calle Frutales,residential,False,True,25.036,"LINESTRING (-92.914585 17.9111866, -92.9144226 17.911215, -92.9143518 17.9112245)"
