osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed
865136423,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,10.323,"LINESTRING (-99.1586457 19.3811337, -99.1585492 19.3811155)",
918958782,True,3,EJE 1 PTE,Avenida Cuauhtémoc,primary,False,167.794,"LINESTRING (-99.1586457 19.3811337, -99.1591091 19.3796894)",
569716817,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,17.113,"LINESTRING (-99.1579535 19.3810007, -99.1577932 19.3809721)",
569716816,True,2,,Avenida Universidad,secondary,False,159.07299999999998,"LINESTRING (-99.1579535 19.3810007, -99.1586089 19.3799241, -99.1586171 19.3798739, -99.158601 19.3798207, -99.1585323 19.3797689)",
569407576,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,78.857,"LINESTRING (-99.1564192 19.3807507, -99.1556802 19.3806205)",
617237559,True,2,,Calle Uxmal,residential,False,193.798,"LINESTRING (-99.1564192 19.3807507, -99.1563484 19.3810633, -99.1560215 19.3824527)",40
569407576,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,67.107,"LINESTRING (-99.1556802 19.3806205, -99.1550485 19.380525)",
617237571,True,2,,Calle Xochicalco,residential,False,189.748,"LINESTRING (-99.1556802 19.3806205, -99.1560418 19.3789485)",40
569716815,True,2,,Calle Pilares,residential,False,9.163,"LINESTRING (-99.1599073 19.3765327, -99.1598218 19.3765158)",
569423268,True,3,EJE 1 PTE,Avenida Cuauhtémoc,primary,False,26.298,"LINESTRING (-99.1591091 19.3796894, -99.1591816 19.379463)",
569423271,True,2,,Avenida División del Norte,secondary,False,31.063,"LINESTRING (-99.1591091 19.3796894, -99.1593539 19.3798466)",50
569716825,True,,,Calle San Borja,residential,False,80.977,"LINESTRING (-99.1580781 19.3828728, -99.1588289 19.3830423)",
918958782,True,3,EJE 1 PTE,Avenida Cuauhtémoc,primary,False,202.34900000000002,"LINESTRING (-99.1580781 19.3828728, -99.1583926 19.3818781, -99.1585398 19.381448, -99.1586457 19.3811337)",
25292343,True,2,,,primary_link,False,66.261,"LINESTRING (-99.1593825 19.3787694, -99.1594696 19.3786563, -99.1595708 19.3785797, -99.1596875 19.3785089, -99.159874 19.378408)",
864747304,True,3,EJE 1 PTE,Avenida Cuauhtémoc,primary,False,254.738,"LINESTRING (-99.1593825 19.3787694, -99.1594719 19.3783552, -99.1594965 19.3782533, -99.1599073 19.3765327)",
24720644,True,3,,Avenida Universidad,secondary,False,62.203,"LINESTRING (-99.1588055 19.3792724, -99.1585323 19.3797689)",
865176282,True,2,,Avenida División del Norte,secondary,False,41.278,"LINESTRING (-99.1588055 19.3792724, -99.1588359 19.3794017, -99.1588935 19.3794912, -99.1589492 19.3795528, -99.1589881 19.3795912)",50
866393807,True,3,,Avenida División del Norte,secondary,False,99.03899999999999,"LINESTRING (-99.1593539 19.3798466, -99.1593785 19.3799287, -99.159593 19.3806447, -99.1596107 19.3807037)",50
569422262,True,3,,Avenida División del Norte,secondary,False,25.904,"LINESTRING (-99.1598148 19.3814198, -99.1598792 19.3816447)",50
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,44.103,"LINESTRING (-99.1598148 19.3814198, -99.159409 19.381316)",
569716825,True,,,Calle San Borja,residential,False,73.599,"LINESTRING (-99.1596317 19.383221, -99.1603131 19.3833789)",
684805551,True,1,,Calle Pitágoras,residential,False,149.834,"LINESTRING (-99.1596317 19.383221, -99.1599303 19.3820132, -99.1599578 19.3819091)",
569716825,True,,,Calle San Borja,residential,False,76.48,"LINESTRING (-99.1588289 19.3830423, -99.1595386 19.3832)",
569407382,True,,,Calle San Borja,residential,False,77.472,"LINESTRING (-99.1552998 19.3823046, -99.1560215 19.3824527)",
617237571,True,2,,Calle Xochicalco,residential,False,191.468,"LINESTRING (-99.1552998 19.3823046, -99.1556802 19.3806205)",40
569716823,True,2,,Avenida Universidad,secondary,False,206.101,"LINESTRING (-99.1570183 19.3826308, -99.1579535 19.3810007)",
569716825,True,,,Calle San Borja,residential,False,22.56,"LINESTRING (-99.1570183 19.3826308, -99.1572274 19.3826783)",
"[569716825, 569407382]",True,,,Calle San Borja,residential,False,87.904,"LINESTRING (-99.1560215 19.3824527, -99.1567587 19.3825718, -99.1568463 19.3825917)",
569716825,True,,,Calle San Borja,residential,False,77.637,"LINESTRING (-99.1572274 19.3826783, -99.1579462 19.3828448)",
854204515,True,,,Calle San Borja,residential,False,8.04,"LINESTRING (-99.1603131 19.3833789, -99.1603877 19.3833955)",
4856094,False,4,,Calle Matías Romero,residential,True,63.353,"LINESTRING (-99.1547827 19.3787828, -99.1553808 19.378862)",
617237562,False,2,,Calle Petén,residential,True,296.946,"LINESTRING (-99.1547827 19.3787828, -99.1552816 19.3761541)",
4856096,True,2,,Calle Chichén Itzá,residential,False,77.669,"LINESTRING (-99.1552816 19.3761541, -99.1558631 19.3765865)",40
617237562,False,2,,Calle Petén,residential,False,296.946,"LINESTRING (-99.1552816 19.3761541, -99.1547827 19.3787828)",
617237562,False,2,,Calle Petén,residential,True,71.125,"LINESTRING (-99.1552816 19.3761541, -99.1553888 19.3755225)",
617237562,False,2,,Calle Petén,residential,False,71.125,"LINESTRING (-99.1553888 19.3755225, -99.1552816 19.3761541)",
4856096,True,2,,Calle Chichén Itzá,residential,False,84.341,"LINESTRING (-99.1558631 19.3765865, -99.1564925 19.3770585)",40
617237561,True,2,,Calle Tajín,residential,False,258.033,"LINESTRING (-99.1558631 19.3765865, -99.1553808 19.378862)",
4856094,False,4,,Calle Matías Romero,residential,False,63.353,"LINESTRING (-99.1553808 19.378862, -99.1547827 19.3787828)",
4856094,False,4,,Calle Matías Romero,residential,True,70.0,"LINESTRING (-99.1553808 19.378862, -99.1560418 19.3789485)",
617237561,True,2,,Calle Tajín,residential,False,188.174,"LINESTRING (-99.1553808 19.378862, -99.1550485 19.380525)",
569425228,True,2,,Calle Pilares,residential,False,83.796,"LINESTRING (-99.1575207 19.375998, -99.1567433 19.3758246)",
617237559,True,2,,Calle Uxmal,residential,False,174.904,"LINESTRING (-99.1575207 19.375998, -99.1571648 19.3775347)",40
4856096,True,2,,Calle Chichén Itzá,residential,False,88.803,"LINESTRING (-99.1571648 19.3775347, -99.1578234 19.3780365)",40
617237559,True,2,,Calle Uxmal,residential,False,173.52,"LINESTRING (-99.1571648 19.3775347, -99.1568053 19.3790579)",40
4856094,False,4,,Calle Matías Romero,residential,False,81.006,"LINESTRING (-99.1568053 19.3790579, -99.1560418 19.3789485)",
4856094,False,4,,Calle Matías Romero,residential,True,80.746,"LINESTRING (-99.1568053 19.3790579, -99.1575668 19.3791641)",
617237559,True,2,,Calle Uxmal,residential,False,192.539,"LINESTRING (-99.1568053 19.3790579, -99.1564192 19.3807507)",40
569425228,True,2,,Calle Pilares,residential,False,75.605,"LINESTRING (-99.1567433 19.3758246, -99.1560419 19.3756681)",
4856096,True,2,,Calle Chichén Itzá,residential,False,88.188,"LINESTRING (-99.1564925 19.3770585, -99.1571648 19.3775347)",40
617237571,True,2,,Calle Xochicalco,residential,False,139.703,"LINESTRING (-99.1564925 19.3770585, -99.1567433 19.3758246)",40
4856094,False,4,,Calle Matías Romero,residential,False,70.0,"LINESTRING (-99.1560418 19.3789485, -99.1553808 19.378862)",
4856094,False,4,,Calle Matías Romero,residential,True,81.006,"LINESTRING (-99.1560418 19.3789485, -99.1568053 19.3790579)",
617237571,True,2,,Calle Xochicalco,residential,False,215.411,"LINESTRING (-99.1560418 19.3789485, -99.1564925 19.3770585)",40
854204517,True,,,Calle San Borja,residential,False,7.651,"LINESTRING (-99.1610077 19.3835377, -99.1610783 19.383555)",
25364847,True,1,,Calle Juan Sánchez Azcona,residential,False,267.217,"LINESTRING (-99.1641338 19.3774307, -99.1635328 19.379766)",
102201637,True,2,,Calle Pilares,tertiary,False,83.934,"LINESTRING (-99.1641338 19.3774307, -99.1633582 19.3772451)",40
102201637,True,2,,Calle Pilares,tertiary,False,156.995,"LINESTRING (-99.1633582 19.3772451, -99.1626752 19.3770869, -99.1625041 19.3770525, -99.1623991 19.3770346, -99.1622261 19.3770005, -99.1618973 19.37694)",40
865086159,True,2,,Calle Heriberto Frías,residential,False,260.751,"LINESTRING (-99.1633582 19.3772451, -99.163832 19.3753553, -99.16393 19.374963)",
479400997,True,2,,Calle Pilares,tertiary,False,75.82900000000001,"LINESTRING (-99.1618973 19.37694, -99.1616386 19.3768879, -99.1611903 19.3767978)",
479400998,True,1,,Calle José Enrique Pestalozzi,residential,False,266.298,"LINESTRING (-99.1618973 19.37694, -99.1618102 19.3772953, -99.1616676 19.3778771, -99.1615177 19.3784885, -99.1613253 19.3792733)",
4841034,True,2,,Calle Ixcateopan,residential,False,128.24,"LINESTRING (-99.1575668 19.3791641, -99.1578234 19.3780365)",40
4856094,False,4,,Calle Matías Romero,residential,False,80.746,"LINESTRING (-99.1575668 19.3791641, -99.1568053 19.3790579)",
4856094,False,4,,Calle Matías Romero,residential,True,62.805,"LINESTRING (-99.1575668 19.3791641, -99.1581591 19.3792467)",
4841034,True,2,,Calle Ixcateopan,residential,False,213.325,"LINESTRING (-99.1578234 19.3780365, -99.1582539 19.3761615)",40
4856096,True,2,,Calle Chichén Itzá,residential,False,73.713,"LINESTRING (-99.1578234 19.3780365, -99.1583696 19.3784536)",40
569425223,True,2,,Calle Ixcateopan,residential,False,43.338,"LINESTRING (-99.1582539 19.3761615, -99.158331 19.3757786)",40
569425225,True,2,,Avenida División del Norte,secondary,False,151.942,"LINESTRING (-99.1582539 19.3761615, -99.1586716 19.3774699)",50
1175238203,True,2,,Calle Pilares,residential,False,79.03,"LINESTRING (-99.1582539 19.3761615, -99.1575207 19.375998)",
4841034,True,2,,Calle Ixcateopan,residential,False,194.769,"LINESTRING (-99.1571752 19.3808763, -99.1575668 19.3791641)",40
569407576,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,80.52,"LINESTRING (-99.1571752 19.3808763, -99.1564192 19.3807507)",
569425228,True,2,,Calle Pilares,residential,False,70.396,"LINESTRING (-99.1560419 19.3756681, -99.1553888 19.3755225)",
617237561,True,2,,Calle Tajín,residential,False,103.83,"LINESTRING (-99.1560419 19.3756681, -99.1558631 19.3765865)",
617237564,True,2,,Calle Tenayuca,residential,False,113.878,"LINESTRING (-99.1586716 19.3774699, -99.1583696 19.3784536)",40
"[864658611, 617237565]",True,"['4', '3']",,Avenida División del Norte,secondary,False,208.011,"LINESTRING (-99.1586716 19.3774699, -99.1589639 19.3783026, -99.1589869 19.3784848, -99.1589651 19.3786986, -99.1589375 19.3787805, -99.1588344 19.3790871, -99.1588267 19.37911, -99.1588055 19.3792724)",50
4841049,False,2,,Calle Tenayuca,residential,False,99.628,"LINESTRING (-99.1590308 19.3763331, -99.1587472 19.3771882)",40
569716815,True,2,,Calle Pilares,residential,False,62.578,"LINESTRING (-99.1590308 19.3763331, -99.1584494 19.376207)",
39600726,True,2,,Calle Anaxágoras,residential,False,71.296,"LINESTRING (-99.1596107 19.3807037, -99.159409 19.381316)",
1177452999,True,3,,Avenida División del Norte,secondary,False,82.455,"LINESTRING (-99.1596107 19.3807037, -99.1598148 19.3814198)",50
39600726,True,2,,Calle Anaxágoras,residential,False,22.622,"LINESTRING (-99.159409 19.381316, -99.1593444 19.3815101)",
865136423,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,82.592,"LINESTRING (-99.159409 19.381316, -99.1589917 19.3812147, -99.1586457 19.3811337)",
396053573,True,2,,Calle Matías Romero,residential,False,9.201,"LINESTRING (-99.1605165 19.379092, -99.1606019 19.3791109)",
865157784,False,2,,Calle Matías Romero,residential,True,58.84,"LINESTRING (-99.1605165 19.379092, -99.1599705 19.3789707)",
865157784,False,2,,Calle Matías Romero,residential,False,58.84,"LINESTRING (-99.1599705 19.3789707, -99.1605165 19.379092)",
396053573,True,2,,Calle Matías Romero,residential,False,79.426,"LINESTRING (-99.1627948 19.3796062, -99.1635328 19.379766)",
617252036,True,2,,Calle Heriberto Frías,residential,False,269.119,"LINESTRING (-99.1627948 19.3796062, -99.1629812 19.3788217, -99.1631267 19.3781816, -99.1633582 19.3772451)",
4856094,False,4,,Calle Matías Romero,residential,False,33.468,"LINESTRING (-99.1584755 19.3792855, -99.1581591 19.3792467)",
4856094,False,4,,Calle Matías Romero,residential,False,62.805,"LINESTRING (-99.1581591 19.3792467, -99.1575668 19.3791641)",
4856094,False,4,,Calle Matías Romero,residential,True,33.468,"LINESTRING (-99.1581591 19.3792467, -99.1584755 19.3792855)",
617237564,True,2,,Calle Tenayuca,residential,False,174.762,"LINESTRING (-99.1581591 19.3792467, -99.1581055 19.3794596, -99.1578655 19.3805354, -99.1578594 19.3806085, -99.1578714 19.3806974, -99.1579053 19.3807821)",40
617237564,True,2,,Calle Tenayuca,residential,False,90.911,"LINESTRING (-99.1583696 19.3784536, -99.1581591 19.3792467)",40
569716825,True,,,Calle San Borja,residential,False,18.558,"LINESTRING (-99.1568463 19.3825917, -99.1570183 19.3826308)",
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,79.994,"LINESTRING (-99.1622256 19.3819425, -99.1614816 19.3817845)",
617252036,True,2,,Calle Heriberto Frías,residential,False,90.90100000000001,"LINESTRING (-99.1622256 19.3819425, -99.1622468 19.3818567, -99.1624221 19.3811463)",
396053581,True,2,,Calle Nicolás San Juan,residential,False,88.462,"LINESTRING (-99.1636865 19.3822616, -99.1638695 19.381485)",
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,157.297,"LINESTRING (-99.1636865 19.3822616, -99.1627684 19.3820564, -99.1622256 19.3819425)",
854204513,True,,,Calle San Borja,residential,False,14.034,"LINESTRING (-99.1603877 19.3833955, -99.1605186 19.3834216)",
865416029,True,3,,Avenida División del Norte,secondary,False,24.066,"LINESTRING (-99.159948 19.3814488, -99.1598938 19.3812385)",
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,14.339,"LINESTRING (-99.159948 19.3814488, -99.1598148 19.3814198)",
854204516,True,2,,Avenida División del Norte,secondary,False,45.92,"LINESTRING (-99.1605186 19.3834216, -99.1604061 19.3830225)",
854204517,True,,,Calle San Borja,residential,False,52.902,"LINESTRING (-99.1605186 19.3834216, -99.1610077 19.3835377)",
25292229,True,,,Calle Enrique Rébsamen,residential,False,189.762,"LINESTRING (-99.1614816 19.3817845, -99.1610768 19.3834478)",
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,78.887,"LINESTRING (-99.1614816 19.3817845, -99.1607492 19.3816233)",
569422286,True,1,,José Enrique Pestalozzi,residential,False,14.756,"LINESTRING (-99.1603461 19.3832499, -99.1603131 19.3833789)",
854203038,True,2,,Avenida División del Norte,secondary,False,16.768,"LINESTRING (-99.1603461 19.3832499, -99.1603877 19.3833955)",50
569422281,True,1,,José Enrique Pestalozzi,residential,False,26.057,"LINESTRING (-99.1604061 19.3830225, -99.1603461 19.3832499)",
854203037,True,3,,Avenida División del Norte,secondary,False,38.289,"LINESTRING (-99.1604061 19.3830225, -99.1603104 19.3826902)",
921483348,True,5,EJE 6 SUR,Avenida Ángel Urraza,primary,False,86.252,"LINESTRING (-99.1607492 19.3816233, -99.159948 19.3814488)",
