osmid,oneway,name,highway,reversed,length,lanes,maxspeed,access,geometry
126130394,True,Calle Francisco Javier Mina,residential,False,86.159,,,,"LINESTRING (-99.1445637 23.7396457, -99.1437287 23.7395186)"
126707266,True,Avenida Cristóbal Colón,secondary,False,124.812,2,40,,"LINESTRING (-99.1445637 23.7396457, -99.1446585 23.7385266)"
124808903,True,Boulevard Tamaulipas,tertiary,False,13.091,1,40,,"LINESTRING (-99.1436391 23.7405696, -99.1435235 23.7406212)"
124811095,True,Calle Felipe Berriozábal,secondary,False,14.63,3,60,,"LINESTRING (-99.1436391 23.7405696, -99.1437811 23.74059)"
436013875,False,Boulevard Tamaulipas,secondary,True,250.273,4,60,yes,"LINESTRING (-99.1436391 23.7405696, -99.1434827 23.7426484, -99.1434712 23.7428151)"
124811095,True,Calle Felipe Berriozábal,secondary,False,78.852,3,60,,"LINESTRING (-99.144482 23.7406889, -99.1447288 23.7407211, -99.1452495 23.7407852)"
126707266,True,Avenida Cristóbal Colón,secondary,False,116.301,2,40,,"LINESTRING (-99.144482 23.7406889, -99.1445065 23.7404255, -99.1445198 23.7402641, -99.1445637 23.7396457)"
124808903,True,Boulevard Tamaulipas,tertiary,False,124.60499999999999,1,40,,"LINESTRING (-99.1435235 23.7406212, -99.1435036 23.7408885, -99.1434402 23.7417392)"
131542928,True,Calle Mariano Abasolo,residential,False,89.402,,40,yes,"LINESTRING (-99.1439307 23.7364372, -99.1448042 23.7365212)"
478757648,True,Avenida Juan B. Tijerina,secondary,False,97.976,,50,,"LINESTRING (-99.1439307 23.7364372, -99.1438867 23.7369211, -99.1438584 23.7373158)"
126707266,True,Avenida Cristóbal Colón,secondary,False,102.467,2,40,,"LINESTRING (-99.1447395 23.7374408, -99.1448042 23.7365212)"
126134163,True,Calle General Alberto Carrera Torres,secondary,False,90.765,3,50,,"LINESTRING (-99.1447395 23.7374408, -99.1443646 23.7373818, -99.1438584 23.7373158)"
478757648,True,Avenida Juan B. Tijerina,secondary,False,122.473,,50,,"LINESTRING (-99.1438584 23.7373158, -99.1437803 23.7384149)"
126134163,True,Calle General Alberto Carrera Torres,secondary,False,95.39500000000001,3,50,,"LINESTRING (-99.1438584 23.7373158, -99.1436631 23.7372892, -99.1435088 23.7372705, -99.1429297 23.7372007)"
124810218,True,Calle Ignacio Aldama,tertiary,False,84.165,,,,"LINESTRING (-99.1446585 23.7385266, -99.1454775 23.7386308)"
126707266,True,Avenida Cristóbal Colón,secondary,False,121.016,2,40,,"LINESTRING (-99.1446585 23.7385266, -99.1446937 23.7380694, -99.1447271 23.7376117, -99.1447395 23.7374408)"
124810218,True,Calle Ignacio Aldama,tertiary,False,90.248,,,,"LINESTRING (-99.1437803 23.7384149, -99.1446585 23.7385266)"
478757648,True,Avenida Juan B. Tijerina,secondary,False,122.838,,50,,"LINESTRING (-99.1437803 23.7384149, -99.1437419 23.739239, -99.1437287 23.7395186)"
124811095,True,Calle Felipe Berriozábal,secondary,False,72.184,3,60,,"LINESTRING (-99.1437811 23.74059, -99.144482 23.7406889)"
126432527,True,Calle José Núñez de Cáceres,residential,False,5.526,,,,"LINESTRING (-99.1414644 23.7425886, -99.1414728 23.7425395)"
890016678,True,Olivia Ramírez,residential,False,13.917,2,50,,"LINESTRING (-99.1414644 23.7425886, -99.1416007 23.7425787)"
124815930,False,Calle Olivia Ramírez,residential,False,13.589,2,50,,"LINESTRING (-99.1434712 23.7428151, -99.1436037 23.7428301)"
124815930,False,Calle Olivia Ramírez,residential,True,11.297,2,50,,"LINESTRING (-99.1434712 23.7428151, -99.143361 23.742803)"
436013875,False,Boulevard Tamaulipas,secondary,False,250.273,4,60,yes,"LINESTRING (-99.1434712 23.7428151, -99.1434827 23.7426484, -99.1436391 23.7405696)"
124815930,False,Calle Olivia Ramírez,residential,False,72.651,2,50,,"LINESTRING (-99.1436037 23.7428301, -99.1443124 23.7429079)"
124815930,False,Calle Olivia Ramírez,residential,True,13.589,2,50,,"LINESTRING (-99.1436037 23.7428301, -99.1434712 23.7428151)"
124812489,True,Boulevard Tamaulipas,tertiary,False,123.667,1,40,,"LINESTRING (-99.1436037 23.7428301, -99.1436264 23.7425087, -99.1436571 23.7417964, -99.1436621 23.7417193)"
124815930,False,Calle Olivia Ramírez,residential,False,11.297,2,50,,"LINESTRING (-99.143361 23.742803, -99.1434712 23.7428151)"
124815930,False,Calle Olivia Ramírez,residential,True,90.728,2,50,,"LINESTRING (-99.143361 23.742803, -99.142477 23.7426982)"
124808903,True,Boulevard Tamaulipas,tertiary,False,47.616,1,40,,"LINESTRING (-99.143361 23.742803, -99.1433379 23.7431124, -99.1433305 23.7432303)"
124815930,False,Calle Olivia Ramírez,residential,False,90.178,2,50,,"LINESTRING (-99.1416007 23.7425787, -99.142477 23.7426982)"
890016677,True,Olivia Ramírez,residential,False,13.729,2,50,,"LINESTRING (-99.1416007 23.7425787, -99.1414728 23.7425395)"
124815930,False,Calle Olivia Ramírez,residential,False,44.259,2,50,,"LINESTRING (-99.1450184 23.7429854, -99.1454499 23.7430346)"
124815930,False,Calle Olivia Ramírez,residential,True,72.374,2,50,,"LINESTRING (-99.1450184 23.7429854, -99.1443124 23.7429079)"
124810218,True,Calle Ignacio Aldama,tertiary,False,96.724,,,,"LINESTRING (-99.1454775 23.7386308, -99.1464187 23.7387506)"
126121874,True,Calle Hermanos Vázquez Gómez,residential,False,123.372,,,,"LINESTRING (-99.1454775 23.7386308, -99.1453569 23.7397348)"
124811095,True,Calle Felipe Berriozábal,secondary,False,94.265,3,60,,"LINESTRING (-99.1452495 23.7407852, -99.1461659 23.7409077)"
126121874,True,Calle Hermanos Vázquez Gómez,residential,False,122.438,,,,"LINESTRING (-99.1452495 23.7407852, -99.1451349 23.7418813)"
126121874,True,Calle Hermanos Vázquez Gómez,residential,False,122.26,,,,"LINESTRING (-99.1455569 23.7375337, -99.1454775 23.7386308)"
126134163,True,Calle General Alberto Carrera Torres,secondary,False,83.84,3,50,,"LINESTRING (-99.1455569 23.7375337, -99.1447395 23.7374408)"
126122318,True,Calle Profesor Lauro Aguirre,residential,False,97.997,,,,"LINESTRING (-99.1465161 23.7376578, -99.1465981 23.7367797)"
126134163,True,Calle General Alberto Carrera Torres,secondary,False,98.605,3,50,,"LINESTRING (-99.1465161 23.7376578, -99.1455569 23.7375337)"
124810218,True,Calle Ignacio Aldama,tertiary,False,95.992,,,,"LINESTRING (-99.1464187 23.7387506, -99.1473528 23.7388694)"
126122318,True,Calle Profesor Lauro Aguirre,residential,False,121.918,,,,"LINESTRING (-99.1464187 23.7387506, -99.1465161 23.7376578)"
124811095,True,Calle Felipe Berriozábal,secondary,False,105.386,3,60,,"LINESTRING (-99.1461659 23.7409077, -99.1471931 23.7410266)"
126122318,True,Calle Profesor Lauro Aguirre,residential,False,118.159,,,,"LINESTRING (-99.1461659 23.7409077, -99.1463101 23.7398533)"
124815930,False,Calle Olivia Ramírez,residential,False,38.653,2,50,,"LINESTRING (-99.1459627 23.7430771, -99.14634 23.7431166)"
124815930,False,Calle Olivia Ramírez,residential,True,52.408,2,50,,"LINESTRING (-99.1459627 23.7430771, -99.1454499 23.7430346)"
126122318,True,Calle Profesor Lauro Aguirre,residential,False,70.141,,,,"LINESTRING (-99.1459627 23.7430771, -99.1460201 23.7424485)"
