osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width,tunnel
96160057,True,3,Carretera México-Toluca,secondary,60,False,18.058,"LINESTRING (-99.5141201 19.281381, -99.5142843 19.2814295)",,
96160057,True,3,Carretera México-Toluca,secondary,60,False,29.119999999999997,"LINESTRING (-99.5144095 19.281464, -99.5145895 19.2815129, -99.5146761 19.2815365)",,
96160057,True,3,Carretera México-Toluca,secondary,60,False,176.961,"LINESTRING (-99.5146761 19.2815365, -99.5152067 19.2816907, -99.5152557 19.2817049, -99.5154329 19.2817571, -99.5162862 19.2820087)",,
215297060,False,,Calle 5 de Mayo,secondary,,True,52.809,"LINESTRING (-99.5142094 19.2826037, -99.5141276 19.2830723)",,
365555422,False,,Calle Hermenegildo Galeana,residential,20,False,61.527,"LINESTRING (-99.5142094 19.2826037, -99.5136347 19.2824946)",,
189174103,False,2,Calle 5 de Mayo,secondary,,False,119.732,"LINESTRING (-99.5142094 19.2826037, -99.5143003 19.2820685, -99.5143608 19.2817336, -99.5144019 19.2815425)",,
189199028,True,2,Avenida Reolin Barejon,secondary,,False,101.459,"LINESTRING (-99.5117465 19.2851224, -99.5107856 19.2850227)",,
1069101116,True,2,Avenida Reolin Barejon,secondary,,False,116.714,"LINESTRING (-99.5128217 19.2853903, -99.5117465 19.2851224)",,
215297077,True,1,Calle 5 de Mayo,secondary,,False,118.668,"LINESTRING (-99.5136184 19.2856189, -99.5138336 19.2845712)",,
1069101116,True,2,Avenida Reolin Barejon,secondary,,False,87.396,"LINESTRING (-99.5136184 19.2856189, -99.5128217 19.2853903)",,
189199031,True,3,Avenida Miguel Hidalgo,secondary,,False,74.167,"LINESTRING (-99.5102631 19.2863613, -99.5105459 19.2863778, -99.5107502 19.2863928, -99.5109686 19.2863933)",,
778946304,True,,1ro. de Mayo,residential,20,False,156.85,"LINESTRING (-99.5102631 19.2863613, -99.5102345 19.2870198, -99.5101907 19.2877702)",,
327704229,True,,Calle 5 de Febrero,residential,30,False,72.853,"LINESTRING (-99.512792 19.2864448, -99.5128187 19.2857901)",8,
189199031,True,3,Avenida Miguel Hidalgo,secondary,,False,188.465,"LINESTRING (-99.512792 19.2864448, -99.5131197 19.2864957, -99.5135914 19.286556, -99.5145705 19.2866778)",,
225270795,False,,Calle 5 de Febrero,residential,,True,143.697,"LINESTRING (-99.512792 19.2864448, -99.5127541 19.2866012, -99.5127133 19.287361, -99.5127064 19.2874905, -99.5126954 19.2877317)",,
189199031,True,3,Avenida Miguel Hidalgo,secondary,,False,99.94,"LINESTRING (-99.5157354 19.2867804, -99.5166867 19.28682)",,
234371236,False,,Calle 29 de Marzo,residential,,False,106.61500000000001,"LINESTRING (-99.5157354 19.2867804, -99.5157024 19.2873037, -99.5156921 19.2874324, -99.5156716 19.2877373)",,
215297064,False,,Calle Allende,residential,,True,49.82,"LINESTRING (-99.5146407 19.2842405, -99.5145855 19.2846855)",,
215297067,False,,Prolongación Adrian Ortega,residential,,False,38.159,"LINESTRING (-99.5146407 19.2842405, -99.5142826 19.2841812)",,
215297067,False,,Prolongación Adrian Ortega,residential,,True,26.345,"LINESTRING (-99.5146407 19.2842405, -99.5148899 19.2842689)",,
215297063,False,,Privada 5 de Mayo,residential,,False,76.065,"LINESTRING (-99.5139622 19.2838489, -99.5132508 19.2837183)",,
215297077,True,1,Calle 5 de Mayo,secondary,,False,56.976,"LINESTRING (-99.5139622 19.2838489, -99.5140705 19.2833468)",,
215297067,False,,Prolongación Adrian Ortega,residential,,False,11.146,"LINESTRING (-99.5149947 19.2842851, -99.5148899 19.2842689)",,
