osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,width
776062539,Calle 2 De Abril,tertiary,False,False,49.594,,"LINESTRING (-98.9367322 19.612848, -98.9362621 19.6127948)",,
776062539,Calle 2 De Abril,tertiary,False,True,8.765,,"LINESTRING (-98.9367322 19.612848, -98.936815 19.6128594)",,
776062527,Marcos Achanlomaton,primary,True,False,137.923,MEX 132,"LINESTRING (-98.9367322 19.612848, -98.9366469 19.6132087, -98.9364357 19.6140565)",,
904291602,Marcos Achanlomaton,primary,False,False,75.204,MEX 132,"LINESTRING (-98.9369985 19.6115603, -98.9369094 19.6122314)",,
776057260,Carretera México - Teotihuacán,primary,True,False,180.23799999999997,MEX 132,"LINESTRING (-98.9369985 19.6115603, -98.9371308 19.6108411, -98.937211 19.6106125, -98.9373495 19.6104206, -98.9375055 19.6102939, -98.9377173 19.6101917)",,
225811634,,residential,False,True,10.369,,"LINESTRING (-98.9405895 19.6101821, -98.9405809 19.610275)",,
778037617,Carretera México - Teotihuacán,primary,True,False,129.089,MEX 132,"LINESTRING (-98.9405895 19.6101821, -98.939359 19.6101176)",,
225811697,,residential,False,False,32.371,,"LINESTRING (-98.9400642 19.6121019, -98.9403726 19.6121208)",,
"[225811697, 776062533]",Calle Agustín De Iturbide,residential,False,True,90.28,,"LINESTRING (-98.9400642 19.6121019, -98.9398496 19.6121082, -98.9393453 19.6122067, -98.939214 19.612221)",,
776066742,,residential,False,False,132.761,,"LINESTRING (-98.9400642 19.6121019, -98.939859 19.6120324, -98.938892 19.6116484)",,
225811634,,residential,False,False,206.4,,"LINESTRING (-98.9403726 19.6121208, -98.9405809 19.610275)",,
225811697,,residential,False,True,32.371,,"LINESTRING (-98.9403726 19.6121208, -98.9400642 19.6121019)",,
776067287,Calle Agustín De Iturbide,residential,False,False,96.736,,"LINESTRING (-98.939214 19.612221, -98.9390678 19.61308)",,
"[225811697, 776062533]",Calle Agustín De Iturbide,residential,False,False,90.28,,"LINESTRING (-98.939214 19.612221, -98.9393453 19.6122067, -98.9398496 19.6121082, -98.9400642 19.6121019)",,
"[776062533, 776062534]",Calle Agustín De Iturbide,residential,False,True,241.72,,"LINESTRING (-98.939214 19.612221, -98.9385125 19.6121752, -98.9372882 19.6122311, -98.9369094 19.6122314)",,
776062539,Calle 2 De Abril,tertiary,False,False,50.176,,"LINESTRING (-98.9362621 19.6127948, -98.935786 19.6127449)",,
776062539,Calle 2 De Abril,tertiary,False,True,49.594,,"LINESTRING (-98.9362621 19.6127948, -98.9367322 19.612848)",,
225811644,Calle Los Reyes,residential,False,True,126.652,,"LINESTRING (-98.9362621 19.6127948, -98.9361422 19.6132746, -98.9360391 19.6135564, -98.9359061 19.6138811)",,
225811628,Callejón Del Beso,residential,False,True,186.296,,"LINESTRING (-98.9389481 19.6136819, -98.9371846 19.6134641)",,
225811690,Calle Niño Artillero,residential,False,True,193.853,,"LINESTRING (-98.9389481 19.6136819, -98.9407787 19.6139384)",,
776067287,Calle Agustín De Iturbide,residential,False,False,76.616,,"LINESTRING (-98.9389481 19.6136819, -98.9387598 19.6143477)",,
776067287,Calle Agustín De Iturbide,residential,False,True,68.093,,"LINESTRING (-98.9389481 19.6136819, -98.9390678 19.61308)",,
225811673,Calle Pilitas,residential,False,True,68.607,,"LINESTRING (-98.9407787 19.6139384, -98.9406891 19.6145496)",,
225811690,Calle Niño Artillero,residential,False,False,193.853,,"LINESTRING (-98.9407787 19.6139384, -98.9389481 19.6136819)",,
476117131,Calle Cerezo,residential,False,False,58.801,,"LINESTRING (-98.9364357 19.6140565, -98.9359061 19.6138811)",,
476117131,Calle Cerezo,residential,False,True,8.378,,"LINESTRING (-98.9364357 19.6140565, -98.9365131 19.6140755)",,
776062527,Marcos Achanlomaton,primary,True,False,106.75800000000001,MEX 132,"LINESTRING (-98.9364357 19.6140565, -98.9363211 19.6145964, -98.9362393 19.6149986)",,
476117131,Calle Cerezo,residential,False,False,68.495,,"LINESTRING (-98.9387598 19.6143477, -98.9381069 19.614313)",,
776066743,Privada Cerrada Iturbide,residential,False,True,48.563,,"LINESTRING (-98.9387598 19.6143477, -98.9392179 19.614415)",,
776067287,Calle Agustín De Iturbide,residential,False,True,76.616,,"LINESTRING (-98.9387598 19.6143477, -98.9389481 19.6136819)",,
776067287,Calle Agustín De Iturbide,residential,False,False,84.753,,"LINESTRING (-98.9387598 19.6143477, -98.9386825 19.6148463, -98.9386429 19.6151019)",,
225811673,Calle Pilitas,residential,False,False,68.607,,"LINESTRING (-98.9406891 19.6145496, -98.9407787 19.6139384)",,
225811673,Calle Pilitas,residential,False,True,130.715,,"LINESTRING (-98.9406891 19.6145496, -98.9404613 19.6157054)",,
225811686,Calle Constitución,residential,False,False,123.244,,"LINESTRING (-98.9340681 19.6146386, -98.9352255 19.6148382)",,
225811689,Avenida Del Trabajo,residential,False,False,59.403,,"LINESTRING (-98.9340681 19.6146386, -98.933946 19.6151603)",2,10
225811689,Avenida Del Trabajo,residential,False,True,42.517,,"LINESTRING (-98.9340681 19.6146386, -98.9341264 19.6142602)",2,10
225811637,Calle 2 De Abril,residential,False,False,121.912,,"LINESTRING (-98.9352255 19.6148382, -98.93544 19.6137606)",,
225811686,Calle Constitución,residential,False,False,14.697,,"LINESTRING (-98.9352255 19.6148382, -98.9353649 19.6148533)",,
225811686,Calle Constitución,residential,False,True,123.244,,"LINESTRING (-98.9352255 19.6148382, -98.9340681 19.6146386)",,
225811686,Calle Constitución,residential,False,False,15.66,,"LINESTRING (-98.9353649 19.6148533, -98.9355138 19.614866)",,
225811686,Calle Constitución,residential,False,True,14.697,,"LINESTRING (-98.9353649 19.6148533, -98.9352255 19.6148382)",,
776062530,Avenida Las Granjas,residential,False,True,133.873,,"LINESTRING (-98.9353649 19.6148533, -98.9349371 19.6159878)",,
225811644,Calle Los Reyes,residential,False,False,116.971,,"LINESTRING (-98.9355138 19.614866, -98.9359061 19.6138811)",,
225811686,Calle Constitución,residential,False,False,77.408,,"LINESTRING (-98.9355138 19.614866, -98.9362393 19.6149986)",,
225811686,Calle Constitución,residential,False,True,15.66,,"LINESTRING (-98.9355138 19.614866, -98.9353649 19.6148533)",,
225811686,Calle Constitución,residential,False,True,77.408,,"LINESTRING (-98.9362393 19.6149986, -98.9355138 19.614866)",,
776062527,Marcos Achanlomaton,primary,True,False,178.488,MEX 132,"LINESTRING (-98.9362393 19.6149986, -98.9359589 19.6165819)",,
776062540,Calle Tepozonteco,residential,False,False,9.931,,"LINESTRING (-98.9362393 19.6149986, -98.9363334 19.6150095)",,
476121848,Calle Tepozonteco,residential,False,False,26.125,,"LINESTRING (-98.9386429 19.6151019, -98.9387477 19.6153151)",,
776062540,Calle Tepozonteco,residential,False,True,60.255,,"LINESTRING (-98.9386429 19.6151019, -98.9380677 19.6150935)",,
776067287,Calle Agustín De Iturbide,residential,False,True,84.753,,"LINESTRING (-98.9386429 19.6151019, -98.9386825 19.6148463, -98.9387598 19.6143477)",,
225811654,Calle Paseo De Los Cipreses,residential,False,False,36.517,,"LINESTRING (-98.9337888 19.6157657, -98.9341284 19.61584)",,
225811689,Avenida Del Trabajo,residential,False,False,284.302,,"LINESTRING (-98.9337888 19.6157657, -98.9331775 19.6182568)",2,10
