osmid,highway,oneway,reversed,length,geometry,bridge,name,maxspeed
756012729,unclassified,False,False,78.63,"LINESTRING (-110.4520825 27.3542279, -110.4516694 27.3536234)",,,
317969987,unclassified,False,False,28.601,"LINESTRING (-110.4520825 27.3542279, -110.4521871 27.3543875, -110.4522247 27.3544519)",,,
318020188,residential,False,True,184.09300000000002,"LINESTRING (-110.4520825 27.3542279, -110.4524657 27.3539944, -110.45361 27.3532791)",,,
317969989,residential,False,False,132.209,"LINESTRING (-110.4564317 27.3535989, -110.4572819 27.3545173)",,,
317969989,residential,False,True,96.579,"LINESTRING (-110.4564317 27.3535989, -110.4558443 27.3529045)",,,
754981785,residential,False,False,58.448,"LINESTRING (-110.4564317 27.3535989, -110.4559445 27.3538973)",,,
317969989,residential,False,False,53.055,"LINESTRING (-110.4555418 27.3525102, -110.4558443 27.3529045)",,,
317969988,residential,False,False,167.183,"LINESTRING (-110.4555418 27.3525102, -110.4557973 27.3523339, -110.4558577 27.3523042, -110.4558992 27.3523042, -110.4559797 27.3523363, -110.4560843 27.35244, -110.4561178 27.3524709, -110.4561654 27.3524953, -110.456209 27.3525037, -110.4562406 27.3525049, -110.4562868 27.3524936, -110.4565671 27.3523709, -110.4567294 27.3522541, -110.4568448 27.3521816, -110.4569601 27.3521422)",,,
317969988,residential,False,True,144.595,"LINESTRING (-110.4555418 27.3525102, -110.4551415 27.3527735, -110.4545702 27.353138, -110.4543563 27.3532732)",,,
317969988,residential,False,True,167.18300000000002,"LINESTRING (-110.4569601 27.3521422, -110.4568448 27.3521816, -110.4567294 27.3522541, -110.4565671 27.3523709, -110.4562868 27.3524936, -110.4562406 27.3525049, -110.456209 27.3525037, -110.4561654 27.3524953, -110.4561178 27.3524709, -110.4560843 27.35244, -110.4559797 27.3523363, -110.4558992 27.3523042, -110.4558577 27.3523042, -110.4557973 27.3523339, -110.4555418 27.3525102)",,,
317969983,residential,False,False,63.495,"LINESTRING (-110.4543563 27.3532732, -110.45477 27.3537103)",,,
317969988,residential,False,True,55.49,"LINESTRING (-110.4543563 27.3532732, -110.4538862 27.3535465)",,,
317969988,residential,False,False,144.595,"LINESTRING (-110.4543563 27.3532732, -110.4545702 27.353138, -110.4551415 27.3527735, -110.4555418 27.3525102)",,,
317969989,residential,False,False,96.579,"LINESTRING (-110.4558443 27.3529045, -110.4564317 27.3535989)",,,
317969989,residential,False,True,53.055,"LINESTRING (-110.4558443 27.3529045, -110.4555418 27.3525102)",,,
317969984,residential,False,False,71.46799999999999,"LINESTRING (-110.4558443 27.3529045, -110.4554342 27.3531707, -110.4553863 27.3532047, -110.4553641 27.3532291, -110.4553366 27.3532654, -110.4553004 27.3533184)",,,
