osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,ref,maxspeed,tunnel
912412638,True,Avenida 1a Sur Poniente,tertiary,False,90.197,,"LINESTRING (-93.1206053 16.7532603, -93.119768 16.7531372)",,,,
361586710,False,Avenida 5a. Norte Oriente,secondary,True,77.337,4,"LINESTRING (-93.1136518 16.7578072, -93.1143757 16.7578643)",,,,
361586710,False,Avenida 5a. Norte Oriente,secondary,False,93.85499999999999,4,"LINESTRING (-93.1136518 16.7578072, -93.1133025 16.7577832, -93.1127722 16.7577522)",,,,
942384570,False,Avenida 5a Norte Poniente,secondary,True,94.803,4,"LINESTRING (-93.1153577 16.7579865, -93.1162294 16.7581603)",,,,
"[912799753, 361586709, 361586710]",False,Avenida 5a. Norte Oriente,secondary,False,105.437,4,"LINESTRING (-93.1153577 16.7579865, -93.1149902 16.7579385, -93.1149843 16.7579378, -93.1148113 16.7579169, -93.1147993 16.7579155, -93.1143757 16.7578643)",yes,,,
361586710,False,Avenida 5a. Norte Oriente,secondary,False,77.337,4,"LINESTRING (-93.1143757 16.7578643, -93.1136518 16.7578072)",,,,
"[912799753, 361586709, 361586710]",False,Avenida 5a. Norte Oriente,secondary,True,105.437,4,"LINESTRING (-93.1143757 16.7578643, -93.1147993 16.7579155, -93.1148113 16.7579169, -93.1149843 16.7579378, -93.1149902 16.7579385, -93.1153577 16.7579865)",yes,,,
397413761,True,Calle 4a Poniente Sur,residential,False,96.522,,"LINESTRING (-93.1200806 16.7514855, -93.1199082 16.7523377)",,,,
911251784,True,Avenida 3a Sur Poniente,residential,False,91.841,,"LINESTRING (-93.1200806 16.7514855, -93.1192272 16.7513655)",,,,
154050823,False,Avenida Central Poniente,primary,True,88.156,4,"LINESTRING (-93.120392 16.7542889, -93.1195768 16.7541503)",,MEX 190,30,
942329724,True,Calle 5a Poniente Sur,residential,False,116.608,,"LINESTRING (-93.120392 16.7542889, -93.1206053 16.7532603)",,,,
179556353,True,Avenida 3a Sur Oriente,residential,False,88.266,,"LINESTRING (-93.1158257 16.7509036, -93.1150022 16.7508126)",,,,
911241977,True,Calle 1a Oriente Sur,residential,False,91.461,,"LINESTRING (-93.1158257 16.7509036, -93.1160001 16.7500982)",,,,
179556353,True,Avenida 3a Sur Oriente,residential,False,91.796,,"LINESTRING (-93.1166758 16.751041, -93.1158257 16.7509036)",,,,
