osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,True,87.355,"LINESTRING (-98.1677195 19.3362144, -98.1683446 19.3356955)",
845479632,2,Avenida Emiliano Zapata Norte,secondary,False,False,265.16499999999996,"LINESTRING (-98.1677195 19.3362144, -98.1676635 19.3362858, -98.1675234 19.3366752, -98.1674216 19.3368149, -98.1672713 19.3369128, -98.1662843 19.3373833, -98.1660718 19.3375044, -98.165885 19.3377024)",
845480085,,Calle 21 de Marzo,residential,False,False,98.877,"LINESTRING (-98.1677195 19.3362144, -98.1672593 19.3359147, -98.1671669 19.3358811, -98.1668852 19.3358457)",40
108140551,,Guadalupe,residential,False,True,119.566,"LINESTRING (-98.1724219 19.3365081, -98.171749 19.3373759)",40
903888243,2,Avenida Miguel Hidalgo,secondary,True,False,80.882,"LINESTRING (-98.1724219 19.3365081, -98.1719009 19.3362087, -98.1717656 19.3361266)",
38629768,,Calle 26 de Mayo,residential,False,False,110.98899999999999,"LINESTRING (-98.1668852 19.3358457, -98.167018 19.3354294, -98.1671119 19.3352307, -98.1673076 19.3349383)",40
"[845482690, 845480085]",,Calle 21 de Marzo,residential,False,False,511.68600000000004,"LINESTRING (-98.1668852 19.3358457, -98.1666007 19.3357958, -98.1661712 19.3357809, -98.1659238 19.3356865, -98.1655662 19.3354649, -98.1649762 19.3348577, -98.1648781 19.334851, -98.1647764 19.334883, -98.1646818 19.3349173, -98.1646101 19.3349252, -98.1645284 19.3349092, -98.1643097 19.3347914, -98.1641015 19.3347488, -98.163794 19.3345195, -98.1637633 19.334465, -98.163787 19.3344005, -98.1639551 19.3342959, -98.1640485 19.3341835, -98.1640757 19.3340868, -98.1640462 19.3340227, -98.1635881 19.3336571)",40
845480085,,Calle 21 de Marzo,residential,False,True,98.877,"LINESTRING (-98.1668852 19.3358457, -98.1671669 19.3358811, -98.1672593 19.3359147, -98.1677195 19.3362144)",40
845481305,,Calle 20 de Noviembre,residential,True,False,93.883,"LINESTRING (-98.1673794 19.3330644, -98.1668924 19.3337727)",40
905519874,2,Avenida Francisco I. Madero,secondary,False,False,141.055,"LINESTRING (-98.1673794 19.3330644, -98.1684545 19.333826)",
845481308,2,Avenida Francisco I. Madero,secondary,False,False,309.673,"LINESTRING (-98.1673794 19.3330644, -98.1670285 19.332742, -98.1650574 19.3313506)",
32345610,,Calle 20 de Noviembre,residential,True,False,39.272,"LINESTRING (-98.1686652 19.3313484, -98.1684499 19.3316373)",40
32345611,,Avenida Álvaro Obregón,residential,False,False,165.193,"LINESTRING (-98.1686652 19.3313484, -98.1673392 19.3305475)",40
845481306,,Calle 20 de Noviembre,residential,False,False,75.605,"LINESTRING (-98.1668924 19.3337727, -98.1664617 19.3343178)",40
845481309,,Avenida 5 de Mayo,residential,False,True,113.821,"LINESTRING (-98.1668924 19.3337727, -98.1660142 19.3331718)",40
903888237,,5 de Mayo,residential,False,False,110.824,"LINESTRING (-98.1668924 19.3337727, -98.1677936 19.3342925)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,True,78.017,"LINESTRING (-98.1650574 19.3313506, -98.1654812 19.3307741)",40
905523902,,Calle 16 de Septiembre,residential,False,False,115.213,"LINESTRING (-98.1650574 19.3313506, -98.1644227 19.3321961)",40
845481308,2,Avenida Francisco I. Madero,secondary,False,True,309.673,"LINESTRING (-98.1650574 19.3313506, -98.1670285 19.332742, -98.1673794 19.3330644)",
32345613,2,Calle 16 de Septiembre,tertiary,False,False,42.054,"LINESTRING (-98.1661875 19.329863, -98.1659508 19.3301682)",40
32345613,2,Calle 16 de Septiembre,tertiary,False,True,85.988,"LINESTRING (-98.1661875 19.329863, -98.166676 19.3292421)",40
32345611,,Avenida Álvaro Obregón,residential,False,False,105.281,"LINESTRING (-98.1661875 19.329863, -98.1656801 19.3295621, -98.1653253 19.3293796)",40
32345611,,Avenida Álvaro Obregón,residential,False,True,142.816,"LINESTRING (-98.1661875 19.329863, -98.1665004 19.330049, -98.1673392 19.3305475)",40
32345625,,Avenida Mariano Matamoros,residential,False,False,107.013,"LINESTRING (-98.1673076 19.3349383, -98.1665006 19.3343498)",40
32345625,,Avenida Mariano Matamoros,residential,False,True,5.588,"LINESTRING (-98.1673076 19.3349383, -98.1673519 19.3349662)",40
38629768,,Calle 26 de Mayo,residential,False,True,110.989,"LINESTRING (-98.1673076 19.3349383, -98.1671119 19.3352307, -98.167018 19.3354294, -98.1668852 19.3358457)",40
"[140455137, 140455146, 845459147]",,"['Álvaro Obregón', 'Avenida Ferrocarril']",residential,False,True,231.73700000000002,"LINESTRING (-98.1682451 19.3375571, -98.1685275 19.3371893, -98.1688355 19.3367794, -98.1690764 19.3365036, -98.1691561 19.3364124, -98.1696441 19.3359511)",40
845459147,,Avenida Ferrocarril,residential,False,False,43.73,"LINESTRING (-98.1724445 19.3347989, -98.1720545 19.3349376)",40
38379521,2,Avenida Juan Cuamatzi,secondary,False,False,17.133,"LINESTRING (-98.1724445 19.3347989, -98.1723757 19.3347479, -98.1723182 19.3347013)",
845459147,,Avenida Ferrocarril,residential,False,False,113.56700000000001,"LINESTRING (-98.1705776 19.3354381, -98.1700634 19.3356839, -98.1696441 19.3359511)",40
