osmid,highway,oneway,reversed,length,name,lanes,maxspeed,geometry,bridge
182400193,residential,False,True,47.575,,,,"LINESTRING (-102.9062587 20.7761845, -102.9063167 20.7766089)",
182400179,residential,False,False,107.349,Galeana,,,"LINESTRING (-102.9149082 20.7763041, -102.913883 20.7764191)",
182400179,residential,False,False,31.689,Galeana,,,"LINESTRING (-102.9110443 20.7767448, -102.9107406 20.7767691)",
182400179,residential,False,True,100.82,Galeana,,,"LINESTRING (-102.9110443 20.7767448, -102.9120083 20.7766461)",
316612234,unclassified,False,False,103.237,Francisco Javier Mina,,,"LINESTRING (-102.9092343 20.7769501, -102.9082473 20.7770521)",
316612234,unclassified,False,True,89.97,Francisco Javier Mina,,,"LINESTRING (-102.9092343 20.7769501, -102.9100938 20.7768558)",
673942713,residential,False,True,92.106,Benito Juárez,,,"LINESTRING (-102.9092343 20.7769501, -102.9093075 20.7777756)",
316612234,unclassified,False,False,98.579,Francisco Javier Mina,,,"LINESTRING (-102.9082473 20.7770521, -102.9073093 20.7771818)",
316612234,unclassified,False,True,103.237,Francisco Javier Mina,,,"LINESTRING (-102.9082473 20.7770521, -102.9092343 20.7769501)",
665680323,residential,False,True,90.6,Zaragoza,2,20,"LINESTRING (-102.9082473 20.7770521, -102.9083255 20.7778636)",
316612571,residential,False,True,47.411,Mariano Jiménez,,,"LINESTRING (-102.9145184 20.7772896, -102.9140647 20.7773327)",
316612571,residential,False,False,98.604,Mariano Jiménez,,,"LINESTRING (-102.9111373 20.777626, -102.9120812 20.7775393)",
685673755,residential,True,False,98.461,Morelos,2,40,"LINESTRING (-102.9111373 20.777626, -102.9110443 20.7767448)",
955872760,residential,True,False,99.526,Mariano Jiménez,,,"LINESTRING (-102.9111373 20.777626, -102.9101834 20.7777016)",
316612235,tertiary,False,False,95.731,Pablo Rodríguez,4,80,"LINESTRING (-102.9101834 20.7777016, -102.9103096 20.7785544)",
316612235,tertiary,False,True,94.509,Pablo Rodríguez,4,80,"LINESTRING (-102.9101834 20.7777016, -102.9100938 20.7768558)",
955872761,residential,True,False,91.433,Nicolás Bravo,,,"LINESTRING (-102.9101834 20.7777016, -102.9093075 20.7777756)",
673942713,residential,False,False,92.106,Benito Juárez,,,"LINESTRING (-102.9093075 20.7777756, -102.9092343 20.7769501)",
673942713,residential,False,True,96.334,Benito Juárez,,,"LINESTRING (-102.9093075 20.7777756, -102.9093813 20.7786392)",
955872761,residential,True,False,102.56,Nicolás Bravo,,,"LINESTRING (-102.9093075 20.7777756, -102.9083255 20.7778636)",
182400196,residential,False,True,97.542,Nicolás Bravo,,,"LINESTRING (-102.9083255 20.7778636, -102.9073936 20.7779654)",
665680323,residential,False,False,90.6,Zaragoza,2,20,"LINESTRING (-102.9083255 20.7778636, -102.9082473 20.7770521)",
665680323,residential,False,True,93.751,Zaragoza,2,20,"LINESTRING (-102.9083255 20.7778636, -102.9084228 20.7787018)",
182400196,residential,False,False,93.126,Nicolás Bravo,,,"LINESTRING (-102.9065028 20.7780534, -102.9073936 20.7779654)",
182400196,residential,False,True,100.542,Nicolás Bravo,,,"LINESTRING (-102.9065028 20.7780534, -102.9055403 20.7781414)",
553588850,residential,False,True,89.388,Degollado,,,"LINESTRING (-102.9065028 20.7780534, -102.9066476 20.7788458)",
939236010,residential,False,False,86.612,,,,"LINESTRING (-102.9065028 20.7780534, -102.9063961 20.7772809)",
182400197,residential,False,False,50.97,Francisco I. Madero,,,"LINESTRING (-102.914496 20.7781538, -102.9140075 20.7781927)",
685673755,residential,True,False,94.861,Morelos,2,40,"LINESTRING (-102.911233 20.7784744, -102.9111373 20.777626)",
955872269,residential,True,False,97.424,Francisco I. Madero,,,"LINESTRING (-102.911233 20.7784744, -102.9121655 20.7783877)",
316612235,tertiary,False,True,95.731,Pablo Rodríguez,4,80,"LINESTRING (-102.9103096 20.7785544, -102.9101834 20.7777016)",
316612574,tertiary,True,False,95.852,Andrés Figueroa,4,80,"LINESTRING (-102.9103096 20.7785544, -102.9104174 20.7794105)",
955872269,residential,True,False,96.411,Francisco I. Madero,,,"LINESTRING (-102.9103096 20.7785544, -102.911233 20.7784744)",
673942713,residential,False,False,96.334,Benito Juárez,,,"LINESTRING (-102.9093813 20.7786392, -102.9093075 20.7777756)",
673942713,residential,False,True,95.787,Benito Juárez,,,"LINESTRING (-102.9093813 20.7786392, -102.909449 20.7794983)",
955872270,residential,True,False,96.968,Pedro Moreno,,,"LINESTRING (-102.9093813 20.7786392, -102.9103096 20.7785544)",
665680323,residential,False,False,93.751,Zaragoza,2,20,"LINESTRING (-102.9084228 20.7787018, -102.9083255 20.7778636)",
665680323,residential,False,True,99.977,Zaragoza,2,20,"LINESTRING (-102.9084228 20.7787018, -102.9085124 20.779597)",
955873633,residential,True,False,99.891,Pedro Moreno,,,"LINESTRING (-102.9084228 20.7787018, -102.9093813 20.7786392)",
182400198,residential,False,False,86.565,Independencia,,,"LINESTRING (-102.9148985 20.7789834, -102.9141212 20.7790668, -102.9140725 20.7790784)",
316613453,residential,False,False,93.023,Independencia,,,"LINESTRING (-102.9113073 20.7793233, -102.9104174 20.7794105)",
316613453,residential,False,True,97.402,Independencia,,,"LINESTRING (-102.9113073 20.7793233, -102.9122401 20.7792415)",
685673755,residential,True,False,94.709,Morelos,2,40,"LINESTRING (-102.9113073 20.7793233, -102.911233 20.7784744)",
553588850,residential,False,True,95.538,Degollado,,,"LINESTRING (-102.9066644 20.7797779, -102.9067643 20.780632)",
