osmid,name,highway,oneway,reversed,length,tunnel,geometry,ref
461411055,Prolongación Guerrero,residential,False,True,94.05,,"LINESTRING (-101.8558051 19.4972369, -101.8549602 19.4969522)",
"[461411041, 360922660, 725194055]",Calle Terán,tertiary,False,True,93.932,yes,"LINESTRING (-101.8558051 19.4972369, -101.8556978 19.4975201, -101.855624 19.4977185, -101.8555141 19.4980358)",
461411056,Calle Eréndira,residential,False,True,191.079,,"LINESTRING (-101.8558051 19.4972369, -101.856654 19.4975302, -101.8575002 19.4978677)",
461411006,Calle Pípila,residential,False,True,71.901,,"LINESTRING (-101.8528902 19.5047442, -101.8522525 19.5045059)",
461411007,Calle Niño Artillero,residential,False,True,101.157,,"LINESTRING (-101.8528902 19.5047442, -101.853784 19.5050874)",
461411040,Calle Juárez,tertiary,True,False,95.238,,"LINESTRING (-101.8528902 19.5047442, -101.8529807 19.5046032, -101.8530612 19.5044882, -101.8531329 19.5043725, -101.8532194 19.5042176, -101.8533295 19.5039958)",
461411010,Calle José Andrés Salazar,residential,False,False,88.952,,"LINESTRING (-101.8535936 19.503248, -101.8527916 19.5029864)",
461411011,Calle Zaragoza,residential,False,False,87.963,,"LINESTRING (-101.8535936 19.503248, -101.8543822 19.5035186)",
461411040,Calle Juárez,tertiary,True,False,88.903,,"LINESTRING (-101.8535936 19.503248, -101.8538618 19.5024895)",
171123193,Pátzcuaro-Uruapan,primary,False,False,100.538,,"LINESTRING (-101.8492913 19.5046879, -101.8501657 19.5050596)",MEX 14
461414731,Calle Niños Héroes,residential,False,False,39.128,,"LINESTRING (-101.8492913 19.5046879, -101.8494372 19.504364)",
461414731,Calle Niños Héroes,residential,False,True,52.547,,"LINESTRING (-101.8492913 19.5046879, -101.8490888 19.5051202)",
461411005,Calle Reforma,residential,False,False,56.99,,"LINESTRING (-101.8524945 19.5054312, -101.851981 19.5052627)",
461411040,Calle Juárez,tertiary,True,False,86.932,,"LINESTRING (-101.8524945 19.5054312, -101.8526937 19.5050735, -101.8528902 19.5047442)",
461411006,Calle Pípila,residential,False,False,94.151,,"LINESTRING (-101.8488836 19.5034124, -101.8497473 19.503645)",
461414733,Calle Emilio Carranza,residential,False,False,92.137,,"LINESTRING (-101.8488836 19.5034124, -101.8492465 19.5026577)",
461411008,Calle Aldama,residential,False,False,29.896,,"LINESTRING (-101.8577718 19.5053453, -101.8574949 19.5052808)",
461411008,Calle Aldama,residential,False,True,82.691,,"LINESTRING (-101.8533295 19.5039958, -101.8540657 19.5042631)",
461411009,Calle 5 de Mayo,residential,False,False,88.801,,"LINESTRING (-101.8533295 19.5039958, -101.8525195 19.5037617)",
461411040,Calle Juárez,tertiary,True,False,87.638,,"LINESTRING (-101.8533295 19.5039958, -101.8535936 19.503248)",
461411009,Calle 5 de Mayo,residential,False,False,98.359,,"LINESTRING (-101.8517811 19.5035401, -101.8509051 19.5032229)",
461411009,Calle 5 de Mayo,residential,False,True,81.223,,"LINESTRING (-101.8517811 19.5035401, -101.8525195 19.5037617)",
461414719,Calle Independencia,residential,False,False,92.286,,"LINESTRING (-101.8517811 19.5035401, -101.8520419 19.5027474)",
461414719,Calle Independencia,residential,False,True,76.129,,"LINESTRING (-101.8517811 19.5035401, -101.8514894 19.5041671)",
461411009,Calle 5 de Mayo,residential,False,True,88.14,,"LINESTRING (-101.8492465 19.5026577, -101.8500358 19.5029311)",
461414733,Calle Emilio Carranza,residential,False,False,74.031,,"LINESTRING (-101.8492465 19.5026577, -101.8495515 19.5020572)",
461414733,Calle Emilio Carranza,residential,False,True,92.137,,"LINESTRING (-101.8492465 19.5026577, -101.8488836 19.5034124)",
461411010,Calle José Andrés Salazar,residential,False,True,85.983,,"LINESTRING (-101.8495515 19.5020572, -101.8503454 19.5022519)",
461414733,Calle Emilio Carranza,residential,False,False,98.2,,"LINESTRING (-101.8495515 19.5020572, -101.8497721 19.5011989)",
461414733,Calle Emilio Carranza,residential,False,True,74.031,,"LINESTRING (-101.8495515 19.5020572, -101.8492465 19.5026577)",
461411014,Calle Ocampo,residential,False,False,94.316,,"LINESTRING (-101.8579012 19.5041001, -101.8570829 19.5037473)",
461411058,Calle Tenochtitlán,residential,False,False,47.906,,"LINESTRING (-101.8579012 19.5041001, -101.8577725 19.5045135)",
