osmid,name,highway,oneway,reversed,length,ref,lanes,geometry,maxspeed
29754476,Del Maestro,residential,False,False,281.667,,,"LINESTRING (-110.8890277 29.1803512, -110.8861376 29.1801289)",
29754791,Carretera San Pedro El Saucito - Estación Pesqueira,secondary,False,False,96.89,SON 71,,"LINESTRING (-110.8890277 29.1803512, -110.8890036 29.1812223)",
29754791,Carretera San Pedro El Saucito - Estación Pesqueira,secondary,False,True,116.413,SON 71,,"LINESTRING (-110.8890277 29.1803512, -110.8890465 29.1793044)",
29754476,Del Maestro,residential,False,False,105.432,,,"LINESTRING (-110.8861376 29.1801289, -110.8850558 29.1800457)",
29754476,Del Maestro,residential,False,True,281.667,,,"LINESTRING (-110.8861376 29.1801289, -110.8890277 29.1803512)",
29754482,José Lopez Portillo,residential,False,True,76.921,,,"LINESTRING (-110.8861376 29.1801289, -110.8862597 29.1808124)",
29754476,Del Maestro,residential,False,False,73.456,,,"LINESTRING (-110.884563 29.1800079, -110.8838093 29.1799499)",
29754476,Del Maestro,residential,False,True,48.027,,,"LINESTRING (-110.884563 29.1800079, -110.8850558 29.1800457)",
29754498,San pedro,residential,False,False,104.925,,2,"LINESTRING (-110.884563 29.1800079, -110.8846353 29.1790664)",
29754476,Del Maestro,residential,False,False,127.847,,,"LINESTRING (-110.8827408 29.1798677, -110.881429 29.1797669)",
29754476,Del Maestro,residential,False,True,104.136,,,"LINESTRING (-110.8827408 29.1798677, -110.8838093 29.1799499)",
29754495,Roberto Ramirez,residential,False,False,107.778,,,"LINESTRING (-110.8827408 29.1798677, -110.8827879 29.1788993)",
29754495,Roberto Ramirez,residential,False,True,112.41,,,"LINESTRING (-110.8827408 29.1798677, -110.8826912 29.1808777)",
29754476,Del Maestro,residential,False,True,127.847,,,"LINESTRING (-110.881429 29.1797669, -110.8827408 29.1798677)",
29754802,Calle Revolución,residential,False,False,21.981,,,"LINESTRING (-110.881429 29.1797669, -110.8814149 29.1799642)",
29754802,Calle Revolución,residential,False,True,107.907,,,"LINESTRING (-110.881429 29.1797669, -110.8814894 29.1787979)",
29754480,Italia,residential,False,False,258.575,,,"LINESTRING (-110.8890036 29.1812223, -110.8863404 29.1812549)",
29754791,Carretera San Pedro El Saucito - Estación Pesqueira,secondary,False,False,67.253,SON 71,,"LINESTRING (-110.8890036 29.1812223, -110.8889499 29.1818253)",
29754791,Carretera San Pedro El Saucito - Estación Pesqueira,secondary,False,True,96.89,SON 71,,"LINESTRING (-110.8890036 29.1812223, -110.8890277 29.1803512)",
29754480,Italia,residential,False,False,108.233,,,"LINESTRING (-110.8863404 29.1812549, -110.8852257 29.1812715)",
29754480,Italia,residential,False,True,258.575,,,"LINESTRING (-110.8863404 29.1812549, -110.8890036 29.1812223)",
29754482,José Lopez Portillo,residential,False,False,49.824,,,"LINESTRING (-110.8863404 29.1812549, -110.8862597 29.1808124)",
29754480,Italia,residential,False,True,108.233,,,"LINESTRING (-110.8852257 29.1812715, -110.8863404 29.1812549)",
29754487,,residential,False,True,57.174,,,"LINESTRING (-110.8852257 29.1812715, -110.8852834 29.1817832)",
29754487,,residential,False,False,84.37,,,"LINESTRING (-110.8852257 29.1812715, -110.8851841 29.1810115, -110.8850943 29.1805215)",
29754487,,residential,False,False,113.91,,,"LINESTRING (-110.8853947 29.182803, -110.8852834 29.1817832)",
29754547,Brasil,residential,False,True,145.816,,,"LINESTRING (-110.8853947 29.182803, -110.8868967 29.1828007)",
29754547,Brasil,residential,False,False,322.31,,,"LINESTRING (-110.8853947 29.182803, -110.883725 29.1827865, -110.8835641 29.1827679, -110.8833388 29.1827374, -110.8830169 29.1827351, -110.8825207 29.18281, -110.8820954 29.1828874)",
29754487,,residential,False,False,53.038,,,"LINESTRING (-110.8850943 29.1805215, -110.8850558 29.1800457)",
29754487,,residential,False,True,84.37,,,"LINESTRING (-110.8850943 29.1805215, -110.8851841 29.1810115, -110.8852257 29.1812715)",
29754808,José Montaño,residential,False,True,139.176,,,"LINESTRING (-110.8850943 29.1805215, -110.8849011 29.1806006, -110.8847027 29.1806977, -110.8845203 29.1808154, -110.8844901 29.1808254, -110.8844552 29.1808301, -110.8837572 29.1808488)",
29754490,Roma,residential,False,False,355.981,,,"LINESTRING (-110.8889499 29.1818253, -110.8852834 29.1817832)",
