osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,ref
23801944,Griesbergstraße,residential,False,False,166.24699999999999,"LINESTRING (10.0021687 52.0585339, 10.0023222 52.0585434, 10.0024267 52.0585476, 10.0025388 52.0585512, 10.0026516 52.0585448, 10.0027212 52.0585413, 10.0027641 52.0585318, 10.0028663 52.0585102, 10.0031746 52.0584447, 10.0038225 52.0582855, 10.0043372 52.0581715, 10.0044821 52.0581421)",,,,
1038693950,Griesbergstraße,residential,True,False,58.109,"LINESTRING (10.0021687 52.0585339, 10.0015878 52.0585077, 10.0015259 52.0585082, 10.0014038 52.0585078, 10.0013222 52.058497)",2,50,,
"[23801944, 25872708, 25872709]",Griesbergstraße,residential,False,"[False, True]",190.994,"LINESTRING (10.0044821 52.0581421, 10.0046951 52.0581026, 10.0050956 52.0580855, 10.0051272 52.0580853, 10.0053088 52.0580972, 10.005486 52.0581302, 10.0055838 52.0581715, 10.0056858 52.058245, 10.0058218 52.058447, 10.0060879 52.0588115, 10.006194 52.0589614, 10.0062717 52.0590233, 10.0063527 52.059055)",,,yes,
23801944,Griesbergstraße,residential,False,True,166.247,"LINESTRING (10.0044821 52.0581421, 10.0043372 52.0581715, 10.0038225 52.0582855, 10.0031746 52.0584447, 10.0028663 52.0585102, 10.0027641 52.0585318, 10.0027212 52.0585413, 10.0026516 52.0585448, 10.0025388 52.0585512, 10.0024267 52.0585476, 10.0023222 52.0585434, 10.0021687 52.0585339)",,,,
24384482,Süllbergstraße,residential,False,False,322.3310000000001,"LINESTRING (10.0044821 52.0581421, 10.0044774 52.0579969, 10.0044877 52.0578024, 10.004472 52.0576668, 10.0044472 52.0575283, 10.0044009 52.057417, 10.0042439 52.057165, 10.0041729 52.0570954, 10.0040804 52.0570343, 10.0040019 52.0570047, 10.0036357 52.0569823, 10.0033193 52.0569629, 10.003174 52.056954, 10.0031003 52.056948, 10.0029059 52.0569322, 10.0027271 52.0569604, 10.0026239 52.0569972, 10.0025636 52.0570418, 10.0025243 52.0571135, 10.0024953 52.0573436, 10.0024338 52.0577895)",,,,
1039297735,Griesbergstraße,residential,False,False,4.389,"LINESTRING (10.0063527 52.059055, 10.0064137 52.0590673)",,,,
24658180,Bahnhofstraße,residential,False,False,131.875,"LINESTRING (10.0063527 52.059055, 10.0063294 52.0590875, 10.0061443 52.0593465, 10.0060532 52.0595196, 10.0060035 52.0596141, 10.005787 52.0601851)",,30,,
"[23801944, 25872708, 25872709]",Griesbergstraße,residential,False,"[False, True]",190.994,"LINESTRING (10.0063527 52.059055, 10.0062717 52.0590233, 10.006194 52.0589614, 10.0060879 52.0588115, 10.0058218 52.058447, 10.0056858 52.058245, 10.0055838 52.0581715, 10.005486 52.0581302, 10.0053088 52.0580972, 10.0051272 52.0580853, 10.0050956 52.0580855, 10.0046951 52.0581026, 10.0044821 52.0581421)",,,yes,
1039297735,Griesbergstraße,residential,False,True,4.389,"LINESTRING (10.0064137 52.0590673, 10.0063527 52.059055)",,,,
1039297736,Griesbergstraße,residential,True,False,22.849,"LINESTRING (10.0064137 52.0590673, 10.0064649 52.0590553, 10.0064688 52.0590544, 10.0065593 52.0590575, 10.0066475 52.0590754, 10.0066797 52.0590895, 10.0066954 52.0591201)",,,,
