osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,ref
"[54111898, 54061652, 54061661]",Rathausstraße,residential,50,False,False,70.897,yes,"LINESTRING (10.7299576 51.2855903, 10.7299886 51.2855332, 10.7302338 51.2853021, 10.7302912 51.2852052, 10.7303446 51.2850833, 10.7303661 51.2850144)",,
"[54111900, 151481005, 54111902]",Lindenstraße,secondary,50,False,False,115.05199999999999,yes,"LINESTRING (10.7299576 51.2855903, 10.7300232 51.2855983, 10.7301566 51.2856244, 10.7304371 51.285689, 10.7306747 51.2857424, 10.7315046 51.2859542)",2,L 1032
31117342,Mühlhäuser Straße,residential,,False,False,31.177,,"LINESTRING (10.7276761 51.2820033, 10.72811 51.2820737)",,
31117342,Mühlhäuser Straße,residential,,False,True,42.384,,"LINESTRING (10.7276761 51.2820033, 10.7271059 51.2818688)",,
54061649,Am Teichweg,living_street,,False,False,111.136,,"LINESTRING (10.7276761 51.2820033, 10.7275764 51.2820524, 10.7270339 51.2821554, 10.7261424 51.2822494)",,
31117342,Mühlhäuser Straße,residential,,False,True,7.099,,"LINESTRING (10.7310616 51.2822805, 10.7309667 51.282257)",,
151480793,Markt,residential,30,False,False,95.722,,"LINESTRING (10.7310616 51.2822805, 10.7317654 51.282405, 10.7321958 51.2824755, 10.7323917 51.2825006)",,
818095510,Markt,residential,,False,True,10.924,,"LINESTRING (10.7310616 51.2822805, 10.7310309 51.282334, 10.7309927 51.2823678)",,
235115434,Goethestraße,residential,,False,True,14.241,,"LINESTRING (10.733467 51.282687, 10.7332695 51.2826532)",2,
33373462,Wilhelm-Klemm-Straße,residential,,False,False,146.659,,"LINESTRING (10.733467 51.282687, 10.7334944 51.2826322, 10.7341542 51.2822446, 10.7346692 51.2819762, 10.7350108 51.2818014)",,
54111898,Rathausstraße,residential,,False,True,34.219,,"LINESTRING (10.7303742 51.2847067, 10.7303661 51.2850144)",,
54111898,Rathausstraße,residential,,False,False,81.522,,"LINESTRING (10.7303742 51.2847067, 10.730345 51.28459, 10.7302895 51.2843681, 10.7302441 51.2841953, 10.7301886 51.2839828)",,
"[102921405, 478683014]",Uferstraße,living_street,,False,False,129.061,,"LINESTRING (10.7303742 51.2847067, 10.7306 51.2846547, 10.7307795 51.2845895, 10.7310489 51.2844188, 10.7311598 51.2843657, 10.7312824 51.28432, 10.7317165 51.2842176, 10.7318248 51.2841682, 10.7318981 51.2840909)",,
54111898,Rathausstraße,residential,,False,True,20.853,,"LINESTRING (10.7301349 51.2837983, 10.7301886 51.2839828)",,
