osmid,lanes,name,highway,maxspeed,oneway,reversed,length,width,geometry,ref
206575913,2,Jagdfeldring,residential,30,False,False,14.042,,"LINESTRING (11.7237527 48.1084914, 11.7238353 48.108605)",
"[112910140, 142589143]",2,Jagdfeldring,residential,30,False,True,533.0920000000001,9,"LINESTRING (11.7237527 48.1084914, 11.7236983 48.1084164, 11.7236836 48.1083758, 11.7236404 48.1082566, 11.7236344 48.1082394, 11.7236086 48.108165, 11.7235542 48.1079993, 11.7234912 48.1077631, 11.723488 48.1075263, 11.7234857 48.1073582, 11.7234897 48.1072487, 11.7235071 48.1071559, 11.7235212 48.1071173, 11.7235417 48.1070615, 11.7235843 48.1069975, 11.7236845 48.1068852, 11.7237479 48.1068369, 11.7240826 48.1065822, 11.7241045 48.1065655, 11.724173 48.1064909, 11.7242284 48.1064278, 11.7242512 48.1063536, 11.7242573 48.1061886, 11.7242608 48.1059424, 11.724263 48.1058796, 11.7242638 48.1058545, 11.7242668 48.1057689, 11.7242741 48.105557, 11.724277 48.1054725, 11.7242774 48.1054448, 11.7242819 48.1051539, 11.7242849 48.1049632, 11.7242714 48.1048816, 11.7242631 48.1048542, 11.7242449 48.1047943, 11.7242482 48.1045292, 11.7242696 48.104416, 11.7242755 48.1043076, 11.7242746 48.1042498, 11.724271 48.1040173, 11.7242686 48.1038818)",
"[206575916, 210374374]","['4', '3']",Münchener Straße,primary,60,True,False,253.55800000000002,,"LINESTRING (11.7237527 48.1084914, 11.7239983 48.1084529, 11.7246031 48.108358, 11.7258608 48.1081606, 11.7260926 48.1081242, 11.7266689 48.1080205, 11.7267482 48.1080062, 11.7270691 48.1079484)",B 304
3552440,,Kirchenplatz,residential,30,False,True,50.504999999999995,5.9,"LINESTRING (11.7262426 48.1096271, 11.7263433 48.109627, 11.7264887 48.1096184, 11.7265935 48.1095944, 11.7266121 48.1095901, 11.726726 48.1095512, 11.7268726 48.1094872)",
"[24769536, 216861259]",2,Kirchenstraße,residential,30,False,False,95.248,5.8,"LINESTRING (11.7262426 48.1096271, 11.7260991 48.1096005, 11.7259618 48.109575, 11.7256078 48.1095093, 11.7254367 48.109476, 11.7252933 48.1094263, 11.72516 48.1093504, 11.725115 48.1093149, 11.7250896 48.1092948)",
3552440,,Kirchenplatz,residential,30,False,False,50.504999999999995,5.9,"LINESTRING (11.7268726 48.1094872, 11.726726 48.1095512, 11.7266121 48.1095901, 11.7265935 48.1095944, 11.7264887 48.1096184, 11.7263433 48.109627, 11.7262426 48.1096271)",
"[234087603, 210368196]",,Bahnhofstraße,residential,30,False,True,128.79,"['6.9', '6.2']","LINESTRING (11.7268726 48.1094872, 11.7268062 48.1094064, 11.7267817 48.109366, 11.7267569 48.1093012, 11.726745 48.1092501, 11.7267472 48.1091991, 11.7268492 48.1087637, 11.7268825 48.1087184, 11.7269041 48.1086706, 11.7269276 48.10856, 11.7269607 48.1083883, 11.7269429 48.1083641)",
"[210368195, 290450295]",,Bahnhofstraße,residential,30,False,False,37.322,"['6', '6.1']","LINESTRING (11.7268726 48.1094872, 11.7269452 48.1095316, 11.7269668 48.1095444, 11.7270343 48.1095819, 11.7271754 48.1096496, 11.7272647 48.1096967)",
48868533,,Leibstraße,residential,30,False,False,126.032,7.3,"LINESTRING (11.7330588 48.1103914, 11.7330255 48.1103218, 11.732992 48.1102517, 11.7329378 48.1101384, 11.732783 48.1098146, 11.7327421 48.1097277, 11.7325461 48.1093109)",
"[3552400, 963970907, 3552405, 3552406]",2,"['Gartenstraße', 'Jahnstraße', 'Parkstraße']",residential,30,False,"[False, True]",271.591,"['5.8', '6.7']","LINESTRING (11.7330588 48.1103914, 11.7332022 48.1103537, 11.7332306 48.1103462, 11.7333494 48.1103071, 11.7335543 48.110243, 11.7339785 48.110006, 11.7341379 48.1099402, 11.7345097 48.1098547, 11.7345038 48.1098282, 11.7343076 48.1089479, 11.7342599 48.108906, 11.7341736 48.1089016, 11.7337738 48.1089806, 11.7337493 48.1089854)",
22924138,2,Grasbrunner Straße,secondary,50,False,False,105.87,,"LINESTRING (11.7341477 48.1041133, 11.7343942 48.1042628, 11.7345555 48.1043496, 11.7349895 48.1045645, 11.7352584 48.1047092)",B 471
22924138,2,Grasbrunner Straße,secondary,50,False,True,97.06,,"LINESTRING (11.7341477 48.1041133, 11.7338399 48.1038764, 11.7337392 48.1037892, 11.7336449 48.1036948, 11.7334893 48.1035303, 11.7334196 48.1034462, 11.7333869 48.1034069)",B 471
141797632,,Mozartstraße,residential,30,False,False,39.165,7,"LINESTRING (11.7341477 48.1041133, 11.734029 48.1041518, 11.7338773 48.1041992, 11.7336495 48.1041927)",
3552396,,Stadlerstraße,residential,30,False,False,24.403,,"LINESTRING (11.7336624 48.107725, 11.7336043 48.1078801, 11.7335383 48.1079202)",
3552396,,Stadlerstraße,residential,30,False,True,116.595,,"LINESTRING (11.7336624 48.107725, 11.7338417 48.1069112, 11.7337745 48.1067879, 11.7337695 48.1067776, 11.7337261 48.1066988)",
"[3552400, 963970907, 3552405, 3552406]",2,"['Gartenstraße', 'Jahnstraße', 'Parkstraße']",residential,30,False,"[False, True]",271.591,"['5.8', '6.7']","LINESTRING (11.7337493 48.1089854, 11.7337738 48.1089806, 11.7341736 48.1089016, 11.7342599 48.108906, 11.7343076 48.1089479, 11.7345038 48.1098282, 11.7345097 48.1098547, 11.7341379 48.1099402, 11.7339785 48.110006, 11.7335543 48.110243, 11.7333494 48.1103071, 11.7332306 48.1103462, 11.7332022 48.1103537, 11.7330588 48.1103914)",
3552400,,Gartenstraße,residential,30,False,True,96.07100000000001,6.7,"LINESTRING (11.7337493 48.1089854, 11.7326327 48.1092242, 11.732517 48.1092489)",
345235529,,Stadlerstraße,residential,30,False,True,123.09300000000002,5,"LINESTRING (11.7337493 48.1089854, 11.7335663 48.1086343, 11.7334969 48.1084897, 11.7335322 48.1083519, 11.7335655 48.1082217, 11.7336002 48.1080578, 11.7335933 48.1079995, 11.7335705 48.1079611, 11.7335383 48.1079202)",
216861259,2,Kirchenstraße,residential,30,False,False,126.709,,"LINESTRING (11.7250896 48.1092948, 11.7250743 48.1092773, 11.7249586 48.1091448, 11.7249035 48.109121, 11.7248299 48.1090985, 11.7247376 48.1090815, 11.7246282 48.1090613, 11.7244133 48.1090072, 11.7242402 48.1089505, 11.724134 48.1088965, 11.7240444 48.1088369, 11.7239409 48.1087525, 11.7239116 48.1087115, 11.7238892 48.1086841, 11.7238353 48.108605)",
"[24769536, 216861259]",2,Kirchenstraße,residential,30,False,True,95.248,5.8,"LINESTRING (11.7250896 48.1092948, 11.725115 48.1093149, 11.72516 48.1093504, 11.7252933 48.1094263, 11.7254367 48.109476, 11.7256078 48.1095093, 11.7259618 48.109575, 11.7260991 48.1096005, 11.7262426 48.1096271)",
