osmid,lanes,ref,highway,oneway,reversed,length,name,geometry,bridge
800471540,2,L 190,secondary,False,False,11.448,,"LINESTRING (11.9305913 51.0798709, 11.9304401 51.0798312)",
76518736,2,L 190,secondary,False,False,16.601,Bahnhofstraße,"LINESTRING (11.9300022 51.078058, 11.9299568 51.0780091, 11.9299219 51.0779838, 11.9298441 51.0779504)",
"[195217097, 196332775]",,L 190,secondary,True,False,75.15299999999999,"['Töpfersberg', 'Hüterplan']","LINESTRING (11.9300022 51.078058, 11.9301565 51.0780223, 11.9304611 51.0779757, 11.9306666 51.0779194, 11.9309865 51.0777981)",
"[373701464, 373701465, 40290509]",2,L 190,secondary,False,False,127.04199999999999,Bahnhofstraße,"LINESTRING (11.9285563 51.0774909, 11.9282044 51.0773103, 11.9279267 51.077187, 11.9278222 51.0771487, 11.9271716 51.0769099, 11.9270539 51.0768668, 11.9270419 51.0768631)",yes
76518736,2,L 190,secondary,False,True,103.74000000000001,Bahnhofstraße,"LINESTRING (11.9285563 51.0774909, 11.9288721 51.0776368, 11.9293504 51.0778, 11.9298441 51.0779504)",
40290508,2,L 190,secondary,False,False,19.245,Pretzscher Straße,"LINESTRING (11.9324268 51.080704, 11.9325183 51.0806126, 11.9325621 51.0805536)",
242889135,2,L 190,secondary,False,True,89.99,Pretzscher Straße,"LINESTRING (11.9324268 51.080704, 11.9320406 51.0809842, 11.9318739 51.0811268, 11.9317799 51.0812368, 11.9317228 51.0813445, 11.9317172 51.0813676)",
"[1160053272, 1160053273, 476708892]",2,L 200,secondary,False,True,401.9560000000001,Naumburger Straße,"LINESTRING (11.9324268 51.080704, 11.9323566 51.0806787, 11.9322344 51.0806469, 11.9316837 51.0806092, 11.9313525 51.0806432, 11.9306355 51.0808008, 11.9303001 51.0808717, 11.9300236 51.0809289, 11.9299073 51.0809529, 11.9298389 51.0809686, 11.9297769 51.0809829, 11.9296517 51.0810039, 11.9290603 51.0811125, 11.9287593 51.0811604, 11.9281208 51.0812843, 11.9278723 51.0813325, 11.9273887 51.0814265, 11.9270627 51.0814855, 11.9269159 51.0815176)",yes
373701464,2,L 190,secondary,False,True,15.076,Bahnhofstraße,"LINESTRING (11.9251775 51.0762544, 11.9253766 51.0763067)",
"[197999300, 197999303]",,,residential,True,False,85.00499999999998,Markt,"LINESTRING (11.9301793 51.0799732, 11.9297125 51.0801058, 11.9294768 51.0801678, 11.9293412 51.0801907, 11.9292833 51.0802002, 11.9292198 51.0802025, 11.9291541 51.0801858, 11.9291098 51.0801597, 11.9290816 51.0801311)",
"[67255433, 1257548822]",,,residential,False,True,27.92,,"LINESTRING (11.9301793 51.0799732, 11.9300662 51.0798184, 11.9300126 51.079745)",
197999716,,,residential,False,False,21.946,Markt,"LINESTRING (11.9300126 51.079745, 11.9302965 51.0796605)",
"[67255433, 1257548822]",,,residential,False,False,27.92,,"LINESTRING (11.9300126 51.079745, 11.9300662 51.0798184, 11.9301793 51.0799732)",
197999716,,,residential,False,True,21.946,Markt,"LINESTRING (11.9302965 51.0796605, 11.9300126 51.079745)",
93872344,,,residential,False,False,172.48899999999998,Kirchberg,"LINESTRING (11.9302965 51.0796605, 11.9307055 51.0795408, 11.931154 51.079434, 11.9314644 51.0794105, 11.9315478 51.0794081, 11.9316672 51.0794046, 11.9319589 51.0793617, 11.9320974 51.079325, 11.9321876 51.079285, 11.932566 51.0791181)",
195217816,2,L 190,secondary,False,True,22.569,,"LINESTRING (11.9302965 51.0796605, 11.9303074 51.079725, 11.9303329 51.0797604, 11.930371 51.0797981, 11.9304401 51.0798312)",
