osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge,junction,access
40403003,False,1,Am Cölnhöfen,living_street,False,74.06700000000001,"LINESTRING (9.8349816 51.6518918, 9.8350148 51.6519288, 9.835454 51.6523396, 9.8355705 51.6524486)",,,,,
"[44051449, 44051450, 44051451]",False,,Göttinger Straße,tertiary,False,291.37399999999997,"LINESTRING (9.8349816 51.6518918, 9.8356704 51.6515097, 9.8359333 51.6513384, 9.8362057 51.6511609, 9.8363147 51.6510995, 9.8364701 51.6509856, 9.8365137 51.6509317, 9.8365416 51.6508718, 9.8365546 51.6508125, 9.8365454 51.6507382, 9.8365188 51.6506145, 9.8364762 51.6504754, 9.8364135 51.6502969, 9.836373 51.6502033, 9.8363295 51.6500929, 9.836292 51.6499977, 9.8361721 51.6496965)",K 435,50,yes,,
"[204099392, 44051451, 44051452]",False,2,Göttinger Straße,tertiary,True,65.775,"LINESTRING (9.8349816 51.6518918, 9.8348757 51.6519479, 9.8347732 51.6520058, 9.8347446 51.6520206, 9.8345575 51.6521268, 9.8342593 51.6522776)",K 435,50,yes,,
8090205,True,1,,tertiary,False,9.166,"LINESTRING (9.8319678 51.6530988, 9.8319523 51.653073, 9.8319514 51.6530456, 9.8319653 51.6530195)",K 435,,,roundabout,
"[23470222, 42043119, 42043095, 376285563, 390283324]",False,2,"['Mühlengasse', 'Karl-Lechte-Weg', 'Am Büh']",living_street,False,626.6229999999999,"LINESTRING (9.8319678 51.6530988, 9.8318903 51.6531118, 9.8316821 51.6531422, 9.8313717 51.6531875, 9.8311949 51.6532142, 9.830383 51.6533431, 9.8298704 51.6534633, 9.829584 51.6535431, 9.8295352 51.653572, 9.8295154 51.6535971, 9.8295154 51.6536459, 9.8295654 51.6537798, 9.8295505 51.65382, 9.8295156 51.6538449, 9.8294432 51.6538582, 9.8294112 51.6538609, 9.8291289 51.6538841, 9.8290574 51.65389, 9.8286398 51.6539184, 9.8286392 51.6538898, 9.8286378 51.653821, 9.8286245 51.6537306, 9.8286003 51.6536123, 9.8285517 51.6534826, 9.8285343 51.6534427, 9.8284921 51.6533461, 9.8282384 51.6527796, 9.8282372 51.6527063, 9.8283665 51.6524602, 9.8283951 51.6524262, 9.8284453 51.6523772, 9.8285026 51.6523307, 9.8285786 51.6522773, 9.8286439 51.6522557, 9.8287235 51.6522391, 9.8290172 51.652196, 9.8291243 51.6521853, 9.8291892 51.6521788, 9.8292178 51.652176, 9.8296298 51.6521391, 9.8297205 51.6521292, 9.8298097 51.6521205, 9.8299677 51.6520947, 9.8303818 51.6520286, 9.8304218 51.6520216, 9.8304572 51.6520143, 9.8304927 51.6520071, 9.8305257 51.6520004, 9.8307139 51.6519644, 9.8308905 51.6519307)",,,,,
8090205,True,1,,tertiary,False,12.518,"LINESTRING (9.8320179 51.6529864, 9.8320608 51.6529773, 9.8321062 51.6529778, 9.8321486 51.6529878, 9.8321829 51.6530062)",K 435,,,roundabout,
113550309,False,,Lange Straße,residential,True,21.298,"LINESTRING (9.8308736 51.6509341, 9.8305934 51.6508537)",,30,,,
"[204128420, 42043117]",False,2,Lindenplatz,living_street,False,81.188,"LINESTRING (9.8308736 51.6509341, 9.8311798 51.6509824, 9.8313043 51.6509956, 9.8314777 51.6510093, 9.8314821 51.6509812, 9.8315088 51.6508105, 9.8315359 51.6506639)",,,,,
204099394,False,2,Vor dem Tore,residential,True,117.93199999999999,"LINESTRING (9.8308736 51.6509341, 9.830955 51.6509858, 9.8310056 51.651032, 9.8310306 51.6510769, 9.8310305 51.6511268, 9.8310193 51.6511776, 9.83099 51.6512332, 9.8309197 51.65132, 9.8308991 51.6513598, 9.8308871 51.6513831, 9.8308587 51.6514359, 9.8308249 51.6515058, 9.8308081 51.6515777, 9.8307999 51.6516559, 9.8308062 51.6517298, 9.8308239 51.6517964, 9.8308508 51.6518628, 9.8308905 51.6519307)",,30,,,
8090207,False,,An der Kirche,residential,False,2.732,"LINESTRING (9.8284522 51.6507125, 9.8284493 51.650737)",,30,,,
