osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width
9659732,Mühlenstraße,residential,50,False,False,60.684,,"LINESTRING (13.5435848 52.6467688, 13.5436769 52.646791, 13.5436992 52.6467962, 13.5442564 52.6469272, 13.5444222 52.646968)",
14123160,Brixener Straße,residential,30,False,True,201.80700000000002,,"LINESTRING (13.5435848 52.6467688, 13.5434999 52.6467498, 13.5432344 52.6466903, 13.5423446 52.6464911, 13.5416995 52.64634, 13.5413162 52.6462487, 13.5409471 52.6461686, 13.5407737 52.6461599)",
1204586082,Schwanebecker Straße,residential,,False,True,127.39399999999999,,"LINESTRING (13.5435848 52.6467688, 13.5438276 52.6463757, 13.5439093 52.646251, 13.5439963 52.646114, 13.5441387 52.6458886, 13.5442512 52.6457182, 13.5442634 52.6456997)",
"[1205158577, 532198758]",Schwanebecker Straße,residential,,False,False,139.704,,"LINESTRING (13.5435848 52.6467688, 13.5433772 52.6470985, 13.5432931 52.647232, 13.5432676 52.6472726, 13.5432449 52.6473086, 13.5431587 52.6474458, 13.5430796 52.6475713, 13.5429788 52.6477314, 13.542846 52.6479425)",
9659083,Birkholzer Straße,tertiary,50,False,False,184.46,2,"LINESTRING (13.5459551 52.6494372, 13.5456131 52.6495939, 13.5447685 52.6499819, 13.5443442 52.6501725, 13.5438944 52.6503929, 13.5437697 52.6504318)",
9659083,Birkholzer Straße,tertiary,50,False,True,142.162,2,"LINESTRING (13.5459551 52.6494372, 13.5470466 52.6489426, 13.5476434 52.6486721)",
15744526,Gernroder Straße,residential,30,False,False,145.824,,"LINESTRING (13.5459551 52.6494372, 13.5460126 52.6494843, 13.5460823 52.6495487, 13.5461474 52.649616, 13.5462119 52.649699, 13.5463017 52.6497878, 13.5464269 52.6499235, 13.5465171 52.65003, 13.5465876 52.6501136, 13.546716 52.6502764, 13.5467831 52.6503642, 13.5469529 52.6505979)",
47440151,Mühlenstraße,residential,50,False,True,197.676,,"LINESTRING (13.5459551 52.6494372, 13.5458886 52.6493963, 13.5455958 52.6490865, 13.5454983 52.6489753, 13.5454629 52.6489084, 13.5454519 52.648847, 13.5454529 52.6488189, 13.5454603 52.6487781, 13.5454843 52.6487044, 13.545662 52.6482299, 13.5456896 52.6481571, 13.5458325 52.647767)",
14123399,Bozener Straße,residential,30,False,True,155.539,,"LINESTRING (13.542846 52.6479425, 13.5427763 52.6479264, 13.5423737 52.6478336, 13.541275 52.6475802, 13.5406909 52.6474455)",5.5
"[1266681660, 532198758]",Schwanebecker Straße,residential,,False,False,180.467,,"LINESTRING (13.542846 52.6479425, 13.5426965 52.6481817, 13.5426835 52.6482025, 13.5425078 52.6484835, 13.5424941 52.6485055, 13.5423667 52.6487096, 13.5423128 52.648796, 13.5422136 52.648951, 13.5421938 52.6489819, 13.5421094 52.6491133, 13.5419298 52.6493932, 13.5419281 52.6494626)",
