osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,access,tunnel
24314256,Häckersteig,residential,30,False,False,147.678,"LINESTRING (10.8023338 49.7064112, 10.802364 49.7064941, 10.8023501 49.7065463, 10.8021102 49.7069029, 10.8019893 49.7071367, 10.8017457 49.7076684)",,,,,
38861075,Rothenburger Straße,tertiary,50,False,False,77.822,"LINESTRING (10.8023338 49.7064112, 10.8027024 49.7063015, 10.8028643 49.7062526, 10.8031782 49.7061579, 10.8033154 49.7061165)",2,,,,
8145180,Hauptstraße,living_street,,False,False,47.65,"LINESTRING (10.8057227 49.7053486, 10.8055315 49.7049383)",,,,,
"[284484978, 627486710, 627486711]",Spitalstraße,tertiary,30,False,True,91.03099999999999,"LINESTRING (10.8057227 49.7053486, 10.805637 49.7053513, 10.8055772 49.705361, 10.8054964 49.7053857, 10.8049035 49.7055737, 10.8045744 49.7056812)",2,,,,
627486713,Bamberger Straße,tertiary,30,False,False,11.623999999999999,"LINESTRING (10.8057227 49.7053486, 10.8057796 49.7053575, 10.8058681 49.7053917)",2,,,,
4428604,Bamberger Straße,tertiary,30,False,True,22.4,"LINESTRING (10.8062256 49.7060271, 10.8061212 49.7058373)",2,,,,
26407005,Häfnersberg,residential,,True,False,25.617,"LINESTRING (10.8062256 49.7060271, 10.8058913 49.7061067)",,,,,
31256290,Bamberger Straße,tertiary,30,False,False,46.189,"LINESTRING (10.8062256 49.7060271, 10.8063179 49.7063077, 10.8063271 49.7063357, 10.8063592 49.7064334)",2,,,,
"[4428608, 530958345]",Bamberger Straße,secondary,50,False,False,99.20600000000002,"LINESTRING (10.8063592 49.7064334, 10.8064313 49.7064309, 10.806494 49.7064287, 10.8065691 49.7064261, 10.8069125 49.706415, 10.8072302 49.7064032, 10.8075475 49.7063976, 10.8077367 49.706387)",2,St 2763,,,
31256290,Bamberger Straße,tertiary,30,False,True,46.189,"LINESTRING (10.8063592 49.7064334, 10.8063271 49.7063357, 10.8063179 49.7063077, 10.8062256 49.7060271)",2,,,,
309560919,Kellerstraße,secondary,50,False,True,54.68300000000001,"LINESTRING (10.8063592 49.7064334, 10.8063854 49.706563, 10.8063905 49.7065884, 10.8064024 49.7066471, 10.8064477 49.7069218)",3,St 2763,,,
309560920,Lindenstraße,secondary,50,True,False,25.368,"LINESTRING (10.8120305 49.7044402, 10.811679 49.7044595)",1,St 2263,,,
