osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access,bridge
"[203819078, 499282951, 499282950, 1202631893, 925222070, 1202631894]","['4', '5', '3']",L 12,Dr.-Leber-Straße,secondary,50,False,True,304.395,"LINESTRING (11.4715765 53.8903335, 11.4713626 53.8902771, 11.470864 53.8901552, 11.4705084 53.8900686, 11.470333 53.8900217, 11.4700978 53.8899521, 11.4699476 53.8899035, 11.4698214 53.8898557, 11.4697039 53.8898042, 11.4695138 53.8897053, 11.4693786 53.8896349, 11.4692614 53.8895689, 11.469068 53.8894619, 11.4687511 53.8892776, 11.4686247 53.889195, 11.468573 53.8891599, 11.4681218 53.8888814, 11.4678828 53.8887431)",,,
499765137,4,,Dr.-Leber-Straße,tertiary,30,False,False,54.471000000000004,"LINESTRING (11.4715765 53.8903335, 11.4715031 53.8904202, 11.4714599 53.8904879, 11.4714098 53.8905719, 11.4713471 53.8906886, 11.4712945 53.8907933)",,,
"[24821176, 499765138]",2,,Kanalstraße,tertiary,50,False,False,102.035,"LINESTRING (11.4715765 53.8903335, 11.4717082 53.8902147, 11.4718842 53.8900461, 11.4720124 53.8899337, 11.4720678 53.8898291, 11.4721064 53.8897366, 11.4721704 53.8895952, 11.4722068 53.8895066)",,,
24398257,,,Mecklenburger Straße,residential,30,True,False,18.011,"LINESTRING (11.4641606 53.8883032, 11.4640148 53.8881659)",,,
24398264,,,Am Katersteig,residential,30,False,True,124.16100000000002,"LINESTRING (11.4641606 53.8883032, 11.4644937 53.8881611, 11.4648526 53.888008, 11.4652094 53.8878547, 11.465321 53.8875657, 11.4653423 53.8875106)",,,
25495682,,,Großschmiedestraße,residential,30,True,False,44.4,"LINESTRING (11.4696476 53.8920138, 11.4697289 53.8921001, 11.4697675 53.8921971, 11.4697847 53.8922954, 11.4698093 53.8923965)",,,
91852774,,,Turmstraße,residential,30,True,False,107.516,"LINESTRING (11.4694319 53.8911455, 11.4695546 53.8912649, 11.469743 53.8914403, 11.4698537 53.8916218, 11.4698473 53.8917977, 11.4698137 53.8918624, 11.4697864 53.8919149, 11.4696476 53.8920138)",,,
91890634,,,,residential,,False,False,98.753,"LINESTRING (11.4694319 53.8911455, 11.4698971 53.8909034, 11.4701324 53.890781, 11.4705516 53.8905512)",,,
27992958,,,Altwismarstraße,residential,30,True,False,33.54,"LINESTRING (11.4698093 53.8923965, 11.4698701 53.8924271, 11.4700232 53.8924392, 11.4703005 53.892444)",,,
35063497,,,Bauhofstraße,residential,,True,False,91.65100000000001,"LINESTRING (11.4698093 53.8923965, 11.4698569 53.8926304, 11.4699418 53.8928824, 11.4700799 53.893204)",,,
27992959,2,,Bauhofstraße,tertiary,30,False,False,83.82,"LINESTRING (11.4703005 53.892444, 11.470287 53.8926525, 11.4702737 53.8928581, 11.4702711 53.8930151, 11.4702681 53.8931975)",,,
"[35063580, 1001482167]",3,,Dr.-Leber-Straße,tertiary,30,False,True,192.44400000000002,"LINESTRING (11.4703005 53.892444, 11.4703197 53.8922784, 11.4703532 53.8921171, 11.4704145 53.8919799, 11.470503 53.8919011, 11.4705891 53.8918405, 11.4706043 53.8918283, 11.4709775 53.8915511, 11.4711155 53.8914031, 11.4711244 53.8913861, 11.4711832 53.8912738, 11.4712184 53.8911638, 11.4712595 53.8908631)",,,
91890634,,,,residential,,False,True,98.753,"LINESTRING (11.4705516 53.8905512, 11.4701324 53.890781, 11.4698971 53.8909034, 11.4694319 53.8911455)",,,
1245423008,1,,,residential,,True,False,64.089,"LINESTRING (11.4705516 53.8905512, 11.4709807 53.8908343, 11.4710159 53.8908426, 11.4710877 53.8908414, 11.4711477 53.8908355, 11.4712945 53.8907933)",,,
1245423007,4,,Dr.-Leber-Straße,tertiary,30,False,True,8.093,"LINESTRING (11.4712595 53.8908631, 11.4712945 53.8907933)",,,
"[35063580, 1001482167]",3,,Dr.-Leber-Straße,tertiary,30,False,False,192.44400000000002,"LINESTRING (11.4712595 53.8908631, 11.4712184 53.8911638, 11.4711832 53.8912738, 11.4711244 53.8913861, 11.4711155 53.8914031, 11.4709775 53.8915511, 11.4706043 53.8918283, 11.4705891 53.8918405, 11.470503 53.8919011, 11.4704145 53.8919799, 11.4703532 53.8921171, 11.4703197 53.8922784, 11.4703005 53.892444)",,,
24398267,,,Diebstraße,residential,30,False,False,114.012,"LINESTRING (11.4674427 53.8912547, 11.4673809 53.8918075, 11.4673395 53.8922782)",,,
25495682,,,Großschmiedestraße,residential,30,True,False,167.712,"LINESTRING (11.4674427 53.8912547, 11.4679784 53.8914261, 11.46888 53.891705, 11.4690983 53.8917837, 11.4693937 53.8918901, 11.4696476 53.8920138)",,,
33561872,2,,Am Markt,residential,30,False,False,67.233,"LINESTRING (11.4655606 53.8911127, 11.4657359 53.8911118, 11.4659362 53.8910949, 11.4661495 53.8910711, 11.4663379 53.891053, 11.4664647 53.8910385, 11.4665747 53.8910289)",,,
24865485,,,Fischerreihe,residential,30,False,True,53.690000000000005,"LINESTRING (11.459709 53.8947214, 11.4598451 53.8946134, 11.4598736 53.8945866, 11.4599157 53.8945533, 11.4601138 53.8944198, 11.4602527 53.8943662)",,,
"[381740329, 325225730, 136286631]",3,,Schiffbauerdamm,residential,50,False,True,76.417,"LINESTRING (11.459709 53.8947214, 11.4595618 53.8948018, 11.4595377 53.8948146, 11.4593943 53.8948812, 11.4592653 53.8949307, 11.4591321 53.8949756, 11.4589878 53.8950045, 11.4588163 53.8950283, 11.4587047 53.8950434)",,,
376486259,2,,Ulmenstraße,tertiary,50,False,True,112.179,"LINESTRING (11.459709 53.8947214, 11.4591588 53.8942472, 11.4590112 53.8941526, 11.4586472 53.8939345)",,,
