osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,lanes,access
24889261,Friedhofweg,residential,30,False,True,112.445,,"LINESTRING (9.6842158 48.4930317, 9.6845945 48.4940113)",,,
33187872,Olgastraße,secondary,50,False,False,168.028,L 1236,"LINESTRING (9.6842158 48.4930317, 9.6846039 48.4929938, 9.6850923 48.4929596, 9.6857575 48.4929103, 9.6862392 48.4928401, 9.6864617 48.4927916)",,,
33187872,Olgastraße,secondary,50,False,True,136.683,L 1236,"LINESTRING (9.6842158 48.4930317, 9.6838485 48.4930764, 9.6824251 48.4933484)",,,
24870089,Weite Straße,secondary,50,False,True,48.093,L 1236,"LINESTRING (9.6862443 48.4919327, 9.6862997 48.4920095, 9.6863701 48.4921623, 9.6864173 48.4923473)",,,
24889253,Kirchstraße,residential,30,False,False,68.68299999999999,,"LINESTRING (9.6862443 48.4919327, 9.6865347 48.4918203, 9.6867781 48.4917577, 9.6870065 48.4917128, 9.6870989 48.4916946)",,,
27076512,Weite Straße,secondary,50,False,False,80.146,L 1236,"LINESTRING (9.6862443 48.4919327, 9.686122 48.4918378, 9.6859742 48.4916872, 9.6858513 48.4914999, 9.6858121 48.4914438, 9.6857532 48.4912987)",,,
24889237,Maierstraße,residential,30,False,False,66.729,,"LINESTRING (9.6857532 48.4912987, 9.6848694 48.4914293)",,,
27076512,Weite Straße,secondary,50,False,False,49.791,L 1236,"LINESTRING (9.6857532 48.4912987, 9.6856806 48.4910469, 9.6856708 48.4909842, 9.6856507 48.4908565)",,,
27076512,Weite Straße,secondary,50,False,True,80.14599999999999,L 1236,"LINESTRING (9.6857532 48.4912987, 9.6858121 48.4914438, 9.6858513 48.4914999, 9.6859742 48.4916872, 9.686122 48.4918378, 9.6862443 48.4919327)",,,
"[24889465, 24889236]",Heimweggasse,residential,30,False,"[False, True]",126.445,,"LINESTRING (9.6856507 48.4908565, 9.6847388 48.4909056, 9.6848694 48.4914293)",,,
27076512,Weite Straße,secondary,50,False,False,71.04299999999999,L 1236,"LINESTRING (9.6856507 48.4908565, 9.6856616 48.4905706, 9.6856751 48.4902178)",,,
27076512,Weite Straße,secondary,50,False,True,49.791,L 1236,"LINESTRING (9.6856507 48.4908565, 9.6856708 48.4909842, 9.6856806 48.4910469, 9.6857532 48.4912987)",,,
