osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,est_width
38107529,1,Rönnebecker Weg,unclassified,False,False,39.215,"LINESTRING (12.9889345 52.9769135, 12.9890605 52.9770631, 12.9891267 52.9771285, 12.989215 52.9772229)",,,,
508494792,2,Granseer Straße,secondary,False,False,264.62600000000003,"LINESTRING (12.9889345 52.9769135, 12.9888186 52.976788, 12.9887654 52.9767304, 12.9885544 52.9765019, 12.988222 52.9761419, 12.9877456 52.975626, 12.987207 52.9750428, 12.9869302 52.974871)",L 22,50,,
9703627,2,Platz der Einheit,secondary,False,False,33.791,"LINESTRING (12.9880951 52.9735624, 12.9881767 52.9734207, 12.9882302 52.9732702)",L 19,50,,
9703627,2,Platz der Einheit,secondary,False,True,165.25900000000001,"LINESTRING (12.9880951 52.9735624, 12.9879646 52.9737503, 12.98793 52.9737964, 12.9877808 52.9739677, 12.9876844 52.9740783, 12.9876465 52.9741218, 12.9874519 52.9743254, 12.9869302 52.974871)",L 19,50,,
318047958,,Platz der Einheit,residential,False,False,66.793,"LINESTRING (12.9880951 52.9735624, 12.9883099 52.9735844, 12.9889701 52.9733347)",,50,,
9703627,2,Platz der Einheit,secondary,False,True,33.791,"LINESTRING (12.9882302 52.9732702, 12.9881767 52.9734207, 12.9880951 52.9735624)",L 19,50,,
48812679,,Platz der Einheit,residential,False,False,125.68599999999999,"LINESTRING (12.9882302 52.9732702, 12.9879097 52.9732814, 12.9871801 52.9733319, 12.9871267 52.9733354, 12.986543 52.9733737, 12.9863624 52.9733773)",,,,
548438814,2,Straße des Friedens,secondary,False,False,147.674,"LINESTRING (12.9882302 52.9732702, 12.9882475 52.9731979, 12.9881692 52.9727198, 12.9881575 52.9726616, 12.9881066 52.972417, 12.9880744 52.9721315, 12.9880765 52.9719482)",L 19,50,,
49089534,2,Straße des Friedens,secondary,False,False,77.62,"LINESTRING (12.9881302 52.9713845, 12.9881038 52.9712461, 12.9880569 52.9711222, 12.9877269 52.970739)",L 19,50,,
49089534,2,Straße des Friedens,secondary,False,True,62.784,"LINESTRING (12.9881302 52.9713845, 12.9881015 52.9716908, 12.9880765 52.9719482)",L 19,50,,
172546731,,Dammstraße,residential,True,False,89.947,"LINESTRING (12.9881302 52.9713845, 12.9876012 52.9714964, 12.9868923 52.971696)",,,,
341341708,,August-Fischer-Straße,residential,False,True,51.015,"LINESTRING (12.9851838 52.9715824, 12.9851688 52.9711237)",,50,,
"[25641266, 26041955]",,"['August-Fischer-Straße', 'Am Gudelacksee']","['residential', 'living_street']",False,"[False, True]",638.6689999999999,"LINESTRING (12.9851838 52.9715824, 12.9849501 52.9715883, 12.9847031 52.9716077, 12.9838953 52.971693, 12.9835845 52.9717351, 12.9833534 52.9717633, 12.983253 52.9717891, 12.9831709 52.9718535, 12.9831744 52.9719561, 12.9831893 52.9720381, 12.9832476 52.9721147, 12.9834986 52.9722627, 12.9835418 52.9722975, 12.9835707 52.9723479, 12.983595 52.9725395, 12.9836077 52.9726399, 12.9836034 52.9731419, 12.983557 52.9736522, 12.9835179 52.9738406, 12.9834953 52.9739069, 12.9834764 52.9739625, 12.9833593 52.9743064, 12.9832083 52.9747454, 12.983193 52.9747806, 12.9830949 52.9750064, 12.982927 52.9753537, 12.9827455 52.9756663, 12.9825426 52.9760125, 12.9824622 52.9761556)",,10,,
"[548433576, 172546734]",,"['August-Fischer-Straße', 'Seestraße']",residential,False,"[False, True]",167.687,"LINESTRING (12.9851838 52.9715824, 12.9851692 52.972039, 12.9859415 52.9720134, 12.9869121 52.9719779)",,50,,
172546733,,Marktplatz,residential,False,True,38.351,"LINESTRING (12.9880765 52.9719482, 12.9886489 52.9719367)",,,,
172546734,,Seestraße,residential,False,False,78.041,"LINESTRING (12.9880765 52.9719482, 12.9869121 52.9719779)",,50,,
49089534,2,Straße des Friedens,secondary,False,False,62.784,"LINESTRING (12.9880765 52.9719482, 12.9881015 52.9716908, 12.9881302 52.9713845)",L 19,50,,
548438814,2,Straße des Friedens,secondary,False,True,147.67400000000004,"LINESTRING (12.9880765 52.9719482, 12.9880744 52.9721315, 12.9881066 52.972417, 12.9881575 52.9726616, 12.9881692 52.9727198, 12.9882475 52.9731979, 12.9882302 52.9732702)",L 19,50,,
172546733,,Marktplatz,residential,False,False,38.351,"LINESTRING (12.9886489 52.9719367, 12.9880765 52.9719482)",,,,
341341708,,August-Fischer-Straße,residential,False,False,51.015,"LINESTRING (12.9851688 52.9711237, 12.9851838 52.9715824)",,50,,
