osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,bridge,access
"[121291380, 855489603, 89968316, 89968317]","['2', '1']",K 7943,Bruchheimer Straße,tertiary,50,"['5.5', '3.5']",False,False,66.888,"LINESTRING (12.698523 51.0522828, 12.6985945 51.0523331, 12.6988611 51.0525286, 12.698907 51.0525639, 12.6990089 51.0526488, 12.6990887 51.0527154, 12.6991237 51.0527503)",,
"[855489603, 855489604, 102672069]",2,K 7943,Bruchheimer Straße,tertiary,50,5.5,False,True,103.35699999999999,"LINESTRING (12.698523 51.0522828, 12.698195 51.0520798, 12.6980422 51.0519852, 12.697779 51.0518146, 12.6976088 51.0516969, 12.6975744 51.0516701, 12.6975004 51.0516123)",,
25889154,2,K 7943,Dresdener Straße,tertiary,50,5.5,False,True,53.11,"LINESTRING (12.6991237 51.0527503, 12.6992608 51.0527233, 12.6994191 51.0527055, 12.699566 51.0526993, 12.69968 51.0526995, 12.6998733 51.0527107)",,
"[804522464, 209969970, 41451831, 46604335]",1,,Dresdener Straße,residential,"['50', '20']","['5.5', '3.5', '4.0']",False,False,69.376,"LINESTRING (12.6991237 51.0527503, 12.6990494 51.052767, 12.6989571 51.0527967, 12.6987506 51.0528628, 12.6984088 51.0529881, 12.6983571 51.0530082, 12.6982536 51.0530485)",,
"[89968316, 855489603, 121291380, 89968317]","['2', '1']",K 7943,Bruchheimer Straße,tertiary,50,"['5.5', '3.5']",False,True,66.888,"LINESTRING (12.6991237 51.0527503, 12.6990887 51.0527154, 12.6990089 51.0526488, 12.698907 51.0525639, 12.6988611 51.0525286, 12.6985945 51.0523331, 12.698523 51.0522828)",,
"[584846247, 827299142, 584846246, 25836087]","['2', '3']",B 7,Colditzer Straße,primary,50,7.0,False,False,288.627,"LINESTRING (12.6998733 51.0527107, 12.6998613 51.0527423, 12.6998642 51.0527831, 12.6998903 51.0528278, 12.6999814 51.0529288, 12.7001674 51.0531325, 12.7003629 51.0533347, 12.7006275 51.0535931, 12.7007075 51.0536835, 12.7007348 51.0537333, 12.7007368 51.0537808, 12.7007343 51.0538246, 12.70072 51.0538708, 12.7007015 51.0539085, 12.7006427 51.0539804, 12.7005737 51.0540539, 12.7003545 51.0542025, 12.7000573 51.0543831, 12.6998795 51.0544961, 12.6998376 51.054542, 12.6998152 51.0545804, 12.6997886 51.0546443, 12.6997751 51.0547131, 12.6997678 51.0547966, 12.6997618 51.0548629, 12.6997596 51.0549419)",,
25889154,2,K 7943,Dresdener Straße,tertiary,50,5.5,False,False,53.11,"LINESTRING (12.6998733 51.0527107, 12.69968 51.0526995, 12.699566 51.0526993, 12.6994191 51.0527055, 12.6992608 51.0527233, 12.6991237 51.0527503)",,
"[286755657, 87282701, 25836086]",2,S 44,Colditzer Straße,secondary,50,"['5.5', '6.0']",False,False,83.847,"LINESTRING (12.7007215 51.0562493, 12.7009624 51.0563596, 12.7010497 51.0564047, 12.7011923 51.0564785, 12.7012483 51.0565074, 12.7015646 51.0566623, 12.7016674 51.0567128)",,
"[262226442, 720844494]","['2', '3']",B 7,Colditzer Straße,primary,50,"['7.0', '9.0']",False,True,93.39699999999999,"LINESTRING (12.7007215 51.0562493, 12.700577 51.0561716, 12.700541 51.0561486, 12.7004025 51.0560676, 12.7003003 51.055995, 12.7002102 51.055921, 12.7001697 51.0558828, 12.7001258 51.0558415, 12.7000563 51.0557696, 12.699982 51.0556777, 12.6999238 51.0555886)",,
"[206148098, 262226444, 836869773]","['2', '3']",B 7,Eisenbahnstraße,primary,50,"['7.0', '6.0', '9.5']",False,True,206.41000000000003,"LINESTRING (12.7007215 51.0562493, 12.7006206 51.0563135, 12.7004451 51.0564157, 12.7002621 51.0565075, 12.6994719 51.0568765, 12.6988128 51.0571773, 12.6984279 51.0573431, 12.6983687 51.0573675)",,
85937539,2,B 7,Grimmaische Straße,primary,50,6.0,False,True,119.538,"LINESTRING (12.6905589 51.0584912, 12.6905622 51.058419, 12.6905558 51.0583204, 12.6905486 51.0582573, 12.6905268 51.058131, 12.6904744 51.0579271, 12.6904012 51.0577286, 12.690362 51.0576514, 12.6902381 51.057443)",,
"[107589263, 107589271]",1,,Schillerstraße,residential,30,4.0,False,True,139.164,"LINESTRING (12.6905589 51.0584912, 12.6907292 51.0584979, 12.6907761 51.0584995, 12.6908954 51.0585057, 12.6910589 51.0585177, 12.6911878 51.0585302, 12.6913113 51.0585511, 12.6915868 51.0585981, 12.6918739 51.0586361, 12.6920785 51.0586585, 12.6922151 51.058673, 12.6923004 51.0586799, 12.6924067 51.0586853, 12.6925189 51.0586949)",,
"[48231204, 25834822]",2,,Bahnhofstraße,residential,"['20', '30']","['6.6', '7.2']",False,False,197.32299999999998,"LINESTRING (12.6945393 51.054553, 12.6946313 51.0546742, 12.6947891 51.0547706, 12.6948138 51.0547832, 12.6949082 51.0548311, 12.6950491 51.0548973, 12.6951867 51.0549742, 12.6952469 51.0550176, 12.6952824 51.0550475, 12.6952927 51.0550615, 12.695319 51.0550867, 12.6954059 51.0551846, 12.6954714 51.0552953, 12.6955188 51.0554146, 12.6955323 51.0554432, 12.6955821 51.055602, 12.6956746 51.0558868, 12.6957539 51.056084)",,
25893806,2,,Markt,residential,20,5,False,True,39.206,"LINESTRING (12.6945393 51.054553, 12.6945191 51.0544752, 12.6944393 51.0542809, 12.6944043 51.0542112)",,
"[1073004928, 1073004929, 1099783475, 37838267, 25894303]",1,,"['Markt', 'Katharinenstraße']",residential,20,4.5,True,False,163.16699999999997,"LINESTRING (12.6945393 51.054553, 12.694724 51.0544793, 12.6948654 51.0544232, 12.6950798 51.0543382, 12.6951005 51.05433, 12.6951783 51.054299, 12.695188 51.0542951, 12.6953005 51.0542502, 12.6954464 51.0541919, 12.6954816 51.0541748, 12.6956307 51.0541098, 12.6957734 51.0540502, 12.6959147 51.0539969, 12.6960306 51.053957, 12.6961493 51.053922, 12.696382 51.0538551, 12.6964105 51.053847, 12.6965409 51.0538026)",,
"[806463305, 1250838510]",2,B 7,Eisenbahnstraße,primary,50,6.0,False,False,27.235,"LINESTRING (12.6965114 51.0581884, 12.6966364 51.0581322, 12.6968288 51.0580463)",,
1139167532,2,,Bahnhofstraße,residential,50,5.5,False,True,22.956,"LINESTRING (12.6965114 51.0581884, 12.6964842 51.0581571, 12.6964514 51.0581094, 12.6963925 51.0579965)",,
"[25890160, 561956169, 561956170, 25890383]",1,,"['Querstraße', 'Chemnitzer Straße']",residential,20,"['5.0', '4.0']",True,False,219.52599999999998,"LINESTRING (12.6982536 51.0530485, 12.6978937 51.0526192, 12.6978591 51.0525835, 12.6978109 51.0525621, 12.6977879 51.0525585, 12.6977604 51.0525572, 12.6977388 51.0525613, 12.6976889 51.0525709, 12.697519 51.0526439, 12.6973499 51.0527307, 12.6970938 51.0528621, 12.6969902 51.0529166, 12.6969763 51.0529238, 12.6968957 51.0529662, 12.6965398 51.0531815, 12.6963766 51.0532728, 12.6962066 51.0533747, 12.6961566 51.0534047, 12.6961103 51.0534516)",,
"[804522464, 209969970, 46604335, 41451831]",1,,Dresdener Straße,residential,"['20', '50']","['5.5', '3.5', '4.0']",False,True,69.37599999999999,"LINESTRING (12.6982536 51.0530485, 12.6983571 51.0530082, 12.6984088 51.0529881, 12.6987506 51.0528628, 12.6989571 51.0527967, 12.6990494 51.052767, 12.6991237 51.0527503)",,
25893806,2,,Markt,residential,20,5,False,False,39.206,"LINESTRING (12.6944043 51.0542112, 12.6944393 51.0542809, 12.6945191 51.0544752, 12.6945393 51.054553)",,
"[1073004480, 25894012, 25894188, 340291924]",1,,"['Markt', 'Nikolaistraße']",residential,20,"['4.5', '4.0']",True,False,69.167,"LINESTRING (12.6944043 51.0542112, 12.6942481 51.054245, 12.6938117 51.0543211, 12.6935969 51.0543462, 12.6935139 51.0543491, 12.6934441 51.0543515)",,
"[31253981, 78167729, 48231205, 85937502]",1,,Leipziger Straße,residential,20,"['5.0', '4.0']",False,"[False, True]",114.72499999999998,"LINESTRING (12.6909752 51.0545627, 12.6909633 51.0545621, 12.6906713 51.0545478, 12.6905696 51.0545428, 12.6903804 51.0545471, 12.6903638 51.0545475, 12.6900575 51.0545575, 12.6897708 51.0545642, 12.6896865 51.0545749, 12.6895727 51.0545964, 12.6894607 51.0546559, 12.6893993 51.0546915)",,
