osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
24935414,,Propsteistraße,residential,30,False,False,75.736,"LINESTRING (7.9653811 48.0908128, 7.9652591 48.0907866, 7.9651053 48.0907313, 7.9648259 48.0906354, 7.9646865 48.0906236, 7.9644244 48.0906295)",,
271421178,,Heinrich-Baumer-Straße,residential,30,False,True,75.118,"LINESTRING (7.9653811 48.0908128, 7.9654904 48.0908431, 7.9655647 48.0909151, 7.9656684 48.0910689, 7.9658847 48.0913771)",,
23034578,,Dettenbachstraße,residential,30,False,False,27.457,"LINESTRING (7.9661098 48.0905067, 7.9664482 48.0904073)",,
23034578,,Dettenbachstraße,residential,30,False,True,64.80199999999999,"LINESTRING (7.9661098 48.0905067, 7.9658692 48.0905627, 7.9656785 48.0906379, 7.9653811 48.0908128)",,
"[641480427, 641480428, 37910079]",,Bündtenstraße,residential,30,False,False,35.007,"LINESTRING (7.9661098 48.0905067, 7.9661324 48.0905341, 7.9661547 48.0905613, 7.9663098 48.0907916)",yes,
23034578,,Dettenbachstraße,residential,30,False,False,26.654,"LINESTRING (7.9664482 48.0904073, 7.966789 48.0903322)",,
23034578,,Dettenbachstraße,residential,30,False,True,27.457,"LINESTRING (7.9664482 48.0904073, 7.9661098 48.0905067)",,
35266357,,Leo-Wohleb-Weg,residential,30,False,True,39.219,"LINESTRING (7.9664482 48.0904073, 7.9662821 48.0900725)",,
223399430,,Elzstraße,living_street,,False,True,62.222,"LINESTRING (7.9600576 48.0944707, 7.960276 48.0946027, 7.9606673 48.0948544)",,
223399501,,Schlettstadtallee,residential,30,False,False,11.392,"LINESTRING (7.9600576 48.0944707, 7.9600002 48.0945016, 7.9599221 48.0945121)",,
145816919,,Elzstraße,living_street,,False,False,46.658,"LINESTRING (7.9617884 48.0962225, 7.9615798 48.0958267)",,
32024053,,Schliffigäßli,living_street,30,False,True,80.638,"LINESTRING (7.9617884 48.0962225, 7.9619987 48.0961505, 7.9622452 48.0961193, 7.9625125 48.096075, 7.9627843 48.0959582)",,
"[1018890945, 1018890946, 1018890952, 1018890956, 145816919]",,Elzstraße,living_street,,False,True,107.38099999999999,"LINESTRING (7.9617884 48.0962225, 7.961935 48.0965482, 7.9620576 48.0967548, 7.9620646 48.0967707, 7.962077 48.0967993, 7.9620803 48.0968069, 7.9621992 48.0969834, 7.9623293 48.0969814, 7.962424 48.0970081)",yes,
130420498,,Schützenstraße,living_street,,False,False,81.537,"LINESTRING (7.9606673 48.0948544, 7.9607491 48.0948518, 7.960883 48.0948916, 7.9609969 48.0949771, 7.9610375 48.0949752, 7.9611357 48.0949283, 7.9616002 48.0947488)",,
158260289,,Elzstraße,living_street,,False,True,132.53199999999998,"LINESTRING (7.9606673 48.0948544, 7.9606614 48.0950021, 7.9607015 48.0950299, 7.9607757 48.0950852, 7.9608723 48.0951497, 7.9610043 48.0952448, 7.9611738 48.095353, 7.9613458 48.0954689, 7.9615211 48.0957246, 7.9615798 48.0958267)",,
223399430,,Elzstraße,living_street,,False,False,62.222,"LINESTRING (7.9606673 48.0948544, 7.960276 48.0946027, 7.9600576 48.0944707)",,
24660274,,Merklinstraße,residential,30,False,False,103.904,"LINESTRING (7.9574879 48.093624, 7.9569683 48.0935964, 7.9565493 48.0935668, 7.9560955 48.093534)",,
"[107451315, 158260284, 864045934]",,Schlettstadtallee,residential,10,False,True,111.62,"LINESTRING (7.9574879 48.093624, 7.9582404 48.0939007, 7.9583904 48.093966, 7.958518 48.0940272, 7.9586287 48.0940647, 7.9587748 48.094067, 7.958809 48.0940567)",,
777555251,,Adenauerstraße,residential,30,False,False,82.457,"LINESTRING (7.9574879 48.093624, 7.9574755 48.0939686, 7.9574746 48.0940051, 7.9574671 48.0943284, 7.9574662 48.0943654)",,
"[145816915, 887572506, 887055259, 887055260]",3,Adenauerstraße,residential,30,False,True,120.76400000000001,"LINESTRING (7.9574879 48.093624, 7.9574938 48.0935475, 7.9575055 48.0935089, 7.957534 48.0934807, 7.9575898 48.09343, 7.9578244 48.0932056, 7.9578742 48.0931587, 7.9579796 48.0930462, 7.958007 48.0930147, 7.9581965 48.092799, 7.9582923 48.0926943)",yes,
