osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel
128416531,,Bayerwaldstraße,residential,,False,True,36.592999999999996,"LINESTRING (13.1309244 48.9690736, 13.1306965 48.9692052, 13.1305711 48.9693056)",,,
157329312,,Kinoweg,residential,,True,False,82.228,"LINESTRING (13.1309244 48.9690736, 13.131045 48.9691205, 13.1311773 48.9691739, 13.1318854 48.9694594)",,,
157329313,,Kinoweg,residential,,False,True,99.446,"LINESTRING (13.1330406 48.9699334, 13.1325838 48.9697512, 13.1320109 48.9695114, 13.1318854 48.9694594)",,,
157329593,,,residential,,False,True,31.2,"LINESTRING (13.1317633 48.9658567, 13.1316961 48.9661338)",,,
157329593,,,residential,,False,False,31.2,"LINESTRING (13.1316961 48.9661338, 13.1317633 48.9658567)",,,
"[157329504, 157329538, 394303612]",,,"['residential', 'unclassified']",,False,False,114.341,"LINESTRING (13.1316961 48.9661338, 13.1313771 48.9661443, 13.1308896 48.9663573, 13.1306976 48.9663265, 13.1303885 48.9664088, 13.1302884 48.9663542)",,,
157329593,,,residential,,False,True,42.524,"LINESTRING (13.1316961 48.9661338, 13.1317108 48.9662366, 13.1317423 48.966287, 13.1318575 48.9664305, 13.1318767 48.9664917)",,,
157329295,,Heilig-Geist-Gasse,residential,,False,True,133.114,"LINESTRING (13.1272094 48.9669619, 13.1272577 48.9671345, 13.127418 48.9672746, 13.1275594 48.9674039, 13.1278137 48.9676312, 13.1281661 48.9679639)",,,
157328936,,Degenbergweg,residential,,False,False,281.602,"LINESTRING (13.1313845 48.9674888, 13.1301154 48.9672953, 13.1294824 48.967174, 13.1293906 48.9671805, 13.1290626 48.967233, 13.1287857 48.9673339, 13.1285656 48.9675005, 13.1283842 48.9676765, 13.1281661 48.9679639)",,,
"[157329593, 518541166, 157329635, 157329462]",,Weißensteinerstraße,residential,,False,False,117.632,"LINESTRING (13.1313845 48.9674888, 13.1315975 48.9671345, 13.1316887 48.9669619, 13.1318977 48.9665585, 13.1318767 48.9664917)",,,yes
"[157329634, 157329635]",,Weißensteinerstraße,residential,,False,True,223.93499999999997,"LINESTRING (13.1313845 48.9674888, 13.1312337 48.9677604, 13.1311521 48.9678216, 13.1310328 48.9678858, 13.1308359 48.9679674, 13.1301738 48.9681402, 13.1299214 48.9682615, 13.1296702 48.9685511, 13.129489 48.9686339, 13.1293406 48.968709, 13.1292326 48.9687996)",,,
50575822,1,,primary_link,50,True,False,73.845,"LINESTRING (13.1242607 48.9677906, 13.1241445 48.967774, 13.1240455 48.9677504, 13.1237482 48.9676286, 13.1235727 48.9675778, 13.1234548 48.9675694, 13.1233509 48.967522)",,,
1091054165,2,,primary_link,50,False,True,54.41,"LINESTRING (13.1242607 48.9677906, 13.1244286 48.9678074, 13.1250031 48.96783)",,,
157329385,,Schönauerweg,residential,,False,True,33.799,"LINESTRING (13.1315578 48.9678045, 13.1313152 48.9680634)",,,
"[242894264, 438037291, 157329380, 513044733]",2,Ruselstraße,tertiary,"['50', '100']",False,True,277.96299999999997,"LINESTRING (13.1255704 48.9678463, 13.1258824 48.9678817, 13.1259381 48.9678863, 13.1263314 48.9679263, 13.1266036 48.9679699, 13.1268825 48.9680204, 13.1272317 48.9681009, 13.127607 48.9682022, 13.1281747 48.9684048, 13.1283783 48.9684791, 13.1284228 48.9684957, 13.12876 48.9686216, 13.1290833 48.9687444)",,,
157329574,1,,primary_link,50,True,False,41.541,"LINESTRING (13.1255704 48.9678463, 13.1253566 48.9678521, 13.1250031 48.96783)",,,
1173953600,2,,primary_link,,False,True,18.241999999999997,"LINESTRING (13.1255704 48.9678463, 13.1254582 48.9678115, 13.125353 48.9677662)",,,
157328936,,Degenbergweg,residential,,False,True,281.602,"LINESTRING (13.1281661 48.9679639, 13.1283842 48.9676765, 13.1285656 48.9675005, 13.1287857 48.9673339, 13.1290626 48.967233, 13.1293906 48.9671805, 13.1294824 48.967174, 13.1301154 48.9672953, 13.1313845 48.9674888)",,,
157329295,,Heilig-Geist-Gasse,residential,,False,False,133.114,"LINESTRING (13.1281661 48.9679639, 13.1278137 48.9676312, 13.1275594 48.9674039, 13.127418 48.9672746, 13.1272577 48.9671345, 13.1272094 48.9669619)",,,
157329295,,Heilig-Geist-Gasse,residential,,False,True,110.47399999999999,"LINESTRING (13.1281661 48.9679639, 13.1283665 48.9681609, 13.1287323 48.9684376, 13.128854 48.9685274, 13.1289065 48.9685664, 13.1290509 48.9686691, 13.1290833 48.9687444)",,,
157329385,,Schönauerweg,residential,,False,False,33.799,"LINESTRING (13.1313152 48.9680634, 13.1315578 48.9678045)",,,
157329384,,Schönauerweg,residential,,False,False,115.673,"LINESTRING (13.1313152 48.9680634, 13.131608 48.9680384, 13.131756 48.9680248, 13.1320471 48.9679692, 13.1322881 48.9679087, 13.1323472 48.9679351, 13.1327748 48.9681142)",,,
157329384,,Schönauerweg,residential,,False,True,125.858,"LINESTRING (13.1313152 48.9680634, 13.1307518 48.9681341, 13.1305743 48.9681776, 13.130406 48.9682775, 13.1301727 48.9687345)",,,
157329384,,Schönauerweg,residential,,False,True,115.67300000000002,"LINESTRING (13.1327748 48.9681142, 13.1323472 48.9679351, 13.1322881 48.9679087, 13.1320471 48.9679692, 13.131756 48.9680248, 13.131608 48.9680384, 13.1313152 48.9680634)",,,
"[616912131, 616912123, 616912124, 157328948]",,"['Am Sand', 'Deggendorfer Straße']",residential,30,False,True,466.2700000000001,"LINESTRING (13.1202756 48.9685999, 13.1206603 48.9686849, 13.1209756 48.9687545, 13.1213086 48.9687948, 13.1220874 48.9690339, 13.1221895 48.9690736, 13.1227149 48.9692781, 13.1231282 48.9694027, 13.1237551 48.9694529, 13.1240651 48.9694582, 13.1241044 48.9694549, 13.1247009 48.969394, 13.1253971 48.9693858, 13.1254352 48.9693752, 13.1254593 48.9693533, 13.1254747 48.9693232, 13.1254932 48.9693054, 13.1255174 48.9692977, 13.1263119 48.9692906)",,,
157328902,,Bahnhofsweg,residential,,False,False,39.716,"LINESTRING (13.1306809 48.9686217, 13.1303522 48.9687242, 13.1301727 48.9687345)",,,
157328902,,Bahnhofsweg,residential,,False,True,39.716,"LINESTRING (13.1301727 48.9687345, 13.1303522 48.9687242, 13.1306809 48.9686217)",,,
157329384,,Schönauerweg,residential,,False,False,125.858,"LINESTRING (13.1301727 48.9687345, 13.130406 48.9682775, 13.1305743 48.9681776, 13.1307518 48.9681341, 13.1313152 48.9680634)",,,
157329384,,Schönauerweg,residential,,False,True,39.524,"LINESTRING (13.1301727 48.9687345, 13.129899 48.9688898, 13.1297946 48.9689858)",,,
157329333,,Moizerlitzplatz,tertiary,50,False,True,12.508,"LINESTRING (13.1290833 48.9687444, 13.1292326 48.9687996)",,,
157329295,,Heilig-Geist-Gasse,residential,,False,False,110.47399999999999,"LINESTRING (13.1290833 48.9687444, 13.1290509 48.9686691, 13.1289065 48.9685664, 13.128854 48.9685274, 13.1287323 48.9684376, 13.1283665 48.9681609, 13.1281661 48.9679639)",,,
"[242894264, 438037291, 157329380, 513044733]",2,Ruselstraße,tertiary,"['50', '100']",False,False,277.963,"LINESTRING (13.1290833 48.9687444, 13.12876 48.9686216, 13.1284228 48.9684957, 13.1283783 48.9684791, 13.1281747 48.9684048, 13.127607 48.9682022, 13.1272317 48.9681009, 13.1268825 48.9680204, 13.1266036 48.9679699, 13.1263314 48.9679263, 13.1259381 48.9678863, 13.1258824 48.9678817, 13.1255704 48.9678463)",,,
872929214,,Unterer Sand,residential,,False,True,72.952,"LINESTRING (13.1253859 48.9687921, 13.1259701 48.968751, 13.1261171 48.9687635, 13.1263095 48.96878, 13.1263778 48.9687887)",,,
157329333,,Moizerlitzplatz,tertiary,50,False,False,12.508,"LINESTRING (13.1292326 48.9687996, 13.1290833 48.9687444)",,,
390478668,3,Moizerlitzplatz,tertiary,50,False,True,45.952,"LINESTRING (13.1292326 48.9687996, 13.1297946 48.9689858)",,,
"[242894263, 157328825, 157329326, 157329327]","['2', '3']","['Ludwigsbrücke', 'Am Platzl']",tertiary,"['50', '30']",False,False,139.55800000000002,"LINESTRING (13.1292326 48.9687996, 13.1291261 48.9689202, 13.1290032 48.9689999, 13.1287383 48.9691263, 13.1284894 48.9692421, 13.1283491 48.9693062, 13.1280945 48.9694137, 13.127963 48.9694627, 13.1277263 48.9695471)",,yes,
"[157329634, 157329635]",,Weißensteinerstraße,residential,,False,False,223.935,"LINESTRING (13.1292326 48.9687996, 13.1293406 48.968709, 13.129489 48.9686339, 13.1296702 48.9685511, 13.1299214 48.9682615, 13.1301738 48.9681402, 13.1308359 48.9679674, 13.1310328 48.9678858, 13.1311521 48.9678216, 13.1312337 48.9677604, 13.1313845 48.9674888)",,,
157329479,,Unterer Sand,residential,30,False,True,56.098,"LINESTRING (13.1263778 48.9687887, 13.1263334 48.9689737, 13.1263119 48.9692906)",,,
