osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,access,width
160655888,Hauptstraße,residential,False,True,6.747,,,"LINESTRING (9.2940445 48.0731172, 9.2939584 48.0731365)",,,
428892714,Hauptstraße,primary,False,False,15.888,B 32,30,"LINESTRING (9.2940445 48.0731172, 9.2942253 48.0731935)",,,
1252376542,Mengener Straße,primary,False,True,48.306,B 32,30,"LINESTRING (9.2940445 48.0731172, 9.2941309 48.0728977, 9.2942331 48.0727018)",,,
5057813,Sigmaringer Straße,primary,False,False,238.957,B 32,50,"LINESTRING (9.2968189 48.0744075, 9.2969471 48.0746561, 9.2969608 48.074764, 9.2969521 48.0748907, 9.2968838 48.0750783, 9.296751 48.0752482, 9.2965954 48.0754475, 9.2956966 48.0762983)",,,
1005952498,Heudorfer Straße,tertiary,False,False,21.209,K 8264,,"LINESTRING (9.2968189 48.0744075, 9.2969298 48.0743662, 9.297085 48.0743447)",,,
1005952506,Sigmaringer Straße,primary,False,True,85.732,B 32,50,"LINESTRING (9.2968189 48.0744075, 9.2965742 48.0741454, 9.2961743 48.0737684)",,,
5057733,Binger Straße,tertiary,False,False,75.70299999999999,K 8265,50,"LINESTRING (9.2956966 48.0762983, 9.2957955 48.0763816, 9.2958163 48.0764477, 9.295793 48.0765045, 9.2957499 48.0765645, 9.2956514 48.0766123, 9.2954627 48.0767194, 9.2953168 48.0768124)",,,
5057813,Sigmaringer Straße,primary,False,True,238.957,B 32,50,"LINESTRING (9.2956966 48.0762983, 9.2965954 48.0754475, 9.296751 48.0752482, 9.2968838 48.0750783, 9.2969521 48.0748907, 9.2969608 48.074764, 9.2969471 48.0746561, 9.2968189 48.0744075)",,,
103292361,Donaustraße,residential,False,False,58.086,,,"LINESTRING (9.2950471 48.0733828, 9.2947982 48.073878)",,,
428892714,Hauptstraße,primary,False,True,17.923,B 32,30,"LINESTRING (9.2950471 48.0733828, 9.2948255 48.0733191)",,,
762451860,Donaustraße,residential,False,True,127.27000000000001,,,"LINESTRING (9.2950471 48.0733828, 9.2954112 48.0729041, 9.2955712 48.0726073, 9.2956078 48.0723162)",,,
"[1005952506, 1005952507, 25568855]","['Hauptstraße', 'Sigmaringer Straße']",primary,False,False,94.096,B 32,50,"LINESTRING (9.2950471 48.0733828, 9.2951906 48.0734355, 9.2959104 48.0736757, 9.2961743 48.0737684)",yes,,
167291414,Kirchberg,residential,False,False,21.484,,,"LINESTRING (9.2925218 48.074462, 9.2926411 48.074286)",,,
167291413,Kirchberg,residential,False,True,58.661,,,"LINESTRING (9.2925218 48.074462, 9.2924453 48.0745378, 9.2921482 48.0748323, 9.2920665 48.0748921)",,,
"[160656889, 461683436]","['Hirschstraße', 'Kirchberg']",residential,False,False,67.348,,,"LINESTRING (9.2925218 48.074462, 9.2930819 48.0746264, 9.2932176 48.0744516)",,,
103292353,An der Stadtmauer,residential,False,True,28.787,,,"LINESTRING (9.2937865 48.0737147, 9.2941348 48.0738281)",,,
160656889,Hirschstraße,residential,False,True,16.965,,,"LINESTRING (9.2937865 48.0737147, 9.2936839 48.073851)",,,
167291411,Hirschstraße,residential,False,False,66.496,,,"LINESTRING (9.2937865 48.0737147, 9.2942253 48.0731935)",,,
103292353,An der Stadtmauer,residential,False,False,49.6,,,"LINESTRING (9.2947982 48.073878, 9.2941348 48.0738281)",,,
103292361,Donaustraße,residential,False,True,58.086,,,"LINESTRING (9.2947982 48.073878, 9.2950471 48.0733828)",,,
"[167291408, 103292364]","['Donaustraße', 'Fabrikstraße']",residential,False,False,302.22800000000007,,,"LINESTRING (9.2947982 48.073878, 9.2944164 48.0746467, 9.2942422 48.0747778, 9.2940946 48.0748378, 9.2935882 48.074994, 9.2931854 48.0752125, 9.2930104 48.0752855, 9.2928171 48.0753068, 9.2926519 48.0752838, 9.2924286 48.0752212, 9.2923692 48.0751903, 9.2920096 48.0750034)",,,
103292330,Schaalstraße,residential,False,False,328.17900000000003,,,"LINESTRING (9.2956019 48.0698555, 9.2958632 48.0699559, 9.2964659 48.0700546, 9.2958119 48.071933, 9.2956078 48.0723162)",,,
983927637,Mengener Straße,primary,False,False,123.505,B 32,50,"LINESTRING (9.2956019 48.0698555, 9.2953031 48.0702347, 9.2949294 48.0708695)",,,
85135158,Fabrikstraße,residential,False,False,13.078,,,"LINESTRING (9.2920096 48.0750034, 9.2920665 48.0748921)",,,
"[167291408, 103292364]","['Donaustraße', 'Fabrikstraße']",residential,False,True,302.228,,,"LINESTRING (9.2920096 48.0750034, 9.2923692 48.0751903, 9.2924286 48.0752212, 9.2926519 48.0752838, 9.2928171 48.0753068, 9.2930104 48.0752855, 9.2931854 48.0752125, 9.2935882 48.074994, 9.2940946 48.0748378, 9.2942422 48.0747778, 9.2944164 48.0746467, 9.2947982 48.073878)",,,
983927640,Fabrikstraße,residential,False,False,120.91799999999999,,,"LINESTRING (9.2920096 48.0750034, 9.2913822 48.0747477, 9.2912101 48.0746557, 9.2912488 48.0742073)",,,
160648498,Donaustraße,residential,False,False,57.243,,,"LINESTRING (9.2947075 48.0720602, 9.2954164 48.0722618)",,,
140163662,Mengener Straße,primary,False,True,133.596,B 32,30,"LINESTRING (9.2947075 48.0720602, 9.2947505 48.0718927, 9.2948464 48.0711423, 9.2948648 48.0710819, 9.2949294 48.0708695)",,,
"[167291416, 25276762]","['Mühlberg', 'Fabrikstraße']",residential,False,True,494.226,,,"LINESTRING (9.2947075 48.0720602, 9.2939568 48.0718669, 9.2938392 48.0718572, 9.2933232 48.0718916, 9.293213 48.0718836, 9.293087 48.0718525, 9.2929839 48.0718531, 9.2928991 48.0718753, 9.2927828 48.0719337, 9.292706 48.0720175, 9.2925386 48.0724675, 9.2923426 48.0728255, 9.2920759 48.0732187, 9.2918247 48.073784, 9.2918248 48.0740361, 9.2918624 48.0743538, 9.2920665 48.0748921)",,,
1252376542,Mengener Straße,primary,False,False,69.62700000000001,B 32,30,"LINESTRING (9.2947075 48.0720602, 9.2945631 48.0723357, 9.2944117 48.072522, 9.2943021 48.0726199)",,,
160648498,Donaustraße,residential,False,True,15.454,,,"LINESTRING (9.2956078 48.0723162, 9.2954164 48.0722618)",,,
103292330,Schaalstraße,residential,False,True,328.17900000000003,,,"LINESTRING (9.2956078 48.0723162, 9.2958119 48.071933, 9.2964659 48.0700546, 9.2958632 48.0699559, 9.2956019 48.0698555)",,,
762451860,Donaustraße,residential,False,False,127.27000000000001,,,"LINESTRING (9.2956078 48.0723162, 9.2955712 48.0726073, 9.2954112 48.0729041, 9.2950471 48.0733828)",,,
167291411,Hirschstraße,residential,False,True,66.496,,,"LINESTRING (9.2942253 48.0731935, 9.2937865 48.0737147)",,,
428892714,Hauptstraße,primary,False,False,20.366,B 32,30,"LINESTRING (9.2942253 48.0731935, 9.2944869 48.0732482)",,,
428892714,Hauptstraße,primary,False,True,15.888,B 32,30,"LINESTRING (9.2942253 48.0731935, 9.2940445 48.0731172)",,,
5060706,Jakobstaler Straße,tertiary,False,False,354.2339999999999,K 8262,50,"LINESTRING (9.297085 48.0743447, 9.2976061 48.0735921, 9.2983136 48.0727381, 9.2987761 48.072102, 9.2990552 48.0718388, 9.2993911 48.0715695)",,,
