osmid,ref,name,highway,oneway,reversed,length,bridge,maxspeed,geometry,lanes,width
"[74537859, 1229066404, 1231903818, 23066896, 74537904]",L 28,Bahnhofstraße,secondary,False,False,222.50599999999997,yes,50,"LINESTRING (14.080933 53.6834424, 14.0808275 53.6833591, 14.0806781 53.683281, 14.0798191 53.6828982, 14.0796563 53.6828273, 14.0791823 53.6826267, 14.0790713 53.6825797, 14.0782517 53.6822327)",,
37740921,,Luckower Straße,residential,False,True,247.73200000000003,,,"LINESTRING (14.080933 53.6834424, 14.0811134 53.683436, 14.0811845 53.6834364, 14.081258 53.683453, 14.0829467 53.683995, 14.0831292 53.6840913, 14.0838096 53.6847237)",,
1228747267,L 32,Bahnhofstraße,secondary,False,False,12.769,,50,"LINESTRING (14.0782517 53.6822327, 14.0780779 53.6821818)",2,
"[74537859, 1229066404, 1231903818, 74537904, 23066896]",L 28,Bahnhofstraße,secondary,False,True,222.50600000000003,yes,50,"LINESTRING (14.0782517 53.6822327, 14.0790713 53.6825797, 14.0791823 53.6826267, 14.0796563 53.6828273, 14.0798191 53.6828982, 14.0806781 53.683281, 14.0808275 53.6833591, 14.080933 53.6834424)",,
1229146803,L 28,Stettiner Straße,secondary,False,True,56.93299999999999,,,"LINESTRING (14.0782517 53.6822327, 14.0783213 53.6821132, 14.078445 53.6819962, 14.0785611 53.6819078, 14.0786878 53.6817949)",,
23066852,,Lindenstraße,residential,False,False,69.211,,,"LINESTRING (14.085516 53.6782474, 14.0854884 53.6782141, 14.0854104 53.6781457, 14.0853467 53.6781016, 14.0850849 53.6779529, 14.084924 53.6778689, 14.0847691 53.6778224)",,
25013055,L 28,Stettiner Straße,secondary,False,False,188.189,,,"LINESTRING (14.085516 53.6782474, 14.0852586 53.6783249, 14.0850954 53.6783854, 14.0849142 53.6784526, 14.0847342 53.678541, 14.0845999 53.6786069, 14.0833861 53.6793569)",,
23066852,,Lindenstraße,residential,False,True,69.211,,,"LINESTRING (14.0847691 53.6778224, 14.084924 53.6778689, 14.0850849 53.6779529, 14.0853467 53.6781016, 14.0854104 53.6781457, 14.0854884 53.6782141, 14.085516 53.6782474)",,
23066853,,Lindenstraße,residential,False,False,107.604,,50,"LINESTRING (14.0847691 53.6778224, 14.0839635 53.6778975, 14.083793 53.6779147, 14.0831578 53.677982)",,
23066853,,Lindenstraße,residential,False,True,85.697,,50,"LINESTRING (14.0818717 53.6780988, 14.0831578 53.677982)",,
