osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,width,bridge
59643503,2,Rennbachstraße,residential,30,False,False,86.216,"LINESTRING (8.5498214 48.7541051, 8.5497859 48.7541779, 8.5497458 48.7542161, 8.5496828 48.7542573, 8.549523 48.7543429, 8.5491724 48.7544974, 8.5489317 48.7545827)",,,,
144533390,,Rennbachstraße,residential,30,False,True,54.345,"LINESTRING (8.5498214 48.7541051, 8.5498502 48.7538878, 8.5498468 48.7537919, 8.5498541 48.7537157, 8.5499059 48.7536235)",,,,
26971263,2,Blöcherweg,residential,30,False,False,127.38,"LINESTRING (8.5485139 48.7546651, 8.5484028 48.7546333, 8.5479232 48.7546986, 8.5476442 48.7547394, 8.5473989 48.7547409, 8.5471364 48.7546947, 8.5468289 48.7546275)",,,,
59643503,2,Rennbachstraße,residential,30,False,True,31.994,"LINESTRING (8.5485139 48.7546651, 8.5488358 48.7546066, 8.5489317 48.7545827)",,,,
42401768,,König-Karl-Straße,residential,30,True,False,25.296999999999997,"LINESTRING (8.5499059 48.7536235, 8.5498548 48.753614, 8.5498076 48.7535938, 8.5497768 48.75357, 8.549752 48.7535312, 8.5497492 48.753489, 8.549767 48.753451)",roundabout,,,
144533390,,Rennbachstraße,residential,30,False,False,54.345,"LINESTRING (8.5499059 48.7536235, 8.5498541 48.7537157, 8.5498468 48.7537919, 8.5498502 48.7538878, 8.5498214 48.7541051)",,,,
"[1064289672, 26606334]",,Bätznerstraße,residential,30,False,False,125.798,"LINESTRING (8.549767 48.753451, 8.549632 48.753417, 8.5495259 48.7533849, 8.5494168 48.7533563, 8.5492622 48.7532838, 8.5490398 48.7531488, 8.5488685 48.753029, 8.5487083 48.7528808, 8.5486173 48.7527707, 8.5485512 48.7526974)",,,,
42401768,,König-Karl-Straße,residential,30,True,False,9.136,"LINESTRING (8.549767 48.753451, 8.5498021 48.7534194, 8.5498561 48.7533953)",roundabout,,,
25164951,,König-Karl-Straße,residential,30,True,False,101.97,"LINESTRING (8.5498561 48.7533953, 8.5496948 48.7532009, 8.5493801 48.7528139, 8.5491889 48.7525907)",,,,
42401768,,König-Karl-Straße,residential,30,True,False,36.153999999999996,"LINESTRING (8.5498561 48.7533953, 8.5498905 48.753388, 8.5499427 48.7533856, 8.5499993 48.7533945, 8.5500427 48.7534116, 8.5500812 48.7534396, 8.5501049 48.7534754, 8.5501096 48.7535174, 8.5500929 48.7535564, 8.5500626 48.7535859)",roundabout,,,
