osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes
56651761,L 212,Wolfshäger Straße,secondary,False,True,30.468,"LINESTRING (12.8784181 54.2022742, 12.8782302 54.2025252)",,
56645026,L 212,Brinkstraße,secondary,False,True,149.823,"LINESTRING (12.8784181 54.2022742, 12.8785297 54.2021454, 12.8786943 54.2020248, 12.8788851 54.2019313, 12.8794992 54.2016742, 12.8796387 54.201594, 12.8799199 54.2013707, 12.87994 54.2013021)",,
56651761,L 212,Wolfshäger Straße,secondary,False,False,30.468,"LINESTRING (12.8782302 54.2025252, 12.8784181 54.2022742)",,
56645021,,Kirchstraße,residential,False,False,66.281,"LINESTRING (12.8867112 54.2000449, 12.8857103 54.2001568)",,
"[56645022, 56645023]",,"['Kirchstraße', 'Küsterstraße']",residential,False,True,176.443,"LINESTRING (12.8867112 54.2000449, 12.8866024 54.1996573, 12.8865265 54.1996031, 12.8862327 54.1995347, 12.8857009 54.199529, 12.885704 54.1997367, 12.8857067 54.199919, 12.8857103 54.2001568)",,
46098422,,Küsterstraße,residential,False,True,64.708,"LINESTRING (12.8867112 54.2000449, 12.8869487 54.2003541, 12.8869825 54.2004777, 12.8869964 54.2005952)",30,
50214638,,,residential,False,False,47.599000000000004,"LINESTRING (12.8910889 54.1981176, 12.8913089 54.1981302, 12.8912884 54.1980201, 12.8911369 54.1980223, 12.8910889 54.1981176)",,
50214638,,,residential,False,True,47.599,"LINESTRING (12.8910889 54.1981176, 12.8911369 54.1980223, 12.8912884 54.1980201, 12.8913089 54.1981302, 12.8910889 54.1981176)",,
"[238557532, 46098423]",,Wasserstraße,residential,False,True,259.49100000000004,"LINESTRING (12.8910889 54.1981176, 12.8909172 54.1981413, 12.8906859 54.1982047, 12.8903873 54.198304, 12.8899354 54.1984943, 12.8896027 54.1986345, 12.8895164 54.1986539, 12.8891753 54.1987305, 12.8888854 54.1988281, 12.8885195 54.1989891, 12.8881565 54.1991398, 12.8878549 54.1992733, 12.8877149 54.1993334)",30,
46098423,,Wasserstraße,residential,False,False,31.817999999999998,"LINESTRING (12.8875607 54.1996004, 12.8875641 54.1995306, 12.8876532 54.1994013, 12.8877149 54.1993334)",30,
46098423,,Wasserstraße,residential,False,True,108.412,"LINESTRING (12.8875607 54.1996004, 12.8875761 54.199767, 12.8875913 54.1999311, 12.8875639 54.2000649, 12.8875044 54.2002308, 12.8874872 54.2004114, 12.8874723 54.2005698)",30,
186740730,,Wasserstraße,residential,False,False,34.258,"LINESTRING (12.8875607 54.1996004, 12.8873183 54.1995122, 12.8872157 54.1993845)",,
50214641,L 192,Lange Straße,secondary,False,False,31.083,"LINESTRING (12.8869964 54.2005952, 12.8874723 54.2005698)",50,2
