osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,width,bridge,access
140588215,True,Henri-Dunant-Straße,residential,50,False,16.171,"LINESTRING (10.9914387 49.4792294, 10.9915173 49.4792052, 10.99157 49.4792103, 10.9916224 49.4792526)",,,,,
"[378369776, 251722314, 37867963, 1004091332]",True,Henri-Dunant-Straße,primary,50,False,98.981,"LINESTRING (10.9914387 49.4792294, 10.9914789 49.4791691, 10.9915022 49.4790969, 10.9915066 49.4790306, 10.9914926 49.4789648, 10.991459 49.4788887, 10.9913945 49.478801, 10.9913247 49.478719, 10.9912477 49.4786504, 10.9910213 49.4784325)","['2', '3']",B 8,,,
26690448,False,Ulmenweg,residential,10,False,64.045,"LINESTRING (10.9941064 49.4800859, 10.9940913 49.4799316, 10.9940802 49.4795103)",,,,,
146486672,True,Erlanger Straße,primary,50,False,154.69400000000002,"LINESTRING (10.9941064 49.4800859, 10.9949366 49.4800682, 10.9954759 49.48007, 10.9956711 49.4800773, 10.9958366 49.480092, 10.9962338 49.4801546)",2,St 2242,,,
"[146486699, 33361917]",False,Ulmenstraße,residential,10,False,120.659,"LINESTRING (10.9928538 49.4808866, 10.993053 49.4806366, 10.9932216 49.4805812, 10.9938217 49.4803822, 10.9938906 49.480337, 10.9939451 49.4802726, 10.9939381 49.4802145, 10.993933 49.4801669)",,,6.5,,
"[146486684, 250710885]",True,Erlanger Straße,primary,50,False,145.738,"LINESTRING (10.993933 49.4801669, 10.9927365 49.4802013, 10.9924234 49.4802037, 10.9919169 49.480203)","['2', '3']",St 2242,,yes,
"[146486699, 33361917]",False,Ulmenstraße,residential,10,True,120.659,"LINESTRING (10.993933 49.4801669, 10.9939381 49.4802145, 10.9939451 49.4802726, 10.9938906 49.480337, 10.9938217 49.4803822, 10.9932216 49.4805812, 10.993053 49.4806366, 10.9928538 49.4808866)",,,6.5,,
227645975,False,Angerstraße,residential,20,True,74.551,"LINESTRING (10.9860617 49.4811935, 10.9866187 49.4806291)",,,,,yes
"[23316947, 23316948]",False,"['Pegnitzstraße', 'Schießplatz']","['residential', 'living_street']",,True,216.475,"LINESTRING (10.9860617 49.4811935, 10.9867171 49.48158, 10.9870365 49.4817666, 10.9878534 49.4813755, 10.9882021 49.4811548, 10.9881751 49.481039)",,,,,
"[192679698, 192679700, 24235591]",False,"['Wilhelm-Löhe-Straße', 'Schießplatz']",residential,20,False,209.299,"LINESTRING (10.9860617 49.4811935, 10.9855251 49.4810164, 10.984753 49.4808208, 10.9846728 49.4808044, 10.9846172 49.4807545, 10.9846247 49.4806942, 10.9848415 49.480466, 10.9850265 49.4803186, 10.9853318 49.4800704)",,,,,
227645975,False,Angerstraße,residential,20,False,74.551,"LINESTRING (10.9866187 49.4806291, 10.9860617 49.4811935)",,,,,yes
24235619,True,Ammonstraße,residential,,False,112.649,"LINESTRING (10.9866187 49.4806291, 10.9865146 49.4805948, 10.9859807 49.4804199, 10.9857809 49.480333, 10.9853318 49.4800704)",,,,,
23317463,False,Wilhelm-Löhe-Straße,residential,,False,34.353,"LINESTRING (10.9853318 49.4800704, 10.9854736 49.4799769, 10.9855 49.4799336, 10.9854998 49.4798519, 10.9854915 49.4798028)",,,,,
