osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge,maxspeed
113505329,K 8218,Tuttlinger Straße,tertiary,False,False,36.398,"LINESTRING (9.1059245 47.9940099, 9.1063862 47.9939018)",,,,
113505331,,Adlerplatz,tertiary,False,False,54.108,"LINESTRING (9.1106106 47.9948247, 9.1107074 47.9947162, 9.1107967 47.9946379, 9.1109443 47.9945322, 9.1111091 47.9944929)",,,,
"[129017176, 116522851]",K 8218,Stockacher Straße,tertiary,False,True,172.63299999999998,"LINESTRING (9.1106106 47.9948247, 9.1104891 47.9948002, 9.1103811 47.9947828, 9.1101943 47.9947526, 9.109368 47.9944927, 9.1086152 47.9942596, 9.1084833 47.9942157)",,,,
1245384215,K 8220,Ziegelbühlstraße,tertiary,False,False,83.717,"LINESTRING (9.1106106 47.9948247, 9.1107272 47.9948647, 9.1107681 47.9949147, 9.1108038 47.9950414, 9.1107496 47.9952477, 9.1106708 47.9955123)",2,,,
116522891,,Stachus,tertiary,True,False,33.893,"LINESTRING (9.1143381 47.9937174, 9.1142846 47.9936814, 9.1142546 47.9936347, 9.1142525 47.9935839, 9.1142783 47.9935362, 9.1143287 47.9934981, 9.1143964 47.9934752)",1,roundabout,,
"[320307164, 320307165, 116522823]",,Grabenbachstraße,tertiary,False,True,68.981,"LINESTRING (9.1143381 47.9937174, 9.1143207 47.993734, 9.1142634 47.9937882, 9.1142308 47.993819, 9.1141393 47.9939286, 9.1141113 47.9939622, 9.1141001 47.993973, 9.1140856 47.9939869, 9.1140141 47.9940557, 9.1138264 47.9942339)",2,,,
"[35337096, 1018398601, 320307169, 35337095]",,Mengener Straße,tertiary,False,True,123.34199999999998,"LINESTRING (9.116199 47.9926669, 9.1160741 47.9927401, 9.1159896 47.9927976, 9.1159788 47.9928049, 9.1158479 47.9928939, 9.1156689 47.9930043, 9.1154376 47.9931179, 9.1153665 47.9931459, 9.1148837 47.9933307)",2,,yes,
"[1255970423, 320304910, 320304911]",K 8271,Schnerkinger Straße,tertiary,False,True,40.307,"LINESTRING (9.116199 47.9926669, 9.1161592 47.992627, 9.1160751 47.9925426, 9.1158985 47.9923653)",2,,,50
"[1018398600, 320307170, 320304914]",K 8271,Mengener Straße,tertiary,False,False,101.07000000000001,"LINESTRING (9.116199 47.9926669, 9.116252 47.9926485, 9.1163526 47.9926238, 9.1164275 47.9926211, 9.116485 47.9926266, 9.116561 47.992645, 9.1166299 47.9926715, 9.1167113 47.9927075, 9.1167786 47.9927372, 9.1170216 47.9928775, 9.1172988 47.9930694)","['2', '3']",,,
27663253,L 195,Mengener Straße,secondary,False,True,141.137,"LINESTRING (9.1172988 47.9930694, 9.1174396 47.9931913, 9.1178332 47.9935498, 9.1179261 47.9936363, 9.1179548 47.9936685, 9.11816 47.993892, 9.1183329 47.9941293)",2,,,50
