osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,width,bridge
157431456,Auestraße,residential,False,False,114.442,,,,"LINESTRING (11.9010661 50.6960787, 11.9026877 50.6961432)",,
631951410,Schleizer Straße,secondary,False,False,84.49,2,L 3002,50,"LINESTRING (11.9010661 50.6960787, 11.901077 50.6968385)",,
631951410,Schleizer Straße,secondary,False,True,84.49,2,L 3002,50,"LINESTRING (11.901077 50.6968385, 11.9010661 50.6960787)",,
"[668887978, 1046906014, 962359959]",Schleizer Straße,secondary,False,False,86.543,2,L 3002,50,"LINESTRING (11.901077 50.6968385, 11.901078 50.6972034, 11.9010787 50.6974736, 11.9010791 50.6976168)",,
"[157431460, 60757462]","['Südstraße', 'Bergweg']",residential,False,False,341.96900000000005,,,,"LINESTRING (11.9010791 50.6976168, 11.900691 50.6975998, 11.9005811 50.697595, 11.8999128 50.6975658, 11.899664 50.6975454, 11.8995055 50.6975187, 11.8994767 50.6974555, 11.8994577 50.697199, 11.8993748 50.6954958, 11.8993726 50.6954503)",,
337934896,Schleizer Straße,secondary,False,False,80.942,2,L 3002,50,"LINESTRING (11.9010791 50.6976168, 11.9010763 50.6980989, 11.9010733 50.6981256, 11.9010486 50.6983441)",,
"[668887978, 1046906014, 962359959]",Schleizer Straße,secondary,False,True,86.543,2,L 3002,50,"LINESTRING (11.9010791 50.6976168, 11.9010787 50.6974736, 11.901078 50.6972034, 11.901077 50.6968385)",,
157431527,Moßbacher Straße,residential,False,False,85.877,,,,"LINESTRING (11.9010486 50.6983441, 11.9008282 50.6983705, 11.8998505 50.6984875)",,
337934896,Schleizer Straße,secondary,False,False,19.249000000000002,2,L 3002,50,"LINESTRING (11.9010486 50.6983441, 11.9010405 50.698442, 11.9010205 50.698516)",,
337934896,Schleizer Straße,secondary,False,True,80.942,2,L 3002,50,"LINESTRING (11.9010486 50.6983441, 11.9010733 50.6981256, 11.9010763 50.6980989, 11.9010791 50.6976168)",,
292426515,Marktberg,secondary,False,False,63.57,2,L 3002,50,"LINESTRING (11.9010205 50.698516, 11.9008381 50.6990759)",,
337934896,Schleizer Straße,secondary,False,True,19.249000000000002,2,L 3002,50,"LINESTRING (11.9010205 50.698516, 11.9010405 50.698442, 11.9010486 50.6983441)",,
"[356106960, 157431637]",Unterer Graben,residential,False,True,99.631,,,,"LINESTRING (11.9010205 50.698516, 11.90094 50.6985111, 11.900125 50.6986938, 11.9000524 50.6986947, 11.8999753 50.6986643, 11.8998505 50.6984875)",,
"[1051256737, 909095658]",Unterer Graben,residential,False,False,181.31,,,,"LINESTRING (11.9010205 50.698516, 11.9010769 50.6985267, 11.9013396 50.698505, 11.9022078 50.6984313, 11.9031528 50.6983949, 11.9034705 50.6984296, 11.9035709 50.6984499)",,
292426515,Marktberg,secondary,False,False,12.954,2,L 3002,50,"LINESTRING (11.9008381 50.6990759, 11.9008211 50.6991919)",,
292426515,Marktberg,secondary,False,True,63.57,2,L 3002,50,"LINESTRING (11.9008381 50.6990759, 11.9010205 50.698516)",,
292426515,Marktberg,secondary,False,True,12.954,2,L 3002,50,"LINESTRING (11.9008211 50.6991919, 11.9008381 50.6990759)",,
157431616,Untere Gasse,residential,True,False,85.64999999999999,,,,"LINESTRING (11.9008211 50.6991919, 11.9013325 50.6992159, 11.9019099 50.6992172, 11.9020346 50.6992063)",,
292426515,Marktberg,secondary,False,False,27.322000000000003,2,L 3002,50,"LINESTRING (11.9008211 50.6991919, 11.9008237 50.6993527, 11.9008252 50.6994376)",,
666958490,Marktberg,secondary,False,False,24.789,2,L 3002,50,"LINESTRING (11.9008252 50.6994376, 11.9008606 50.6996594)",,
292426515,Marktberg,secondary,False,True,27.322000000000003,2,L 3002,50,"LINESTRING (11.9008252 50.6994376, 11.9008237 50.6993527, 11.9008211 50.6991919)",,
666958490,Marktberg,secondary,False,True,24.789,2,L 3002,50,"LINESTRING (11.9008606 50.6996594, 11.9008252 50.6994376)",,
157431526,Markt,living_street,True,False,82.68900000000001,,,,"LINESTRING (11.9008606 50.6996594, 11.9004996 50.6996359, 11.8996927 50.6995833)",,
356106935,Marktberg,secondary,False,False,14.277999999999999,2,L 3002,50,"LINESTRING (11.9008606 50.6996594, 11.9008793 50.6997183, 11.900897 50.6997857)",,
"[631955624, 157431467]",Freybergstraße,secondary,True,False,170.094,,L 2331,,"LINESTRING (11.900897 50.6997857, 11.9009568 50.6997942, 11.9013777 50.6998442, 11.9019523 50.6999312, 11.9023766 50.6999828, 11.9027819 50.7000288, 11.9031635 50.7000837, 11.903248 50.7001172)",,
356106935,Marktberg,secondary,False,True,14.277999999999999,2,L 3002,50,"LINESTRING (11.900897 50.6997857, 11.9008793 50.6997183, 11.9008606 50.6996594)",,
668887983,Marktberg,secondary,False,False,56.196999999999996,2,L 3002,50,"LINESTRING (11.900897 50.6997857, 11.9010008 50.7002263, 11.9009991 50.7002862)",,
292421675,Am Plan,secondary,False,False,28.833,2,L 3002,50,"LINESTRING (11.9009991 50.7002862, 11.9009096 50.7003663, 11.9007666 50.700453, 11.9007204 50.7004736)",,
668887983,Marktberg,secondary,False,True,56.196999999999996,2,L 3002,50,"LINESTRING (11.9009991 50.7002862, 11.9010008 50.7002263, 11.900897 50.6997857)",,
"[157431460, 60757462]","['Südstraße', 'Bergweg']",residential,False,True,341.969,,,,"LINESTRING (11.8993726 50.6954503, 11.8993748 50.6954958, 11.8994577 50.697199, 11.8994767 50.6974555, 11.8995055 50.6975187, 11.899664 50.6975454, 11.8999128 50.6975658, 11.9005811 50.697595, 11.900691 50.6975998, 11.9010791 50.6976168)",,
157431456,Auestraße,residential,False,True,114.442,,,,"LINESTRING (11.9026877 50.6961432, 11.9010661 50.6960787)",,
1046915183,Siedlungsstraße,residential,False,False,69.444,,,30,"LINESTRING (11.89464 50.6962336, 11.894709 50.696379, 11.8947538 50.6966375, 11.894766 50.69685)",4,
1046915183,Siedlungsstraße,residential,False,True,70.619,,,30,"LINESTRING (11.89464 50.6962336, 11.894596 50.6961369, 11.8945104 50.6960358, 11.8943348 50.6959147, 11.8941853 50.6958116, 11.8940952 50.6957114)",4,
292426517,Siedlungsstraße,residential,False,False,263.52,,,30,"LINESTRING (11.894766 50.69685, 11.8947041 50.69717, 11.8946527 50.6973756, 11.8946499 50.6973868, 11.8945977 50.6975273, 11.894455 50.6977932, 11.8943608 50.6979688, 11.8942366 50.6981388, 11.894097 50.6983299, 11.8939528 50.6985175, 11.893815 50.6986923, 11.8935177 50.6990626)",6,
1046915183,Siedlungsstraße,residential,False,True,69.444,,,30,"LINESTRING (11.894766 50.69685, 11.8947538 50.6966375, 11.894709 50.696379, 11.89464 50.6962336)",4,
60757548,Hinter den Höfen,residential,False,True,192.24,,,,"LINESTRING (11.9056997 50.6968723, 11.9056984 50.6969117, 11.9057031 50.6969768, 11.9055248 50.6975551, 11.9053806 50.6980368, 11.905342 50.6982841, 11.9053259 50.6984828, 11.905312 50.6985797)",,
157431644,Windmühlenstraße,residential,False,True,105.94200000000001,,,,"LINESTRING (11.9056997 50.6968723, 11.9055945 50.696879, 11.9046708 50.6969543, 11.9044743 50.6969677, 11.9042853 50.6969602, 11.904214 50.6969371)",,
157431470,Gartenstraße,residential,True,False,189.855,,,,"LINESTRING (11.9037104 50.6969468, 11.9035933 50.6968867, 11.9034343 50.6968436, 11.9032465 50.6968064, 11.9029445 50.6967957, 11.9025079 50.6968287, 11.9021676 50.6968512, 11.901477 50.6968432, 11.901077 50.6968385)",,
157431608,Am Wendischen Teich,residential,False,True,100.05,,,,"LINESTRING (11.9037104 50.6969468, 11.9036693 50.6969763, 11.9035109 50.6971164, 11.9034343 50.6972043, 11.9034302 50.697268, 11.9034728 50.6973691, 11.9035444 50.6975301, 11.9035749 50.697563, 11.9036455 50.6975801, 11.9039032 50.6976104)",,
292423010,Gartenstraße,residential,False,False,32.947,,,,"LINESTRING (11.9037104 50.6969468, 11.90408 50.6970018, 11.9041645 50.6970176)",,
23845115,Zeulenrodaer Straße,residential,False,True,9.606,,,,"LINESTRING (11.904214 50.6969371, 11.9041645 50.6970176)",,
157431644,Windmühlenstraße,residential,False,False,105.94200000000001,,,,"LINESTRING (11.904214 50.6969371, 11.9042853 50.6969602, 11.9044743 50.6969677, 11.9046708 50.6969543, 11.9055945 50.696879, 11.9056997 50.6968723)",,
