osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,ref,maxspeed,width,bridge,access
21359862,Auf der Kuckucksweide,residential,False,True,157.454,"LINESTRING (8.9115939 52.4979891, 8.9113375 52.4980961, 8.9112051 52.4981792, 8.9102022 52.4991074)",,,,,,,
161495254,,tertiary,True,False,10.940999999999999,"LINESTRING (8.9115939 52.4979891, 8.9115839 52.4979704, 8.911583 52.4979507, 8.9115911 52.4979316, 8.9116077 52.4979148, 8.9116314 52.4979014)",1,roundabout,,,,,
23089891,Raiffeisenstraße,residential,False,False,144.673,"LINESTRING (8.9085065 52.5011173, 8.9085025 52.5014889, 8.9085252 52.5015535, 8.9085872 52.5016084, 8.9086804 52.5016483, 8.9088582 52.5016851, 8.9089547 52.5017194, 8.9090158 52.5017773, 8.9090417 52.5018443, 8.9090337 52.5022517)",,,,,,,
685043851,Raiffeisenstraße,residential,True,False,46.967,"LINESTRING (8.9085065 52.5011173, 8.9085267 52.5008976, 8.9085831 52.5007651, 8.9086691 52.5007258)",,,,,,,
23089891,Raiffeisenstraße,residential,False,True,82.514,"LINESTRING (8.9091068 52.5029881, 8.9090717 52.5029184, 8.9090388 52.5028249, 8.909027 52.5027464, 8.9090337 52.5022517)",,,,,,,
87824015,Zur Kleinbahn,residential,False,True,23.154,"LINESTRING (8.9091068 52.5029881, 8.9092385 52.5029688, 8.9093468 52.5029819, 8.9094319 52.5030092)",,,,,,,
24384130,Bremer Straße,tertiary,False,True,50.182,"LINESTRING (8.9070958 52.4994746, 8.9071038 52.499551, 8.9072267 52.4996811, 8.9072714 52.4997853, 8.9072752 52.4998279, 8.9072763 52.4999022)",2,,L 348,,,,
25454140,Mühlenstraße,residential,False,False,146.04,"LINESTRING (8.9070958 52.4994746, 8.9069096 52.4994131, 8.9065833 52.4992164, 8.9065266 52.4991759, 8.905945 52.4987726, 8.9055933 52.4985416)",2,,,,,,
68425421,Brinkstraße,tertiary,False,True,135.516,"LINESTRING (8.9070958 52.4994746, 8.9071685 52.4993974, 8.9076895 52.4989561, 8.9082188 52.4984663)",2,,,,,,
23285933,Brinkstraße,tertiary,False,True,122.05000000000001,"LINESTRING (8.9103668 52.4971215, 8.9105755 52.497222, 8.9108168 52.4973698, 8.9109012 52.497423, 8.9115873 52.4978663, 8.9116314 52.4979014)",2,,,,,,
37801212,Am Teich,residential,False,False,42.927,"LINESTRING (8.9103668 52.4971215, 8.9104566 52.4969732, 8.9105664 52.4968796, 8.9107371 52.4968353)",,,,,,,
168225628,Brinkstraße,tertiary,False,False,55.396,"LINESTRING (8.9103668 52.4971215, 8.9102007 52.4970924, 8.9100115 52.4971008, 8.9098044 52.4971675, 8.9096392 52.4972573)",2,,,,,,
123085682,Burgstraße,tertiary,False,True,66.86,"LINESTRING (8.9007835 52.4961716, 8.9007487 52.4962885, 8.9006164 52.4964111, 8.9002925 52.4966829)",2,,,50,,,
249288420,Mindener Straße,unclassified,False,True,51.679,"LINESTRING (8.9007835 52.4961716, 8.9009108 52.4961663, 8.9010277 52.4961743, 8.9014515 52.4963558)",2,,,,6,,
40770171,Mindener Straße,residential,False,True,114.145,"LINESTRING (8.9014515 52.4963558, 8.9025079 52.4968261, 8.9028126 52.4969617)",2,,,50,6,,
48594931,Am Wallmoor,residential,False,False,58.455,"LINESTRING (8.9014515 52.4963558, 8.9015761 52.4962475, 8.9020459 52.4959773)",,,,,,,
249288420,Mindener Straße,unclassified,False,False,51.678999999999995,"LINESTRING (8.9014515 52.4963558, 8.9010277 52.4961743, 8.9009108 52.4961663, 8.9007835 52.4961716)",2,,,,6,,
24430470,Zur Ihle,residential,False,True,232.047,"LINESTRING (8.9041825 52.4975928, 8.9041172 52.4976729, 8.9038244 52.4978671, 8.9034762 52.4979966, 8.9032923 52.4981291, 8.9030577 52.4983013, 8.9027094 52.4986468, 8.9021347 52.4992332)",1,,,50,4,,
40770171,Mindener Straße,residential,False,False,116.325,"LINESTRING (8.9041825 52.4975928, 8.9040499 52.4975227, 8.9034939 52.4972726, 8.9031238 52.4971037, 8.9028126 52.4969617)",2,,,50,6,,
"[123085754, 123085755, 306290631]",Mühlenstraße,residential,False,True,142.369,"LINESTRING (8.9041825 52.4975928, 8.9043475 52.4976871, 8.9046783 52.4979091, 8.9048388 52.498023, 8.9049458 52.4980954, 8.9051017 52.4982042, 8.905444 52.4984389, 8.9055933 52.4985416)",2,,,50,6,yes,
24430470,Zur Ihle,residential,False,False,232.04700000000005,"LINESTRING (8.9021347 52.4992332, 8.9027094 52.4986468, 8.9030577 52.4983013, 8.9032923 52.4981291, 8.9034762 52.4979966, 8.9038244 52.4978671, 8.9041172 52.4976729, 8.9041825 52.4975928)",1,,,50,4,,
123085682,Burgstraße,tertiary,False,False,386.21900000000005,"LINESTRING (8.9021347 52.4992332, 8.8998661 52.4981932, 8.899614 52.4980452, 8.8994657 52.4978065, 8.8994397 52.497548, 8.8995613 52.497323, 8.8997112 52.4971703, 8.9002925 52.4966829)",2,,,50,,,
"[24384129, 123085682, 24416221, 123085686]",Burgstraße,tertiary,False,"[False, True]",164.548,"LINESTRING (8.9021347 52.4992332, 8.9025789 52.4994295, 8.9026438 52.4994594, 8.9028199 52.4995419, 8.9033043 52.4997664, 8.9035281 52.4998678, 8.9038201 52.499999, 8.9039706 52.5000525, 8.904114 52.5000856)",2,,,50,,yes,
26006246,Am Hoffeld,residential,False,False,122.021,"LINESTRING (8.9068451 52.5027976, 8.9063658 52.5027739, 8.9059549 52.5027013, 8.9050964 52.5025495)",,,,,,,
"[1165407194, 1165651886]",Bremer Straße,residential,False,True,304.018,"LINESTRING (8.9068451 52.5027976, 8.9070657 52.5023685, 8.9072805 52.5019505, 8.9072963 52.5017772, 8.9073094 52.5014293, 8.907332 52.5008262, 8.9073401 52.5003749, 8.9073433 52.5001956, 8.9073577 52.5001465, 8.9073638 52.5001055)",2,,,50,,,
87824039,Am Hofgarten,residential,False,True,132.303,"LINESTRING (8.9038783 52.5023988, 8.9038957 52.5022964, 8.904242 52.5017679, 8.9045144 52.5014158, 8.9045513 52.5013935, 8.9046644 52.5013251)",,,,,,,
168277193,Am Hoffeld,residential,False,False,199.224,"LINESTRING (8.9038783 52.5023988, 8.9037272 52.5023231, 8.9028969 52.5021903, 8.9010796 52.5018763)",,,,,,,
1165407193,Am Hoffeld,residential,False,True,84.735,"LINESTRING (8.9038783 52.5023988, 8.904062 52.5023891, 8.9042744 52.50242, 8.9050964 52.5025495)",,,,,,,
35894655,Straße zur Sparkasse,residential,False,True,41.815,"LINESTRING (8.9075224 52.4968185, 8.9071873 52.4971344)",,,,,,,
72347684,Mesenburg,residential,False,False,154.001,"LINESTRING (8.9075224 52.4968185, 8.9085324 52.4969241, 8.9087239 52.4969441, 8.9089952 52.4970025, 8.9096392 52.4972573)",,,,,,,
"[40776408, 56541642, 677503596]",Mesenburg,residential,False,True,103.297,"LINESTRING (8.9075224 52.4968185, 8.9071715 52.4967684, 8.9068655 52.4967358, 8.9065942 52.4966965, 8.9065766 52.4966645, 8.906572 52.4963846, 8.906551 52.4963499)",,,,,,,
240446885,Balkenkamp,residential,False,False,140.997,"LINESTRING (8.9064891 52.4977599, 8.9082188 52.4984663)",,,,,,,
35894655,Straße zur Sparkasse,residential,False,False,84.172,"LINESTRING (8.9064891 52.4977599, 8.9066342 52.4976525, 8.9068836 52.4974207, 8.9069644 52.4973446, 8.907119 52.4971988, 8.9071873 52.4971344)",,,,,,,
35894655,Straße zur Sparkasse,residential,False,True,106.26599999999999,"LINESTRING (8.9064891 52.4977599, 8.9063431 52.4978977, 8.9059511 52.4982798, 8.905813 52.4983967, 8.9055933 52.4985416)",,,,,,,
25454140,Mühlenstraße,residential,False,True,146.04000000000002,"LINESTRING (8.9055933 52.4985416, 8.905945 52.4987726, 8.9065266 52.4991759, 8.9065833 52.4992164, 8.9069096 52.4994131, 8.9070958 52.4994746)",2,,,,,,
35894655,Straße zur Sparkasse,residential,False,False,106.26600000000002,"LINESTRING (8.9055933 52.4985416, 8.905813 52.4983967, 8.9059511 52.4982798, 8.9063431 52.4978977, 8.9064891 52.4977599)",,,,,,,
"[123085754, 123085755, 306290631]",Mühlenstraße,residential,False,False,142.36899999999997,"LINESTRING (8.9055933 52.4985416, 8.905444 52.4984389, 8.9051017 52.4982042, 8.9049458 52.4980954, 8.9048388 52.498023, 8.9046783 52.4979091, 8.9043475 52.4976871, 8.9041825 52.4975928)",2,,,50,6,yes,
68425421,Brinkstraße,tertiary,False,True,11.774,"LINESTRING (8.9082188 52.4984663, 8.9083165 52.4983787)",2,,,,,,
240446885,Balkenkamp,residential,False,True,140.997,"LINESTRING (8.9082188 52.4984663, 8.9064891 52.4977599)",,,,,,,
68425421,Brinkstraße,tertiary,False,False,135.516,"LINESTRING (8.9082188 52.4984663, 8.9076895 52.4989561, 8.9071685 52.4993974, 8.9070958 52.4994746)",2,,,,,,
68425421,Brinkstraße,tertiary,False,False,153.558,"LINESTRING (8.9096392 52.4972573, 8.9094305 52.4974175, 8.9086086 52.4981129, 8.9083165 52.4983787)",2,,,,,,
72347684,Mesenburg,residential,False,True,154.001,"LINESTRING (8.9096392 52.4972573, 8.9089952 52.4970025, 8.9087239 52.4969441, 8.9085324 52.4969241, 8.9075224 52.4968185)",,,,,,,
168225628,Brinkstraße,tertiary,False,True,55.396,"LINESTRING (8.9096392 52.4972573, 8.9098044 52.4971675, 8.9100115 52.4971008, 8.9102007 52.4970924, 8.9103668 52.4971215)",2,,,,,,
37036657,Waldstraße,residential,True,False,79.692,"LINESTRING (8.9028126 52.4969617, 8.903637 52.4964501)",,,,,,,
40770171,Mindener Straße,residential,False,False,114.145,"LINESTRING (8.9028126 52.4969617, 8.9025079 52.4968261, 8.9014515 52.4963558)",2,,,50,6,,
40770171,Mindener Straße,residential,False,True,116.32500000000002,"LINESTRING (8.9028126 52.4969617, 8.9031238 52.4971037, 8.9034939 52.4972726, 8.9040499 52.4975227, 8.9041825 52.4975928)",2,,,50,6,,
37036657,Waldstraße,residential,True,False,155.349,"LINESTRING (8.903637 52.4964501, 8.9042373 52.496097, 8.9043508 52.4960837, 8.9054455 52.4965589)",,,,,,,
123085775,Am Wallmoor,residential,False,False,49.206,"LINESTRING (8.903637 52.4964501, 8.9035517 52.4963985, 8.903182 52.4961057)",,,,,3,,
168277198,Ortstraße,residential,False,False,105.439,"LINESTRING (8.903637 52.4964501, 8.9040978 52.496663, 8.9048827 52.4970193)",,,,,,,
37036658,Kirchstraße,residential,True,False,79.457,"LINESTRING (8.9048827 52.4970193, 8.9041825 52.4975928)",,,,,,,
168277198,Ortstraße,residential,False,True,105.439,"LINESTRING (8.9048827 52.4970193, 8.9040978 52.496663, 8.903637 52.4964501)",,,,,,,
37036658,Kirchstraße,residential,True,False,63.815999999999995,"LINESTRING (8.9054455 52.4965589, 8.9050035 52.4969192, 8.9048827 52.4970193)",,,,,,,
"[40776471, 123085701, 1070843775]","['Auf dem Kaltenhagen', 'Kirchstraße']",residential,False,"[False, True]",78.72500000000001,"LINESTRING (8.9054455 52.4965589, 8.905558 52.4965156, 8.9057434 52.4964849, 8.906005 52.4964408, 8.9062419 52.4964023, 8.9064873 52.496358, 8.906551 52.4963499)",,,,,,yes,
"[40776408, 56541642, 677503596]",Mesenburg,residential,False,False,103.29700000000001,"LINESTRING (8.906551 52.4963499, 8.906572 52.4963846, 8.9065766 52.4966645, 8.9065942 52.4966965, 8.9068655 52.4967358, 8.9071715 52.4967684, 8.9075224 52.4968185)",,,,,,,
