osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,tunnel,junction
"[36795618, 145127660, 36795620]",,,"['Schmiedsberger Weg', 'Charlottenweg', 'Olgastraße']",residential,30,False,"[False, True]",548.957,"LINESTRING (9.0956202 49.0430408, 9.0957501 49.0430701, 9.095969 49.043072, 9.0964386 49.0430594, 9.0966443 49.043053, 9.0976707 49.0430104, 9.0982155 49.0429351, 9.0987701 49.0428519, 9.0987288 49.0418237, 9.0959535 49.0417839)",,,
"[168054500, 328417708]",2,L 1107,Karlstraße,secondary,30,False,True,42.78,"LINESTRING (9.0956202 49.0430408, 9.0955666 49.0430617, 9.0955139 49.0430713, 9.0953303 49.0430777, 9.0950443 49.0430775)",,,
27646467,2,L 1107,Karlstraße,secondary,30,False,False,109.018,"LINESTRING (9.0935516 49.0430161, 9.0944377 49.0430575, 9.0950443 49.0430775)",,,
36785470,2,,Karlstraße,secondary,30,False,True,212.76100000000002,"LINESTRING (9.0935516 49.0430161, 9.0933301 49.0429955, 9.0932917 49.0429912, 9.0927644 49.0429327, 9.0922376 49.0428736, 9.0918342 49.0428217, 9.0915328 49.0427888, 9.0907551 49.0427025, 9.0906895 49.0426706)",,,
"[328417706, 37276915, 325210292, 325210291, 964019803]",,,Hauptstraße,"['residential', 'living_street']",20,True,False,148.36499999999998,"LINESTRING (9.0935516 49.0430161, 9.0935971 49.0429033, 9.0936167 49.0427954, 9.0936167 49.0427095, 9.0936098 49.0426165, 9.09357 49.0425135, 9.0934976 49.0422529, 9.0934522 49.0421082, 9.093395 49.041893, 9.093358 49.0417608, 9.0933349 49.0417046)",3.4,building_passage,
"[801515877, 801515878]",,L 1107,Meimsheimer Straße,secondary,30,False,False,270.13100000000003,"LINESTRING (9.0935516 49.0430161, 9.0935495 49.0430988, 9.0935388 49.0434126, 9.0935091 49.0436722, 9.0934771 49.0438231, 9.0934302 49.043984, 9.0933265 49.0442843, 9.0931107 49.044887, 9.0929377 49.045404)",,,
4757945,2,L 1107,Erligheimer Straße,secondary,30,False,False,50.672,"LINESTRING (9.0942153 49.0388126, 9.0941839 49.038926, 9.0941385 49.0391114, 9.0941436 49.0391677, 9.0941628 49.0392231, 9.0941923 49.0392575)",,,
4995157,,L 1106,Freudentaler Straße,secondary,50,False,False,142.443,"LINESTRING (9.0942153 49.0388126, 9.0936788 49.0387437, 9.0935097 49.0387102, 9.0934265 49.038685, 9.0933599 49.0386598, 9.0932728 49.0386195, 9.0932152 49.0385792, 9.0931589 49.0385339, 9.0928912 49.0382955, 9.0926934 49.0381218)",,,
801573813,2,L 1107,Erligheimer Straße,secondary,50,False,True,90.65700000000001,"LINESTRING (9.0942153 49.0388126, 9.0942614 49.0386455, 9.0944423 49.038011)",,,
26455743,,,Lembergerweg,residential,30,False,False,77.156,"LINESTRING (9.0891494 49.037269, 9.0902078 49.0372748)",,,
