osmid,ref,name,highway,oneway,reversed,length,bridge,maxspeed,lanes,geometry
19568992,L 20,Darguner Straße,secondary,False,True,54.336,,,,"LINESTRING (12.7910263 53.8250785, 12.7911125 53.8255645)"
"[26596182, 93588268, 24228014]",L 20,Wilhelm-Pieck-Straße,secondary,False,False,86.44299999999998,yes,30,2,"LINESTRING (12.7910263 53.8250785, 12.7909654 53.8247403, 12.7909061 53.8244813, 12.7908655 53.824307)"
93588252,,Gilkenwerder,residential,False,False,421.64,,10,,"LINESTRING (12.7910263 53.8250785, 12.7906907 53.8251154, 12.7904541 53.8251246, 12.7903756 53.8251276, 12.789335 53.8251502, 12.7882564 53.82518, 12.7875814 53.8251987, 12.7864482 53.8252311, 12.7858588 53.825248, 12.7852091 53.8252757, 12.7846164 53.8253009)"
4100077,L 20,Am Markt,secondary,True,False,24.334,,,1,"LINESTRING (12.7906341 53.8230929, 12.7904603 53.8230705, 12.7902884 53.8230189)"
"[26596182, 1189289198]",L 20,Wilhelm-Pieck-Straße,secondary,False,True,105.237,,30,2,"LINESTRING (12.7906341 53.8230929, 12.7906242 53.8233619, 12.7906468 53.8235086, 12.7907559 53.8238862, 12.7907924 53.8240316)"
4100077,L 20,Am Markt,secondary,True,False,71.436,,,1,"LINESTRING (12.7902884 53.8230189, 12.7902356 53.8229775, 12.7901791 53.8229053, 12.7901701 53.8228292, 12.7901978 53.8226412, 12.7902074 53.8225763, 12.7902258 53.8224714, 12.7902558 53.8224361, 12.7902887 53.8224058)"
93588259,,Klosterstraße,residential,True,False,59.192,,,,"LINESTRING (12.7902884 53.8230189, 12.7901274 53.8230872, 12.7900611 53.8231083, 12.7899588 53.8231174, 12.7894341 53.8231232)"
4100077,L 20,Am Markt,secondary,True,False,29.303,,,1,"LINESTRING (12.7902887 53.8224058, 12.7903645 53.8223838, 12.7904288 53.8223838, 12.7907253 53.8223994)"
93590998,,Lutherstraße,residential,False,True,35.86,,,,"LINESTRING (12.7902887 53.8224058, 12.7902116 53.8223728, 12.789763 53.8223448)"
4100079,L 20,Straße des Friedens,secondary,False,False,85.86,,,2,"LINESTRING (12.7907253 53.8223994, 12.7908092 53.8219257, 12.7908685 53.8216319)"
