osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,access,tunnel
825459538,St 2049,Glandergasse,secondary,50,False,True,107.753,"LINESTRING (11.6235257 48.6083288, 11.6247269 48.608884)",,,,
825459544,St 2049,Ingolstädter Straße,secondary,50,False,False,68.224,"LINESTRING (11.6235257 48.6083288, 11.623013 48.6088402)",,,,
"[24246280, 1220012849, 1220364140]",St 2549,Elsenheimerstraße,secondary,50,False,False,128.99099999999999,"LINESTRING (11.6235257 48.6083288, 11.6236666 48.6081177, 11.6237518 48.6079769, 11.6237628 48.6079473, 11.6237866 48.6077808, 11.6237844 48.607724, 11.6237724 48.6074217, 11.6237683 48.6073435, 11.6237897 48.607269, 11.6238288 48.6072076)",,,,
23086752,St 2549,Elsenheimerstraße,secondary,50,False,False,279.151,"LINESTRING (11.6238288 48.6072076, 11.6239114 48.6071145, 11.6240635 48.6070266, 11.6246043 48.606825, 11.6250806 48.6066474, 11.6255106 48.6064382, 11.625701 48.6063182, 11.6258671 48.6061589, 11.6261152 48.605921, 11.6265258 48.6055161)",,,,
"[24246280, 1220012849, 1220364140]",St 2549,Elsenheimerstraße,secondary,50,False,True,128.99099999999999,"LINESTRING (11.6238288 48.6072076, 11.6237897 48.607269, 11.6237683 48.6073435, 11.6237724 48.6074217, 11.6237844 48.607724, 11.6237866 48.6077808, 11.6237628 48.6079473, 11.6237518 48.6079769, 11.6236666 48.6081177, 11.6235257 48.6083288)",,,,
67307072,,Am Winkl,residential,,False,True,29.344,"LINESTRING (11.6238288 48.6072076, 11.6236416 48.6071682, 11.6234601 48.6071086)",,,,
"[37101105, 37101106, 23949838]",,Schleifmühlstraße,residential,,False,True,120.976,"LINESTRING (11.6217142 48.6051442, 11.62126 48.6050111, 11.6211757 48.6049897, 11.6211464 48.6049823, 11.6210326 48.6049488, 11.6209186 48.6049066, 11.6208154 48.6048442, 11.6207996 48.6048352, 11.6207584 48.6048092, 11.6205031 48.6046352, 11.620364 48.6045522)",yes,,,
67307069,,Hopfenstraße,tertiary,,False,True,157.801,"LINESTRING (11.6217142 48.6051442, 11.6223555 48.6044045, 11.6225203 48.6042008, 11.62278 48.6039126)",,,,
67307070,,Hopfenstraße,tertiary,,False,False,332.239,"LINESTRING (11.6217142 48.6051442, 11.6215129 48.6054128, 11.6213726 48.6055906, 11.6210166 48.6060298, 11.6209475 48.6061164, 11.6208303 48.6062713, 11.62079 48.6063226, 11.6207662 48.6063534, 11.6206231 48.6065385, 11.6205029 48.6067078, 11.6203755 48.6068771, 11.6203473 48.6069144, 11.6201918 48.6071334, 11.6200483 48.6073179, 11.6198558 48.6075914, 11.6196969 48.6078171)",,,,
67307071,,Schleifmühlstraße,residential,,False,False,178.358,"LINESTRING (11.6217142 48.6051442, 11.6220278 48.6052268, 11.6222933 48.6053208, 11.6224676 48.6054335, 11.6226473 48.6055346, 11.6228458 48.6056419, 11.6231301 48.6057731, 11.6234305 48.6058653, 11.6235566 48.6059345, 11.6236156 48.6059842, 11.6236532 48.6060551)",,,,
"[37101027, 37101028, 8071140, 894631976, 42425742]",St 2549,Schloßstraße,secondary,50,False,False,149.709,"LINESTRING (11.6233851 48.6018346, 11.6234764 48.6018084, 11.6236498 48.6017797, 11.6237268 48.6017855, 11.6238121 48.6018084, 11.6239096 48.6018432, 11.6241482 48.6019722, 11.624306 48.6020494, 11.6243442 48.6020699, 11.6247456 48.6022796, 11.6250851 48.6024341)",yes,3,,
24721185,,Gabes,residential,30,False,False,16.331,"LINESTRING (11.6233851 48.6018346, 11.6233078 48.6018148, 11.623176 48.6017852)",,,,
186660419,St 2549,Wendenstraße,secondary,50,False,True,25.533,"LINESTRING (11.6233851 48.6018346, 11.6232806 48.6018817, 11.6231209 48.6019825)",,,,
24678262,,Dr.-Hans-Eisenmann-Straße,residential,30,False,False,54.603,"LINESTRING (11.6181697 48.6051825, 11.6180125 48.6051221, 11.617946 48.6051013, 11.6174966 48.6049768)",,,,
"[42697561, 208130788, 54638101, 1220364137]",St 2549,Wendenstraße,secondary,50,False,False,148.723,"LINESTRING (11.6181697 48.6051825, 11.6184769 48.6048756, 11.6185932 48.6047834, 11.6187353 48.604685, 11.6188947 48.6045989, 11.6190291 48.6045226, 11.6192503 48.6044216, 11.6194956 48.6043079, 11.6195924 48.6042531)",,,,
1180683348,St 2549,Wendenstraße,secondary,50,False,True,21.939,"LINESTRING (11.6210353 48.6035942, 11.6207856 48.6037022)",,,,
34047721,,Am Bachl,residential,,False,False,113.253,"LINESTRING (11.6210353 48.6035942, 11.6210396 48.603683, 11.6210101 48.6039175, 11.621041 48.6043224, 11.6210309 48.6044281, 11.6209971 48.6045169, 11.6209496 48.6046028)",,,,
