osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,bridge,junction
25523410,L 1105,Eppinger Straße,secondary,50,False,True,51.662,"LINESTRING (9.1184471 49.1474984, 9.1186138 49.1473089, 9.1187256 49.1471866, 9.1188068 49.1470978)",,,
45347142,,Dieselstraße,unclassified,30,False,True,147.691,"LINESTRING (9.1184471 49.1474984, 9.1186729 49.1475747, 9.1187205 49.1475907, 9.1189465 49.1476622, 9.1192582 49.1477268, 9.1194717 49.1477512, 9.1195972 49.1477584, 9.119858 49.1477703, 9.1199569 49.1477748, 9.1201599 49.1477841, 9.1203969 49.147799)",7,,
35481597,,Heilbronner Straße,secondary,50,False,True,204.035,"LINESTRING (9.1277623 49.1439023, 9.1280349 49.1438941, 9.1281694 49.1438837, 9.1282956 49.143872, 9.1285445 49.1438426, 9.1288223 49.1437975, 9.1291065 49.1437529, 9.1291479 49.1437464, 9.1292641 49.143726, 9.1294369 49.1436924, 9.1295663 49.1436627, 9.129809 49.1436126, 9.1300034 49.1435699, 9.1301971 49.1435235, 9.1304699 49.143456)",,,
55161957,,Heilbronner Straße,secondary,30,False,False,39.123,"LINESTRING (9.1277623 49.1439023, 9.1276114 49.1438956, 9.1273786 49.143891, 9.1272251 49.1438859)",,,
97754340,,Nordheimer Straße,tertiary,50,False,False,105.547,"LINESTRING (9.1277623 49.1439023, 9.1277623 49.143793, 9.1277657 49.143777, 9.1277887 49.1436703, 9.1278651 49.1434678, 9.1278823 49.1433829, 9.1278842 49.1433204, 9.127867 49.1432541, 9.1278565 49.1432261, 9.1278346 49.1431679, 9.1277345 49.1429755)",,,
128444703,,Heilbronner Straße,secondary,30,False,False,33.513999999999996,"LINESTRING (9.1226157 49.1434725, 9.1224534 49.1434677, 9.1222989 49.1434632, 9.1221553 49.1434649)",,,
128444703,,Heilbronner Straße,secondary,30,False,True,52.891000000000005,"LINESTRING (9.1226157 49.1434725, 9.1226982 49.1434718, 9.1229625 49.1434681, 9.123074 49.1434687, 9.1232032 49.1434705, 9.1233427 49.1434717)",,,
860308829,,Kelterstraße,residential,30,False,True,69.45100000000001,"LINESTRING (9.1226157 49.1434725, 9.122572 49.1432045, 9.1225379 49.1430826, 9.1224759 49.1429585, 9.1224148 49.1428662)",,,
99730833,,Kirchenplatz,residential,30,False,False,66.02,"LINESTRING (9.1233427 49.1434717, 9.1233019 49.1430587, 9.1232968 49.1429469, 9.1232938 49.1428789)",,,
128444703,,Heilbronner Straße,secondary,30,False,False,52.891000000000005,"LINESTRING (9.1233427 49.1434717, 9.1232032 49.1434705, 9.123074 49.1434687, 9.1229625 49.1434681, 9.1226982 49.1434718, 9.1226157 49.1434725)",,,
128444703,,Heilbronner Straße,secondary,30,False,True,231.146,"LINESTRING (9.1233427 49.1434717, 9.1239598 49.14349, 9.1241096 49.1434935, 9.1243637 49.1434932, 9.1246135 49.1434963, 9.1247855 49.1435041, 9.1249644 49.1435204, 9.1250329 49.1435273, 9.1250822 49.1435348, 9.1252678 49.1435647, 9.1255194 49.1436122, 9.1256151 49.1436369, 9.1259262 49.1437273, 9.1261458 49.1437735, 9.1264418 49.1438248)",,,
97754340,,Nordheimer Straße,tertiary,50,False,False,14.041,"LINESTRING (9.1277537 49.140013, 9.1277437 49.1398869)",,,
13047614,,Südstraße,residential,30,False,False,87.213,"LINESTRING (9.1277537 49.140013, 9.1270421 49.1400689, 9.1265642 49.1401108)",,,
97754340,,Nordheimer Straße,tertiary,50,False,True,116.148,"LINESTRING (9.1277537 49.140013, 9.1277572 49.1401972, 9.1277554 49.1403083, 9.1277452 49.1404084, 9.1277239 49.1405301, 9.1276972 49.1406467, 9.1276848 49.1407007, 9.1276047 49.1410507)",,,
14387370,,Leinbachstraße,residential,30,False,False,96.77400000000002,"LINESTRING (9.1272251 49.1438859, 9.1272085 49.143971, 9.1270489 49.144354, 9.1269693 49.1445451, 9.1268931 49.1447279)",6,,
55161957,,Heilbronner Straße,secondary,30,False,True,39.123,"LINESTRING (9.1272251 49.1438859, 9.1273786 49.143891, 9.1276114 49.1438956, 9.1277623 49.1439023)",,,
128444710,,Heilbronner Straße,secondary,30,False,False,57.521,"LINESTRING (9.1272251 49.1438859, 9.1270147 49.1438809, 9.1267793 49.1438665, 9.1266132 49.1438511, 9.1264418 49.1438248)",,,
128444703,,Heilbronner Straße,secondary,30,False,False,231.146,"LINESTRING (9.1264418 49.1438248, 9.1261458 49.1437735, 9.1259262 49.1437273, 9.1256151 49.1436369, 9.1255194 49.1436122, 9.1252678 49.1435647, 9.1250822 49.1435348, 9.1250329 49.1435273, 9.1249644 49.1435204, 9.1247855 49.1435041, 9.1246135 49.1434963, 9.1243637 49.1434932, 9.1241096 49.1434935, 9.1239598 49.14349, 9.1233427 49.1434717)",,,
128444710,,Heilbronner Straße,secondary,30,False,True,57.521,"LINESTRING (9.1264418 49.1438248, 9.1266132 49.1438511, 9.1267793 49.1438665, 9.1270147 49.1438809, 9.1272251 49.1438859)",,,
128444711,,Hoppenstraße,residential,30,False,True,81.92,"LINESTRING (9.1264418 49.1438248, 9.1264407 49.1437081, 9.1264391 49.1435354, 9.1264359 49.1434585, 9.1263991 49.1430889)",,,
"[808407341, 143901742, 25523407, 25523408, 95945139]",,Frankenbacher Straße,residential,30,False,False,90.205,"LINESTRING (9.1275422 49.1456386, 9.1275379 49.1455419, 9.1275224 49.145432, 9.1274869 49.1451634, 9.1274811 49.1451023, 9.1274813 49.1449639, 9.1274819 49.144929, 9.127486 49.1448707, 9.1274929 49.1448293)",5,yes,
"[808407336, 664565857, 808407335]",,Dieselstraße,unclassified,"['50', '30']",False,False,584.893,"LINESTRING (9.1275422 49.1456386, 9.1273963 49.1456359, 9.1271715 49.1456518, 9.1269918 49.145679, 9.126681 49.145775, 9.1264055 49.1458599, 9.1260667 49.1459713, 9.1259682 49.1460247, 9.1258957 49.1460876, 9.1258255 49.1461713, 9.1257908 49.146325, 9.1257355 49.1465695, 9.1257117 49.1466876, 9.125691 49.14675, 9.1256392 49.1467888, 9.1255473 49.1468142, 9.1247709 49.1468184, 9.1247291 49.1468186, 9.1243168 49.1468399, 9.123774 49.146902, 9.1233858 49.1469458, 9.1227496 49.1470282, 9.1226357 49.1470505, 9.1224933 49.1470908, 9.1224249 49.1471166, 9.1222788 49.1471718, 9.1219301 49.1473413, 9.121512 49.1475252, 9.1214156 49.1475747, 9.1211148 49.1477043, 9.1209997 49.1477423, 9.120915 49.1477666)",7,,
30075420,,Wickenstraße,residential,30,False,False,260.086,"LINESTRING (9.1274929 49.1448293, 9.1276828 49.1448351, 9.1278469 49.1448372, 9.1280589 49.1448201, 9.1282894 49.1447907, 9.1285094 49.1447573, 9.1287206 49.1447166, 9.1289078 49.1446764, 9.1292907 49.1446011, 9.1296951 49.1444974, 9.1301274 49.144383, 9.1305059 49.1442596, 9.1307012 49.1441793, 9.1308244 49.1440973)",,,
"[808407341, 143901742, 25523407, 25523408, 95945139]",,Frankenbacher Straße,residential,30,False,True,90.20500000000001,"LINESTRING (9.1274929 49.1448293, 9.127486 49.1448707, 9.1274819 49.144929, 9.1274813 49.1449639, 9.1274811 49.1451023, 9.1274869 49.1451634, 9.1275224 49.145432, 9.1275379 49.1455419, 9.1275422 49.1456386)",5,yes,
"[14387370, 428226807]",,Leinbachstraße,residential,30,False,True,51.818,"LINESTRING (9.1274929 49.1448293, 9.127127 49.1448253, 9.1269665 49.1448254, 9.126915 49.1448087, 9.1268941 49.1447814, 9.1268931 49.1447279)",6,,
30075420,,Wickenstraße,residential,30,False,True,260.08599999999996,"LINESTRING (9.1308244 49.1440973, 9.1307012 49.1441793, 9.1305059 49.1442596, 9.1301274 49.144383, 9.1296951 49.1444974, 9.1292907 49.1446011, 9.1289078 49.1446764, 9.1287206 49.1447166, 9.1285094 49.1447573, 9.1282894 49.1447907, 9.1280589 49.1448201, 9.1278469 49.1448372, 9.1276828 49.1448351, 9.1274929 49.1448293)",,,
99061945,,Allmandstraße,residential,30,False,True,75.83,"LINESTRING (9.1308244 49.1440973, 9.1305209 49.1435445, 9.1304699 49.143456)",,,
