osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,width,bridge,tunnel
148693669,Grubenstraße,residential,50,False,True,124.58600000000001,"LINESTRING (7.2518523 49.3502604, 7.2518456 49.3503189, 7.2518268 49.3503906, 7.2517745 49.3504552, 7.2515231 49.3506359, 7.251116 49.3509943, 7.2509202 49.3511812)",,,,,,
882707818,Wellesweilerstraße,secondary,50,False,True,113.908,"LINESTRING (7.2518523 49.3502604, 7.251627 49.3502674, 7.2513952 49.3502686, 7.2502805 49.3502898)",2,L 115,,,,
241584827,Zum Messeplatz,residential,,False,False,57.483,"LINESTRING (7.2535367 49.3470449, 7.2541837 49.3473442)",,,,,,
"[231722324, 502773527]",Poststraße,tertiary,30,False,False,101.973,"LINESTRING (7.2535367 49.3470449, 7.2535662 49.3469846, 7.2535843 49.3469234, 7.2535941 49.3468441, 7.2535843 49.3466425, 7.2535763 49.3464429, 7.2535709 49.3463014, 7.2535997 49.346205, 7.2536352 49.3461381)",2,,,,,
502773527,Poststraße,tertiary,30,False,True,47.484,"LINESTRING (7.2535367 49.3470449, 7.253471 49.3471327, 7.2533047 49.3473411, 7.2532417 49.3474262)",,,,,,
24858666,,tertiary,50,True,False,25.417,"LINESTRING (7.2536352 49.3461381, 7.2535932 49.3461253, 7.2535573 49.3461062, 7.2535296 49.346082, 7.2535117 49.3460541, 7.2535048 49.3460242, 7.2535079 49.3459985, 7.2535192 49.3459737, 7.2535382 49.345951)",,,roundabout,,,
"[231722324, 502773527]",Poststraße,tertiary,30,False,True,101.97300000000001,"LINESTRING (7.2536352 49.3461381, 7.2535997 49.346205, 7.2535709 49.3463014, 7.2535763 49.3464429, 7.2535843 49.3466425, 7.2535941 49.3468441, 7.2535843 49.3469234, 7.2535662 49.3469846, 7.2535367 49.3470449)",2,,,,,
24858666,,tertiary,50,True,False,18.263,"LINESTRING (7.2538554 49.3460849, 7.2538141 49.3461159, 7.2537595 49.3461364, 7.2536976 49.3461441, 7.2536352 49.3461381)",,,roundabout,,,
"[26521156, 882707822]",Bahnhofstraße,tertiary,50,False,False,105.392,"LINESTRING (7.2538554 49.3460849, 7.2542153 49.3461817, 7.2545991 49.3463127, 7.2549831 49.3464438, 7.2551575 49.3465058)",2,L 226,,,,
161691331,Rathausstraße,secondary,50,True,False,20.987000000000002,"LINESTRING (7.257784 49.3478919, 7.2576687 49.3479474, 7.2575547 49.3480072)",,L 115,,,,
370155678,Bahnhofstraße,tertiary,50,True,False,39.47,"LINESTRING (7.257784 49.3478919, 7.2577172 49.3478136, 7.2576445 49.3477285, 7.2575077 49.3475861)",,L 226,,,,
24898204,Rathausstraße,secondary,50,True,False,25.802,"LINESTRING (7.2581246 49.3478557, 7.2580274 49.3478482, 7.2579295 49.3478498, 7.2578538 49.3478648, 7.257784 49.3478919)",,L 115,,,,
150531264,Johannes-Bossung-Straße,residential,30,True,False,114.261,"LINESTRING (7.2581246 49.3478557, 7.2581416 49.3478199, 7.2588826 49.3470258, 7.2589016 49.3469663)",,,,,,
24898204,Rathausstraße,secondary,50,True,False,158.81599999999997,"LINESTRING (7.2600773 49.3485026, 7.2599224 49.3484528, 7.2590615 49.3481605, 7.2589997 49.3481378, 7.2588007 49.3480656, 7.258492 49.347956, 7.2583144 49.3479028, 7.2581246 49.3478557)",,L 115,,,,
502492990,Rathausstraße,secondary,50,False,False,63.373,"LINESTRING (7.2600773 49.3485026, 7.2603147 49.3485909, 7.2604528 49.3486345, 7.2606486 49.3486905, 7.2608726 49.348735)",,L 115,,,,
146549899,Niederbexbacher Straße,secondary,50,False,False,160.528,"LINESTRING (7.2616222 49.3432725, 7.2615136 49.343664, 7.2614908 49.3438527, 7.2614935 49.3439864, 7.2615096 49.3442118, 7.2615552 49.3447081)",,L 116,,,,
503458935,Rosenstraße,residential,30,False,True,100.25200000000001,"LINESTRING (7.2616222 49.3432725, 7.2615289 49.3432673, 7.2604725 49.3432081, 7.2602441 49.3431912)",,,,,,
24858685,Susannastraße,tertiary,30,False,False,40.155,"LINESTRING (7.2523425 49.3485869, 7.2526 49.3482671)",,,,,,
27453225,Finkenstraße,residential,30,False,True,110.348,"LINESTRING (7.2523425 49.3485869, 7.2510061 49.3481106)",,,,,,
24858685,Susannastraße,tertiary,30,False,True,229.393,"LINESTRING (7.2523425 49.3485869, 7.2521299 49.3488307, 7.2518852 49.3490836, 7.2517634 49.3491919, 7.2516102 49.3493243, 7.2514191 49.3494654, 7.2504294 49.350139, 7.2503716 49.3501895)",,,,,,
