osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,width,lanes,junction,access
"[376929360, 155283413]","['Am Schlößchen', 'Kirchstraße']",residential,False,"[False, True]",163.96400000000003,"LINESTRING (10.2318685 50.4578021, 10.2319108 50.458302, 10.2319109 50.458369, 10.2319109 50.4583953, 10.231911 50.4584598, 10.231929 50.4584952, 10.2319798 50.4585257, 10.2320842 50.4585571, 10.2321649 50.4585916, 10.2322293 50.4586358, 10.2322459 50.4586821, 10.2322218 50.4587438, 10.2321712 50.4588313, 10.2321354 50.4588989, 10.2321063 50.4589665, 10.2320784 50.4590867, 10.2320931 50.459124, 10.2321282 50.4591484)",,,,,,,
155283441,Marktstraße,primary,False,False,119.26400000000001,"LINESTRING (10.2318685 50.4578021, 10.2315302 50.4577936, 10.231404 50.4577908, 10.2312995 50.4577894, 10.2310062 50.4577856, 10.2303216 50.4577766, 10.2301844 50.4577748)",B 285,50,,,,,
155283441,Marktstraße,primary,False,True,274.338,"LINESTRING (10.2318685 50.4578021, 10.2319639 50.4578034, 10.2324995 50.4578088, 10.2328943 50.45781, 10.2332648 50.4578085, 10.2334669 50.4578105, 10.2336394 50.4578144, 10.2337518 50.4578194, 10.2342296 50.4579129, 10.2345732 50.4580504, 10.2347328 50.4581509, 10.2348806 50.4582448, 10.2350447 50.4583117, 10.2352474 50.4583606, 10.2354749 50.458411)",B 285,50,,,,,
"[40952406, 318640566, 40952407]",Bahnhofstraße,"['unclassified', 'tertiary']",False,True,200.092,"LINESTRING (10.2354749 50.458411, 10.2354931 50.4583524, 10.2354961 50.4582984, 10.2353577 50.457467, 10.2353109 50.4572688, 10.2353091 50.4569616, 10.2353141 50.456922, 10.2353525 50.4566207)",NES 35,50,yes,,,,
155283441,Marktstraße,primary,False,False,274.338,"LINESTRING (10.2354749 50.458411, 10.2352474 50.4583606, 10.2350447 50.4583117, 10.2348806 50.4582448, 10.2347328 50.4581509, 10.2345732 50.4580504, 10.2342296 50.4579129, 10.2337518 50.4578194, 10.2336394 50.4578144, 10.2334669 50.4578105, 10.2332648 50.4578085, 10.2328943 50.45781, 10.2324995 50.4578088, 10.2319639 50.4578034, 10.2318685 50.4578021)",B 285,50,,,,,
235011147,Paulinenstraße,primary,False,True,75.637,"LINESTRING (10.2354749 50.458411, 10.2358692 50.4584647, 10.23632 50.4585153, 10.2365215 50.4585468)",B 285,50,,,,,
155283441,Marktstraße,primary,False,True,119.264,"LINESTRING (10.2301844 50.4577748, 10.2303216 50.4577766, 10.2310062 50.4577856, 10.2312995 50.4577894, 10.231404 50.4577908, 10.2315302 50.4577936, 10.2318685 50.4578021)",B 285,50,,,,,
"[41042792, 155283449, 41042794, 74152602]",Torgasse,tertiary,False,False,141.66199999999998,"LINESTRING (10.2301844 50.4577748, 10.2302266 50.4573712, 10.2302895 50.4572263, 10.2303991 50.4571061, 10.2304729 50.4569889, 10.2304957 50.4568903, 10.2304671 50.4566644, 10.230463 50.4566447, 10.2304217 50.4565402)",NES 34,50,yes,,,,
954763292,Marktstraße,primary,False,False,253.23899999999998,"LINESTRING (10.2301844 50.4577748, 10.2299761 50.4577874, 10.2294203 50.4578211, 10.2286288 50.4578821, 10.2285029 50.4578918, 10.2284747 50.457894, 10.2281689 50.4579122, 10.2278534 50.4579277, 10.2274673 50.45795, 10.2271491 50.4580206, 10.2266983 50.458171)",B 285,50,,,,,
"[751050321, 960050507, 155283419]",Friedenstraße,residential,False,True,146.088,"LINESTRING (10.2291135 50.4602671, 10.2290302 50.46026, 10.2289013 50.4602484, 10.2286462 50.4602259, 10.2285822 50.4602203, 10.2279429 50.4601644, 10.2270981 50.4600735, 10.2270729 50.4600722)",,50,,,,,
155283431,Burgstraße,residential,False,False,92.47200000000001,"LINESTRING (10.2291135 50.4602671, 10.2289421 50.460664, 10.2287824 50.4610715)",,,,,,,
"[155283452, 155283431]","['Burgstraße', 'Am Tanzberg']",residential,False,True,271.28999999999996,"LINESTRING (10.2291135 50.4602671, 10.2292003 50.4598784, 10.2292275 50.4595932, 10.2291422 50.4594578, 10.2289282 50.4594315, 10.2279092 50.4595192, 10.2278616 50.4595208, 10.226985 50.4595499, 10.2268016 50.4595429, 10.2267158 50.4595104, 10.2266903 50.4594605)",,,,,,,
"[960080916, 734151453]",Friedenstraße,residential,False,False,185.135,"LINESTRING (10.2291135 50.4602671, 10.229191 50.4602691, 10.2293793 50.460263, 10.2308515 50.4602401, 10.2317277 50.460224)",,50,,,,,
155283405,Alexanderstraße,residential,False,True,51.681,"LINESTRING (10.2266903 50.4594605, 10.226697 50.4593841, 10.2267399 50.459326, 10.2267936 50.4592748, 10.226841 50.4591945, 10.2268164 50.4590185)",,,,6,,,
"[155283452, 155283431]","['Burgstraße', 'Am Tanzberg']",residential,False,False,271.29,"LINESTRING (10.2266903 50.4594605, 10.2267158 50.4595104, 10.2268016 50.4595429, 10.226985 50.4595499, 10.2278616 50.4595208, 10.2279092 50.4595192, 10.2289282 50.4594315, 10.2291422 50.4594578, 10.2292275 50.4595932, 10.2292003 50.4598784, 10.2291135 50.4602671)",,,,,,,
960076414,Friedenstraße,residential,False,False,35.658,"LINESTRING (10.2266903 50.4594605, 10.2266367 50.4594737, 10.2263826 50.459537, 10.2262247 50.4595826)",,50,,,,,
