osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge,access,junction
"[25555393, 1235207004]",Handwerkerstraße,residential,False,True,203.387,"LINESTRING (14.6622823 51.0954443, 14.6623205 51.0954086, 14.6626782 51.0950741, 14.662961 51.094911, 14.663255 51.0948321, 14.6633069 51.0948182, 14.6633889 51.0947962, 14.6637249 51.0947061, 14.6645231 51.0945175, 14.6646241 51.0944613)",,,,,,,
1258296897,Neusalzaer Straße,tertiary,False,False,58.355999999999995,"LINESTRING (14.6622823 51.0954443, 14.6624427 51.0955006, 14.6625907 51.0955471, 14.6627551 51.0955935, 14.6629096 51.0956183, 14.6630558 51.0956258)",2,K 8681,50,,,,
19825015,August-Bebel-Straße,secondary,False,False,84.905,"LINESTRING (14.6660586 51.0979111, 14.6653125 51.0980631, 14.664904 51.0981504)",2,S 115,50,,,,
24178060,Poststraße,tertiary,False,False,14.882,"LINESTRING (14.6660586 51.0979111, 14.6660961 51.0979993, 14.6661136 51.0980404)",2,K 8610,50,,,,
"[709872411, 24178059]",Poststraße,secondary,False,True,91.877,"LINESTRING (14.6660586 51.0979111, 14.6658386 51.097327, 14.6657881 51.0971763, 14.6657652 51.0971057)","['2', '3']",S 115,50,9.75,,,
19825015,August-Bebel-Straße,secondary,False,False,88.896,"LINESTRING (14.664904 51.0981504, 14.6642879 51.0982823, 14.6640597 51.0983346, 14.6637035 51.0984163)",2,S 115,50,,,,
19825015,August-Bebel-Straße,secondary,False,True,84.905,"LINESTRING (14.664904 51.0981504, 14.6653125 51.0980631, 14.6660586 51.0979111)",2,S 115,50,,,,
23942200,Hartmannstraße,residential,False,False,108.40299999999999,"LINESTRING (14.664904 51.0981504, 14.665151 51.0985278, 14.6654831 51.0990549)",,,,,,,
24245499,Hartmannstraße,residential,True,False,163.94,"LINESTRING (14.664904 51.0981504, 14.6645877 51.0975027, 14.6645218 51.0973634, 14.6645184 51.0973378, 14.6644731 51.0969948, 14.6647642 51.0967805)",,,,,,,
24404602,Mozartstraße,residential,False,True,140.207,"LINESTRING (14.6752666 51.0938259, 14.6745676 51.0941484, 14.6735625 51.0944867)",,,30,,,,
30819527,Haydnstraße,residential,True,False,126.476,"LINESTRING (14.6752666 51.0938259, 14.6748221 51.0936379, 14.674318 51.0933951, 14.6738645 51.0931116)",,,,,,,
53024097,Vorwerkstraße,residential,False,False,128.98,"LINESTRING (14.6732731 51.0958308, 14.6734239 51.0958373, 14.6736246 51.0958411, 14.6746998 51.0958655, 14.6751187 51.0958743)",,,,,,,
80373275,Vorwerkstraße,residential,False,False,104.03800000000001,"LINESTRING (14.6732731 51.0958308, 14.6731932 51.095728, 14.6730182 51.0956206, 14.6726456 51.0953832, 14.672301 51.0951285)",,,,,,,
167005466,Vorwerkstraße,residential,False,True,50.011,"LINESTRING (14.6732731 51.0958308, 14.6732722 51.0959522, 14.6732199 51.0961125, 14.6731699 51.0962006, 14.6731212 51.0962649)",,,,,,,
24404889,Vorwerkstraße,residential,False,False,14.545,"LINESTRING (14.6730769 51.0963269, 14.6729844 51.0964441)",,,,,yes,,
30471607,Vorwerkstraße,residential,True,False,7.556,"LINESTRING (14.6730769 51.0963269, 14.6731212 51.0962649)",,,,,,,
23942199,Sachsenstraße,residential,False,True,165.933,"LINESTRING (14.6687346 51.0984911, 14.6685585 51.0985346, 14.6684144 51.0985739, 14.6683167 51.0986005, 14.6674947 51.0988202, 14.6668622 51.0989859, 14.6668163 51.098998, 14.666544 51.0990693)",2,,50,,,,
80373276,Bahnhofstraße,residential,False,True,21.458,"LINESTRING (14.6687346 51.0984911, 14.6688938 51.0984715, 14.6690386 51.098477)",2,,50,,,,
23942199,Sachsenstraße,residential,False,False,165.933,"LINESTRING (14.666544 51.0990693, 14.6668163 51.098998, 14.6668622 51.0989859, 14.6674947 51.0988202, 14.6683167 51.0986005, 14.6684144 51.0985739, 14.6685585 51.0985346, 14.6687346 51.0984911)",2,,50,,,,
"[151338328, 1258296903]",Poststraße,tertiary,False,True,30.808999999999997,"LINESTRING (14.666544 51.0990693, 14.6664882 51.0989435, 14.6664733 51.09891, 14.6664256 51.0988024)",3,K 8610,50,,,,
23942200,Hartmannstraße,residential,False,True,108.40299999999999,"LINESTRING (14.6654831 51.0990549, 14.665151 51.0985278, 14.664904 51.0981504)",,,,,,,
23942201,Bahnhofstraße,living_street,False,False,18.496000000000002,"LINESTRING (14.6667898 51.0969779, 14.6667576 51.0969004, 14.666722 51.0968171)",,,,4.5,,,
24162638,Promenadenring,living_street,False,False,63.723,"LINESTRING (14.6667898 51.0969779, 14.6667229 51.0969809, 14.6662085 51.0970002, 14.6660476 51.097008, 14.6658793 51.0970158)",,,,8,,,
24404616,Brunnenstraße,residential,False,True,87.225,"LINESTRING (14.6667898 51.0969779, 14.6668475 51.0969623, 14.6671599 51.0968776, 14.6679309 51.0966589)",,,,,,,
436242239,Bahnhofstraße,living_street,True,False,95.279,"LINESTRING (14.6667898 51.0969779, 14.666903 51.0971983, 14.6671519 51.0974893, 14.6674165 51.097733)",,,,9,,,
23942202,An der Wiedemuth,residential,True,False,71.55199999999999,"LINESTRING (14.6664256 51.0988024, 14.6662793 51.0988416, 14.6654831 51.0990549)",2,,50,,,,
