osmid,bridge,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,junction,width
55725950,yes,3,L 778,secondary,50,False,True,32.025999999999996,"LINESTRING (8.8642416 52.1684173, 8.8640691 52.1682983, 8.8639372 52.1681981)",,,
1158992034,yes,3,B 514,primary_link,50,False,False,31.357,"LINESTRING (8.8642416 52.1684173, 8.8644125 52.1683052, 8.8645769 52.1682255)",,,
25783084,,3,B 514,primary_link,50,False,False,34.480000000000004,"LINESTRING (8.8652234 52.1682169, 8.8654411 52.1682992, 8.8656446 52.1683881)",,,
"[382879227, 4772885]",yes,3,B 514,primary_link,50,False,True,46.6,"LINESTRING (8.8652234 52.1682169, 8.8650742 52.1681816, 8.8649032 52.1681637, 8.8647478 52.1681714, 8.8646249 52.1682022, 8.8645769 52.1682255)",,,
20933525,,,,residential,,False,False,62.236999999999995,"LINESTRING (8.8570091 52.165606, 8.8571136 52.1656788, 8.8573274 52.1658249, 8.8574582 52.1659472, 8.8574616 52.1660673)",Höltkebruchstraße,,
61282021,,,,residential,,False,True,68.705,"LINESTRING (8.8570091 52.165606, 8.8573454 52.1653533, 8.8575471 52.1652916, 8.857771 52.1652232)",Herforder Straße,,
25572713,,,,residential,,False,False,85.014,"LINESTRING (8.856946 52.1663476, 8.8560063 52.1658453)",Gärtnerweg,,
25572631,,,,residential,,False,False,94.636,"LINESTRING (8.856946 52.1663476, 8.8568053 52.1664654, 8.8566469 52.166635, 8.8565126 52.1669598, 8.8564181 52.1671244)",Zum Schelland,,
25572631,,,,residential,,False,True,48.785,"LINESTRING (8.856946 52.1663476, 8.857059 52.1662616, 8.857253 52.1661086, 8.8574616 52.1660673)",Zum Schelland,,
25572664,,,,residential,,False,False,67.262,"LINESTRING (8.8604601 52.1628484, 8.860618 52.1622513)",Kampstraße,,
25572664,,,,residential,,False,True,34.744,"LINESTRING (8.8604601 52.1628484, 8.8603475 52.1630077, 8.8602131 52.1631194)",Kampstraße,,
25572712,,,,residential,,False,False,54.938,"LINESTRING (8.8604601 52.1628484, 8.8609895 52.1629112, 8.8612538 52.1629308)",Kampstraße,,
25572874,,,,residential,20,False,True,99.12,"LINESTRING (8.8641714 52.168856, 8.8637484 52.1690545, 8.8636251 52.1691027, 8.8633962 52.1691922, 8.8630446 52.1694129)",Mühlenstraße,,
