osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,est_width,bridge,width,junction
"[123146493, 831157294]",2,Am Friedhof,residential,30,False,True,201.94500000000002,"LINESTRING (6.9247461 50.3864628, 6.9248153 50.3863721, 6.9248274 50.3863136, 6.9248084 50.386279, 6.9247267 50.3862399, 6.9247562 50.3861652, 6.924602 50.3861434, 6.9245081 50.3861301, 6.9243689 50.3861971, 6.9242816 50.386265, 6.9242113 50.3863474, 6.9241531 50.3863899, 6.9241229 50.3863748, 6.924095 50.3863608, 6.9240794 50.3863069, 6.9242894 50.3860522, 6.9244732 50.3859389, 6.9249668 50.3857311, 6.9250144 50.3857111)",,,,,
"[27418960, 27418998]",,"['Kallenbachstraße', 'Alte Poststraße']",residential,,False,False,106.25700000000002,"LINESTRING (6.9357207 50.3816714, 6.9356622 50.3814849, 6.9356416 50.3814506, 6.9356181 50.3814117, 6.9354731 50.3812085, 6.9353383 50.3810568, 6.9352738 50.3809842, 6.9351459 50.3807951)",,,,,
107949764,2,Hauptstraße,primary,50,False,False,281.41100000000006,"LINESTRING (6.9357207 50.3816714, 6.9355644 50.381675, 6.9352143 50.3816903, 6.9349471 50.3816873, 6.9346922 50.381655, 6.9342023 50.3815859, 6.9340712 50.3815801, 6.9339326 50.381574, 6.9337416 50.3815967, 6.9334525 50.3816597, 6.9331209 50.381732, 6.932945 50.3817847, 6.9327747 50.3818357, 6.9322284 50.3819744, 6.931922 50.3820706)",B 257,,,,
39757431,,Kallenbachstraße,residential,,False,False,58.669000000000004,"LINESTRING (6.9334029 50.3791717, 6.9334154 50.3790404, 6.9333883 50.3786447)",,4,,,
107949763,,Alte Poststraße,residential,,False,False,208.248,"LINESTRING (6.9334029 50.3791717, 6.9333341 50.379122, 6.9331087 50.3788704, 6.9328494 50.3787335, 6.9324441 50.3785088, 6.932245 50.3783984, 6.9315312 50.3780254, 6.9312975 50.3778878)",,,,,
107949763,,Alte Poststraße,residential,,False,True,334.723,"LINESTRING (6.9334029 50.3791717, 6.9334153 50.3792681, 6.9334226 50.3793244, 6.9335987 50.3799126, 6.9336082 50.3799443, 6.9338403 50.3805434, 6.9339011 50.3807002, 6.9338967 50.3808175, 6.93385 50.380941, 6.9337985 50.3810286, 6.9337427 50.381105, 6.9337517 50.3811403, 6.9337987 50.3811704, 6.9338624 50.3811724, 6.9340185 50.3811076, 6.9342253 50.381024, 6.9349142 50.3808351, 6.9351459 50.3807951)",,,,,
39757434,,Auf dem Birgel,residential,,False,True,137.16,"LINESTRING (6.9312975 50.3778878, 6.9309371 50.3781501, 6.9307723 50.3781671, 6.9307066 50.3782627, 6.9309847 50.3787221, 6.9312133 50.3788302)",,,,,
107949763,,Alte Poststraße,residential,,False,True,208.248,"LINESTRING (6.9312975 50.3778878, 6.9315312 50.3780254, 6.932245 50.3783984, 6.9324441 50.3785088, 6.9328494 50.3787335, 6.9331087 50.3788704, 6.9333341 50.379122, 6.9334029 50.3791717)",,,,,
58296073,2,Wimbachstraße,tertiary,50,False,False,45.524,"LINESTRING (6.9275345 50.3799307, 6.9272391 50.3797372, 6.9271661 50.379678, 6.9271428 50.3796157)",K 18,,,,
58296073,2,Wimbachstraße,tertiary,50,False,True,181.605,"LINESTRING (6.9275345 50.3799307, 6.9277229 50.3800376, 6.9281038 50.3802536, 6.9282596 50.3803975, 6.9283693 50.3805349, 6.9287861 50.3812216, 6.9288417 50.3812955)",K 18,,,,
58296073,2,Wimbachstraße,tertiary,50,False,False,145.421,"LINESTRING (6.930199 50.3822326, 6.9299246 50.3819512, 6.9298205 50.3818445, 6.9297119 50.3817271, 6.9296332 50.3816421, 6.92956 50.3815884, 6.9291799 50.3814146, 6.9288417 50.3812955)",K 18,,,,
107196122,2,Hauptstraße,primary,50,False,True,101.61400000000002,"LINESTRING (6.930199 50.3822326, 6.9301388 50.3822567, 6.9300777 50.3822811, 6.9300315 50.3823039, 6.9299785 50.3823364, 6.9299195 50.3823702, 6.9298471 50.3824036, 6.929784 50.3824301, 6.9297036 50.3824647, 6.9296117 50.3824981, 6.9295386 50.3825186, 6.9294642 50.3825403, 6.9294226 50.3825524, 6.9293247 50.3825776, 6.9292181 50.3826028, 6.9291195 50.3826229, 6.9290122 50.3826383, 6.9289428 50.3826473)",B 257,,,,
"[828135512, 828135511]",3,Hauptstraße,primary,50,False,True,84.36200000000001,"LINESTRING (6.930199 50.3822326, 6.9302789 50.3822069, 6.930354 50.3821928, 6.9304291 50.3821812, 6.9304915 50.3821727, 6.9305599 50.382168, 6.9306283 50.3821654, 6.930692 50.3821701, 6.9307698 50.3821787, 6.9308388 50.3821889, 6.9308958 50.3821988, 6.9309255 50.3822026, 6.930987 50.3822103, 6.9310628 50.3822142, 6.9311426 50.3822146, 6.9312217 50.3822094, 6.9312881 50.3822047, 6.9313625 50.3821966)",B 257,,,,
27418998,,Kallenbachstraße,residential,,False,False,290.63,"LINESTRING (6.9351459 50.3807951, 6.9349297 50.3802576, 6.9347026 50.3798871, 6.9343979 50.3795162, 6.9341306 50.3791728, 6.9339117 50.3789088, 6.9336896 50.3786635, 6.9335432 50.3785171, 6.9334607 50.3784281)",,,,,
