osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,junction,bridge,access
"[23022318, 1071048159]","['2', '3']",St 2177,Frankenstraße,secondary,False,True,314.19999999999993,50,"LINESTRING (11.9368459 50.2188326, 11.9366064 50.2189858, 11.9365908 50.2189958, 11.9363575 50.2191442, 11.9361311 50.2193651, 11.9360034 50.2195937, 11.9359552 50.2198165, 11.9359887 50.2200058, 11.9360893 50.2202186, 11.9361925 50.2203826, 11.9364081 50.2206899, 11.9368094 50.2211968, 11.9368469 50.2212443, 11.9369208 50.2213376)",,,
"[244557897, 244557894]",,,Kirchenlamitzer Straße,tertiary,False,"[False, True]",119.55799999999999,,"LINESTRING (11.9368459 50.2188326, 11.9369518 50.2189652, 11.9370039 50.219182, 11.9370943 50.2193628, 11.9373088 50.2196808, 11.9374116 50.2198384)",,,
23022317,,,,secondary,True,False,23.058000000000003,,"LINESTRING (11.9377526 50.223286, 11.9378107 50.2232675, 11.9378749 50.2232622, 11.9379384 50.2232707, 11.937994 50.223292, 11.9380356 50.2233238)",roundabout,,
1008636148,,St 2177,Frankenstraße,secondary,False,False,227.01600000000002,,"LINESTRING (11.9377526 50.223286, 11.9376752 50.223223, 11.9376401 50.2231945, 11.9375703 50.2230792, 11.9375459 50.2229567, 11.9374923 50.222538, 11.9374112 50.2222638, 11.9372602 50.2219241, 11.9371045 50.2216275, 11.9369961 50.2214564, 11.9369676 50.2214114, 11.9369208 50.2213376)",,,
23022317,,,,secondary,True,False,20.597,,"LINESTRING (11.9380024 50.2234769, 11.9379489 50.2235002, 11.9378863 50.2235111, 11.9378217 50.2235082, 11.9377621 50.223492, 11.9377396 50.2234789)",roundabout,,
"[23008355, 35471749, 35471750]",2,St 2177,Frankenstraße,secondary,False,"[False, True]",307.01800000000003,"['50', '70']","LINESTRING (11.9380024 50.2234769, 11.9380982 50.2235444, 11.9382733 50.2236679, 11.9388221 50.2239587, 11.9391939 50.2241623, 11.9393611 50.224288, 11.939504 50.2244397, 11.9395868 50.2246038, 11.9396209 50.2247606, 11.9396079 50.2249175, 11.9395511 50.2251231, 11.9394472 50.2255615, 11.9394515 50.2258134)",,,
48038613,,St 2177,,secondary,False,True,114.732,,"LINESTRING (11.9396585 50.2268363, 11.9394945 50.2261248, 11.9394515 50.2258134)",,,
22869231,,,Kirchenlamitzer Straße,tertiary,False,False,30.924,,"LINESTRING (11.9381561 50.2209468, 11.9379923 50.2206892)",,,
22792616,,,August-Bebel-Straße,tertiary,False,True,98.056,,"LINESTRING (11.9381561 50.2209468, 11.9377476 50.2210836, 11.9371844 50.221256, 11.937072 50.2212904, 11.9370417 50.2212999, 11.9369208 50.2213376)",,,
244557870,,,August-Bebel-Straße,tertiary,False,True,52.534000000000006,,"LINESTRING (11.9381561 50.2209468, 11.938649 50.2208022, 11.9388312 50.2207557)",,,
23983101,,,Friedrichstraße,residential,True,False,36.001,,"LINESTRING (11.9395548 50.2205199, 11.9393194 50.2202333)",,,
53764957,,,August-Bebel-Straße,tertiary,False,False,9.766,,"LINESTRING (11.9395548 50.2205199, 11.939679 50.2204825)",,,
53764957,,,August-Bebel-Straße,tertiary,False,True,57.775000000000006,,"LINESTRING (11.9395548 50.2205199, 11.9390703 50.2206758, 11.9388312 50.2207557)",,,
22792616,,,August-Bebel-Straße,tertiary,False,False,98.056,,"LINESTRING (11.9369208 50.2213376, 11.9370417 50.2212999, 11.937072 50.2212904, 11.9371844 50.221256, 11.9377476 50.2210836, 11.9381561 50.2209468)",,,
1008636148,,St 2177,Frankenstraße,secondary,False,True,227.01599999999996,,"LINESTRING (11.9369208 50.2213376, 11.9369676 50.2214114, 11.9369961 50.2214564, 11.9371045 50.2216275, 11.9372602 50.2219241, 11.9374112 50.2222638, 11.9374923 50.222538, 11.9375459 50.2229567, 11.9375703 50.2230792, 11.9376401 50.2231945, 11.9376752 50.223223, 11.9377526 50.223286)",,,
1071048158,,,Bahnhofstraße,tertiary,False,True,39.131,50,"LINESTRING (11.9369208 50.2213376, 11.9367805 50.2213904, 11.9367399 50.2214057, 11.9366861 50.221426, 11.9365615 50.2214729, 11.9364507 50.2215201)",,,
