osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,access,width
278778781,True,1,B 257,Mehrener Straße,primary,50,False,24.173,"LINESTRING (6.8368089 50.1948974, 6.8367246 50.1949295, 6.8365599 50.1949626, 6.8364971 50.1949807)",,,,
591087276,False,2,B 257,Mehrener Straße,primary,50,False,30.085,"LINESTRING (6.8368089 50.1948974, 6.8371156 50.194854, 6.8372231 50.1948444)",,,,
"[275014493, 26583663]",False,2,,"['Gartenstraße', 'Leopoldstraße']",residential,,"[False, True]",247.085,"LINESTRING (6.8263609 50.2002471, 6.8265268 50.2001274, 6.8268516 50.1999549, 6.8271764 50.1997942, 6.8272386 50.1997618, 6.8273441 50.1997087, 6.8276647 50.1995421, 6.8281075 50.1992957, 6.8283151 50.1991456, 6.8283856 50.1991023, 6.8284527 50.1990861, 6.828509 50.1990833, 6.8286011 50.1990981, 6.8290068 50.1992179, 6.8290963 50.1992362)",,,,
"[643962907, 275014494]",True,1,,Leopoldstraße,residential,,False,24.836,"LINESTRING (6.8263609 50.2002471, 6.826323 50.200336, 6.8262938 50.200409, 6.8262869 50.2004264, 6.8262864 50.2004643)",,,,
688736883,True,1,,Bitburger Straße,primary,50,False,15.482,"LINESTRING (6.8263235 50.2004929, 6.8263457 50.2005247, 6.8263542 50.2005591, 6.8263483 50.2005937, 6.8263286 50.2006261)",roundabout,,,
688736882,True,1,,Bitburger Straße,primary,50,False,13.316000000000003,"LINESTRING (6.8259841 50.2004812, 6.8260293 50.2004537, 6.8260853 50.2004361, 6.8261469 50.20043)",roundabout,,,
688736884,True,1,,Bitburger Straße,primary,50,False,14.292,"LINESTRING (6.8261784 50.2006932, 6.8261115 50.2006927, 6.8260483 50.2006785, 6.8259956 50.2006521)",roundabout,,,
"[275014488, 624480533, 187189160]",False,2,,Trierer Straße,residential,50,False,62.623000000000005,"LINESTRING (6.8240369 50.1994943, 6.8241547 50.1994843, 6.8242178 50.1994789, 6.8243302 50.1994677, 6.8243832 50.1994624, 6.8245283 50.1994312, 6.8246382 50.1994068, 6.8248811 50.1993465)",,,,
275014489,True,1,,Trierer Straße,residential,50,False,37.384,"LINESTRING (6.8240369 50.1994943, 6.8238025 50.1995216, 6.823667 50.199548, 6.8235798 50.1995769, 6.8235433 50.199596)",,,,
28483963,True,,,Wehrbüschstraße,residential,,False,18.119,"LINESTRING (6.8322728 50.1943712, 6.8320378 50.1943086)",,,,
"[294166834, 23471589]",True,2,,Wirichstraße,residential,30,False,99.41199999999999,"LINESTRING (6.8322728 50.1943712, 6.8323453 50.1942944, 6.8324708 50.1941349, 6.832644 50.1939707, 6.8329344 50.1937649, 6.8329972 50.1937214, 6.8330954 50.1936556)",,,,
75092638,False,,,Maria-Hilf-Straße,residential,30,True,168.81199999999998,"LINESTRING (6.8330954 50.1936556, 6.8331587 50.1935442, 6.8332784 50.1933326, 6.833292 50.1932623, 6.8333233 50.1931005, 6.8333295 50.1929709, 6.8333391 50.192771, 6.8333218 50.1925468, 6.8332171 50.1922848, 6.833168 50.192173)",,,,
326081504,False,,,Bahnhofstraße,residential,,True,280.481,"LINESTRING (6.8330954 50.1936556, 6.8331984 50.1936771, 6.8334103 50.1936419, 6.833592 50.1936174, 6.8337107 50.1936105, 6.8338092 50.1936135, 6.8339058 50.1936324, 6.8339702 50.1936556, 6.8340278 50.1936813, 6.8340822 50.1937226, 6.8341177 50.1937668, 6.8341425 50.1938157, 6.8341513 50.1938621, 6.8341586 50.1939458, 6.8341385 50.1941162, 6.8341009 50.1942244, 6.8340216 50.1945639, 6.8339884 50.1946825, 6.833952 50.1947741, 6.8339447 50.194803, 6.8339116 50.1949581, 6.833901 50.1950885, 6.8339064 50.1954619, 6.8339336 50.1955422)",,,,
27233244,True,1,,Bahnhofstraße,residential,50,False,31.121000000000002,"LINESTRING (6.8349109 50.1959829, 6.8350538 50.1960085, 6.835087 50.1960145, 6.835258 50.1960567, 6.8353257 50.1960705)",,,,
"[27740584, 27740585]",False,,,Bahnhofstraße,residential,,False,18.188,"LINESTRING (6.8349109 50.1959829, 6.8347348 50.1959351, 6.8346761 50.1959184)",,yes,,
"[67557436, 35954302]",False,2,,Bahnhofstraße,residential,30,False,117.505,"LINESTRING (6.8350078 50.1982786, 6.8353976 50.1978153, 6.8354917 50.1976765, 6.8355319 50.1976057, 6.8355574 50.197546, 6.8355761 50.1974902, 6.8355896 50.1974181, 6.8356023 50.1973061)",,,,
"[39980016, 26583545]",True,1,,"['Burgfriedstraße', 'Leopoldstraße']",residential,,False,213.966,"LINESTRING (6.8298888 50.1976855, 6.8300037 50.1975599, 6.8301924 50.1973004, 6.8302599 50.1971772, 6.830402 50.1969709, 6.8305541 50.1968095, 6.8306335 50.1967482, 6.8308119 50.1966215, 6.8308867 50.1965722, 6.8312034 50.1963966, 6.8316678 50.1961922)",,,,
