osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,maxspeed,bridge,tunnel
1197982645,1,Widukindstraße,tertiary,False,True,21.104,"LINESTRING (6.8170666 52.0385104, 6.8171513 52.0385528, 6.817243 52.0385886, 6.8173242 52.0386135)",,,,
125312123,1,,tertiary,True,False,20.79,"LINESTRING (6.8217415 52.0325835, 6.8216949 52.0325593, 6.8216644 52.0325267, 6.821654 52.0324933, 6.8216627 52.0324561, 6.8216944 52.0324209)",roundabout,,,
1024184899,1,Up de Bookholt,tertiary,False,True,280.65500000000003,"LINESTRING (6.8217415 52.0325835, 6.8216522 52.0326211, 6.8216067 52.0326432, 6.8215064 52.032692, 6.8213394 52.0327611, 6.8210395 52.0328695, 6.8207309 52.0329537, 6.8205682 52.0329844, 6.8204361 52.0330025, 6.8200916 52.0330406, 6.8198556 52.0330598, 6.8196033 52.033073, 6.8191575 52.0330672, 6.8188379 52.0330622, 6.8184681 52.0330529, 6.8180533 52.0330449, 6.8179417 52.0330439, 6.817829 52.0330463)",,,,
31616385,,Winterswyker Straße,tertiary,False,False,139.62699999999998,"LINESTRING (6.8216944 52.0324209, 6.8215847 52.0323634, 6.8215386 52.0323392, 6.8212997 52.032187, 6.8208373 52.0318398, 6.8205202 52.0315883, 6.8204055 52.0314934, 6.8203738 52.0314671)",,50,,
125312123,1,,tertiary,True,False,20.130000000000003,"LINESTRING (6.8216944 52.0324209, 6.821741 52.0323966, 6.8217982 52.0323836, 6.8218416 52.0323821, 6.821906 52.0323926, 6.8219563 52.032415)",roundabout,,,
"[32017672, 47192400]",,"['Gasthausstraße', 'Kirchplatz']",living_street,False,True,226.71000000000006,"LINESTRING (6.823625 52.0344125, 6.823492 52.0344322, 6.8231636 52.0345232, 6.8231064 52.034542, 6.822961 52.0346163, 6.8229093 52.0346465, 6.8226823 52.0347826, 6.8226309 52.0348139, 6.8225763 52.0348442, 6.8225226 52.0348701, 6.8223799 52.0349386, 6.8220872 52.0350812, 6.8222466 52.0351529, 6.8222929 52.0351901, 6.8223329 52.0352319, 6.8223778 52.035306, 6.8224369 52.0353776, 6.8225319 52.0354693, 6.8225826 52.0355597, 6.8226335 52.0356694, 6.8226417 52.0356871, 6.8226582 52.0357244, 6.8226573 52.0357613, 6.8226349 52.0357952, 6.8225988 52.0358286)",,,,
"[107455976, 137934242, 107455967]",,Wassermühlenstraße,"['living_street', 'residential']",False,False,43.631,"LINESTRING (6.823625 52.0344125, 6.8235494 52.0341668, 6.8235111 52.0340791, 6.8234848 52.0340302)",,,yes,
260692299,,Mauerstraße,living_street,False,True,64.767,"LINESTRING (6.823625 52.0344125, 6.8240986 52.0343848, 6.8243657 52.0343882, 6.8244554 52.0343948, 6.8245166 52.0344059, 6.8245596 52.0344213)",,,,
37522963,,Viehmarktplatz,residential,False,False,73.40899999999999,"LINESTRING (6.8289028 52.0357461, 6.8288155 52.0356433, 6.828735 52.035543, 6.8286713 52.0354565, 6.8286332 52.0353637, 6.8286231 52.0353134, 6.8286486 52.0351985, 6.8286676 52.0351244)",,50,,
45511984,1,Wüllener Straße,tertiary,False,False,90.038,"LINESTRING (6.8289028 52.0357461, 6.8291247 52.0356837, 6.8293299 52.035642, 6.8295466 52.0356117, 6.8297325 52.0355929, 6.830173 52.0355518)",,50,,
"[580050638, 1082539006, 1082539007]",1,Wüllener Straße,tertiary,False,True,30.549,"LINESTRING (6.8289028 52.0357461, 6.8287519 52.035804, 6.828717 52.0358166, 6.8286792 52.0358336, 6.8285381 52.0359038)",,50,,
37393162,,Burgstraße,living_street,False,False,127.542,"LINESTRING (6.8260012 52.0384768, 6.8259584 52.0384563, 6.82585 52.0383962, 6.8256946 52.0383152, 6.8251033 52.0380161, 6.8250218 52.0379719, 6.8249673 52.0379385, 6.8249302 52.0379028, 6.8249132 52.0378668, 6.8249093 52.0378055, 6.8249051 52.037753, 6.8248951 52.0377103, 6.8248747 52.0376755, 6.8248439 52.0376407)",,,,
905496744,,,residential,True,False,3.993,"LINESTRING (6.8260012 52.0384768, 6.8260126 52.0384712, 6.8260263 52.0384681, 6.8260408 52.0384677, 6.8260549 52.0384702)",roundabout,,,
37393162,,Burgstraße,living_street,False,False,36.356,"LINESTRING (6.8247679 52.0375755, 6.8244242 52.0373261)",,,,
37393162,,Burgstraße,living_street,False,True,8.921,"LINESTRING (6.8247679 52.0375755, 6.8248439 52.0376407)",,,,
"[147988931, 1083021116, 1083021117]",,Wallstraße,living_street,False,True,148.486,"LINESTRING (6.8247679 52.0375755, 6.8247205 52.0375999, 6.8244409 52.0377436, 6.8243774 52.0377397, 6.8239844 52.037628, 6.8234339 52.0374554, 6.8232068 52.0374042, 6.8231346 52.0373877, 6.8230758 52.037368, 6.8230689 52.0373627, 6.8230542 52.0373514, 6.8230258 52.0372775, 6.823006 52.0372259)",,,,yes
30133009,,Lappenbrink,living_street,False,False,78.533,"LINESTRING (6.8247447 52.0349241, 6.8247674 52.0349738, 6.8248981 52.0351909, 6.825018 52.0352342, 6.8251406 52.0354443, 6.8252419 52.0355402)",,,,
