osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,lanes,width
32956429,Gartenstraße,residential,False,False,149.263,"LINESTRING (7.9456865 50.6457888, 7.9457875 50.645775, 7.9458779 50.6457783, 7.9459771 50.6458005, 7.9462221 50.6458814, 7.9462729 50.6458982, 7.9474651 50.6464589)",,,,
208197740,Bahnhofstraße,tertiary,False,False,138.535,"LINESTRING (7.9456865 50.6457888, 7.94628 50.6465145, 7.9464285 50.6466961, 7.9464962 50.6467852, 7.9465098 50.6468263, 7.9465015 50.6468601, 7.9464787 50.6468847, 7.9464521 50.6468958)",50,,,
25028467,Langenbacher Straße,secondary,False,False,51.16,"LINESTRING (7.952259 50.6502523, 7.9523783 50.6499712, 7.9524475 50.649808)",50,L 293,,
25028467,Langenbacher Straße,secondary,False,True,60.892,"LINESTRING (7.952259 50.6502523, 7.9521932 50.6503584, 7.952137 50.6504199, 7.9520631 50.6504792, 7.9520046 50.6505163, 7.9519089 50.6505617, 7.9518405 50.6505838, 7.951794 50.6505912, 7.9517496 50.6505946, 7.9516693 50.6506008)",50,L 293,,
32888478,Im Bohnengarten,residential,True,False,151.942,"LINESTRING (7.952259 50.6502523, 7.9519905 50.6501179, 7.9518906 50.6500679, 7.9518199 50.6500158, 7.951532 50.6498035, 7.9511453 50.6495155, 7.9507904 50.6492581)",,,,
119303159,Langenbacher Straße,secondary,False,False,8.779,"LINESTRING (7.9531706 50.6476234, 7.9531546 50.6475451)",50,L 293,,
119303159,Langenbacher Straße,secondary,False,True,119.577,"LINESTRING (7.9531706 50.6476234, 7.9531753 50.6476736, 7.9531814 50.6477381, 7.9531773 50.647853, 7.9531584 50.6479672, 7.9531247 50.6480801, 7.9530121 50.648364, 7.9528909 50.6486778)",50,L 293,,
226582568,Bergstraße,secondary,False,False,80.648,"LINESTRING (7.9535734 50.6476446, 7.9543644 50.6481685)",50,L 295,,
226582565,Bergstraße,secondary,True,False,28.779,"LINESTRING (7.9535734 50.6476446, 7.9534441 50.6476209, 7.9532762 50.6476209, 7.9531706 50.6476234)",50,L 295,,
960148608,Neuer Weg,secondary,False,False,30.335,"LINESTRING (7.9510026 50.6514426, 7.950757 50.6512186)",50,L 293,2,
