osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,access,junction
139173682,Bahnhofstraße,tertiary,False,True,5.251,,"LINESTRING (13.5999467 48.7308125, 13.5999864 48.7308518)",,,
"[1060074056, 27036803, 1060074055]",Ringmauerstraße,tertiary,False,False,272.253,"['2', '3']","LINESTRING (13.5999467 48.7308125, 13.6000057 48.7307644, 13.6000261 48.7307361, 13.600045 48.7306976, 13.6000458 48.7305798, 13.6000181 48.7302697, 13.6000293 48.7301631, 13.6000146 48.7300901, 13.5999871 48.7298661, 13.5999669 48.729744, 13.5999491 48.7296011, 13.5999363 48.7295014, 13.599916 48.7293056, 13.5999546 48.729188, 13.6000011 48.7290684, 13.6000576 48.7289442, 13.6001471 48.7288142, 13.6002587 48.7286957, 13.6003958 48.7286175, 13.6004664 48.7285863, 13.600481 48.7285798, 13.6005861 48.7285497)",,,
"[173586658, 26748637, 204783783]",Kapellenstraße,residential,False,False,145.20600000000002,,"LINESTRING (13.6012319 48.7319614, 13.6014983 48.7319435, 13.6015362 48.7319487, 13.6016414 48.7319659, 13.6018328 48.7319988, 13.6020511 48.7320362, 13.6022907 48.7320684, 13.60252 48.7320348, 13.6026527 48.7319823, 13.6026746 48.7319728, 13.603115 48.7318448)",,,
"[137630381, 137630375]",Bahnhofstraße,tertiary,False,True,315.084,2,"LINESTRING (13.6012319 48.7319614, 13.6013552 48.7321576, 13.601488 48.7323143, 13.6015801 48.7324089, 13.6016656 48.7324835, 13.6017656 48.7325382, 13.6018787 48.7325816, 13.6020077 48.7326146, 13.6021998 48.732638, 13.6023498 48.7326467, 13.6024958 48.7326406, 13.6028287 48.7326085, 13.6030682 48.7325807, 13.6033063 48.7325538, 13.6035642 48.73252, 13.6039694 48.732454, 13.6041036 48.7324263, 13.6042392 48.7323837, 13.6043668 48.7323317, 13.604472 48.7322622, 13.6046446 48.7321398, 13.6047415 48.7320611)",,,
137630387,Bahnhofstraße,tertiary,False,False,21.335,,"LINESTRING (13.6012319 48.7319614, 13.6011579 48.7319064, 13.6010115 48.731838)",,,
102946200,Bahnhofstraße,tertiary,False,False,226.67599999999996,2,"LINESTRING (13.6055116 48.7329403, 13.6054543 48.7329019, 13.6054102 48.7328524, 13.6053914 48.7327942, 13.6053886 48.7327304, 13.6053877 48.7326859, 13.6054177 48.7326233, 13.6054834 48.732554, 13.6055557 48.7324939, 13.6056308 48.7324457, 13.6057456 48.7323713, 13.6057947 48.7323219, 13.6058538 48.7322564, 13.6058753 48.7322032, 13.6058888 48.7321031, 13.605878 48.7320172, 13.6058377 48.7319508, 13.6058095 48.731918, 13.6057625 48.7318799, 13.6056806 48.7318338, 13.6055933 48.7317975, 13.6054774 48.7317723, 13.6053651 48.7317696, 13.605228 48.7317745, 13.6051246 48.7317984, 13.60504 48.7318338, 13.6049272 48.7318994, 13.6047415 48.7320611)",,,
102946200,Bahnhofstraße,tertiary,False,True,226.67600000000004,2,"LINESTRING (13.6047415 48.7320611, 13.6049272 48.7318994, 13.60504 48.7318338, 13.6051246 48.7317984, 13.605228 48.7317745, 13.6053651 48.7317696, 13.6054774 48.7317723, 13.6055933 48.7317975, 13.6056806 48.7318338, 13.6057625 48.7318799, 13.6058095 48.731918, 13.6058377 48.7319508, 13.605878 48.7320172, 13.6058888 48.7321031, 13.6058753 48.7322032, 13.6058538 48.7322564, 13.6057947 48.7323219, 13.6057456 48.7323713, 13.6056308 48.7324457, 13.6055557 48.7324939, 13.6054834 48.732554, 13.6054177 48.7326233, 13.6053877 48.7326859, 13.6053886 48.7327304, 13.6053914 48.7327942, 13.6054102 48.7328524, 13.6054543 48.7329019, 13.6055116 48.7329403)",,,
"[137630381, 137630375]",Bahnhofstraße,tertiary,False,False,315.084,2,"LINESTRING (13.6047415 48.7320611, 13.6046446 48.7321398, 13.604472 48.7322622, 13.6043668 48.7323317, 13.6042392 48.7323837, 13.6041036 48.7324263, 13.6039694 48.732454, 13.6035642 48.73252, 13.6033063 48.7325538, 13.6030682 48.7325807, 13.6028287 48.7326085, 13.6024958 48.7326406, 13.6023498 48.7326467, 13.6021998 48.732638, 13.6020077 48.7326146, 13.6018787 48.7325816, 13.6017656 48.7325382, 13.6016656 48.7324835, 13.6015801 48.7324089, 13.601488 48.7323143, 13.6013552 48.7321576, 13.6012319 48.7319614)",,,
"[173586658, 746996850]",Kapellenstraße,residential,False,True,125.941,,"LINESTRING (13.6047415 48.7320611, 13.6045812 48.7320662, 13.6045554 48.732055, 13.6043346 48.7319587, 13.6041762 48.7319001, 13.6039898 48.7318557, 13.6036327 48.7318251, 13.6033769 48.7318233, 13.603276 48.7318226, 13.603115 48.7318448)",,,
"[970445617, 746993682, 27191799]",Büchl,residential,True,False,106.07900000000001,,"LINESTRING (13.6019029 48.7285054, 13.6018221 48.7286465, 13.6017285 48.728766, 13.6016963 48.7287947, 13.6016182 48.7288533, 13.6014142 48.7289704, 13.6012665 48.729071, 13.6009508 48.7291831)",,,
