osmid,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,bridge,width,lanes
1127425525,Biestorfer Weg,residential,50,False,True,73.264,"LINESTRING (12.4217642 53.4755991, 12.4216649 53.475502, 12.4215379 53.4752709, 12.4214431 53.4751764, 12.4213514 53.4751221, 12.4211831 53.4750656)",,,,,
1228878289,,tertiary,,True,False,17.29,"LINESTRING (12.4217642 53.4755991, 12.4218115 53.4755859, 12.4218634 53.4755825, 12.4219145 53.4755893, 12.4219591 53.4756054, 12.4219926 53.4756293)",roundabout,,,,
"[853422929, 230999297, 11483178, 11483179]","['Drehbrücke Malchow', 'Kirchenstraße', 'Lange Straße']",residential,"['20', '30']",False,"[False, True]",221.506,"LINESTRING (12.428952 53.4746865, 12.4287822 53.4745831, 12.4286203 53.4745174, 12.4285174 53.4744889, 12.4284795 53.4744784, 12.428424 53.4744631, 12.4283651 53.4744488, 12.4281636 53.4744203, 12.4280715 53.4744071, 12.4277 53.47435, 12.4276011 53.4743362, 12.4275806 53.4743325, 12.4272566 53.4742819, 12.4271813 53.4742698, 12.4271001 53.4742588, 12.4270036 53.4742544, 12.4267675 53.4742504, 12.4265632 53.4742766, 12.426497 53.4742924, 12.4260216 53.4744054, 12.4259376 53.4744252, 12.4258377 53.4744491)",,yes,movable,4.75,
23692222,Lange Straße,residential,20,True,False,99.74699999999999,"LINESTRING (12.428952 53.4746865, 12.4293888 53.4748487, 12.4298306 53.475038, 12.4301892 53.4751978)",,,,,
1227747174,,tertiary,,True,False,15.94,"LINESTRING (12.4217174 53.4757267, 12.4216991 53.4757002, 12.4216949 53.4756716, 12.4217052 53.4756436, 12.421729 53.4756187, 12.4217642 53.4755991)",roundabout,,,,
353470569,Kirchenstraße,residential,30,False,False,53.474999999999994,"LINESTRING (12.425596 53.4745055, 12.4250998 53.4746371, 12.424858 53.4747013)",,yes,,,
853422929,Kirchenstraße,residential,30,False,True,17.181,"LINESTRING (12.425596 53.4745055, 12.425785 53.4744614, 12.4258377 53.4744491)",,,,,
25041046,Stauffenbergstraße,residential,30,False,True,286.25499999999994,"LINESTRING (12.4222107 53.4783135, 12.4223101 53.4783091, 12.4226165 53.4783699, 12.4227338 53.4783932, 12.4227752 53.4784044, 12.4233525 53.4785605, 12.4236658 53.4786411, 12.4241492 53.4787656, 12.4242048 53.4787799, 12.4245728 53.4788781, 12.4246474 53.4788971, 12.424706 53.4789134, 12.4252217 53.4790386, 12.4252996 53.4790581, 12.4253365 53.479067, 12.4256761 53.4791486, 12.4260162 53.4792304, 12.4261454 53.4792491, 12.4262202 53.4792476)",,,,,
"[465377426, 422594282]",Friedrich-Ebert-Straße,tertiary,50,False,False,284.02000000000004,"LINESTRING (12.4222107 53.4783135, 12.4221469 53.4778884, 12.4221188 53.4777054, 12.4221127 53.4776656, 12.4220788 53.4774865, 12.4220233 53.4771911, 12.4219808 53.4770056, 12.4218915 53.4764674, 12.4218148 53.4759928, 12.4218181 53.4758944, 12.4218514 53.475773)",,,,,
"[465377426, 26746926]",Friedrich-Ebert-Straße,tertiary,50,False,True,287.878,"LINESTRING (12.4222107 53.4783135, 12.4222432 53.4785385, 12.4222726 53.4787503, 12.4223009 53.4788892, 12.4223514 53.4791385, 12.4224066 53.4794573, 12.4224465 53.4796153, 12.4224827 53.4797141, 12.422539 53.4798287, 12.4227467 53.4801862, 12.4228416 53.4803649, 12.4229067 53.4804987, 12.4229427 53.4805708, 12.4229811 53.4806474, 12.42303 53.4807308, 12.4230934 53.4808345)",,,,,2
