osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,width,tunnel,access
4440897,True,Heilbronner Straße,tertiary,50,False,10.838999999999999,"LINESTRING (14.5510678 52.3418453, 14.5509474 52.34185, 14.5509087 52.3418524)",,,,
"[723587266, 765626786, 723587267, 480741205, 1097025781, 83612159]",True,Karl-Marx-Straße,tertiary,30,False,211.346,"LINESTRING (14.5510678 52.3418453, 14.5511177 52.3419943, 14.5511285 52.3421309, 14.5511363 52.3423454, 14.5511375 52.3423663, 14.5511419 52.3424255, 14.5511546 52.3426964, 14.5511559 52.3427249, 14.5511584 52.3427747, 14.5511817 52.3432487, 14.551164 52.3435347, 14.5511511 52.3437419)","['2', '1']",,,
"[22533969, 480741268]",True,Logenstraße,residential,50,False,174.258,"LINESTRING (14.5536285 52.3417547, 14.5528548 52.3417825, 14.5522714 52.3418035, 14.5521298 52.3418078, 14.5519892 52.341812, 14.5512386 52.3418365, 14.5511977 52.3418378, 14.5510678 52.3418453)","['3', '1']",,,
122220629,False,Große Scharrnstraße,residential,30,False,5.996,"LINESTRING (14.5536285 52.3417547, 14.5536271 52.3417443, 14.5536241 52.3417241, 14.5536227 52.3417009)",,,,
169317976,False,Große Scharrnstraße,residential,30,True,110.624,"LINESTRING (14.5536285 52.3417547, 14.5536633 52.3422503, 14.5536628 52.3423491, 14.5536374 52.3424917, 14.5536114 52.3426554, 14.5535669 52.3427434)",,,,
332199028,False,Dr.-Hermann-Neumark-Straße,residential,,True,12.196,"LINESTRING (14.5511511 52.3437419, 14.5510767 52.3437401, 14.5510569 52.3437396, 14.5510335 52.343739, 14.5509717 52.3437375)",,,,
"[765898505, 359428125]",True,Karl-Marx-Straße,tertiary,30,False,210.076,"LINESTRING (14.5511511 52.3437419, 14.5511021 52.344442, 14.5510814 52.344835, 14.5510687 52.3449779, 14.5510563 52.3450662, 14.5510366 52.3453408, 14.5510304 52.3454393, 14.5510516 52.345629)",1,,,
27778778,False,Große Oderstraße,residential,30,False,25.926,"LINESTRING (14.5546528 52.3448268, 14.5545636 52.3450535)",,,,
"[28370912, 27778770]",True,"['Große Scharrnstraße', 'Carl-Philipp-Emanuel-Bach-Straße']",residential,30,False,233.423,"LINESTRING (14.5546528 52.3448268, 14.5534655 52.344724, 14.5528728 52.3446727, 14.5531756 52.343689)",,6,,
29714961,False,Große Oderstraße,residential,30,False,112.34500000000001,"LINESTRING (14.5546528 52.3448268, 14.5548341 52.344227, 14.5549203 52.3439644, 14.55495 52.3438637, 14.5549617 52.3438343)",,,,
22537668,True,Logenstraße,residential,50,False,174.455,"LINESTRING (14.5510564 52.3417567, 14.5511839 52.3417522, 14.551206 52.3417513, 14.5521307 52.3417337, 14.5536227 52.3417009)",,,,
175118454,True,Lindenstraße,tertiary,50,False,9.916,"LINESTRING (14.5510564 52.3417567, 14.5510541 52.3417787, 14.5510596 52.34181, 14.5510678 52.3418453)",1,,,
335206301,True,Lindenstraße,tertiary,50,False,35.822,"LINESTRING (14.5508649 52.3404443, 14.5509204 52.3403361, 14.5509597 52.3402593, 14.5510109 52.3402128, 14.5510768 52.3401528)",1,,,
45849514,False,Gubener Straße,residential,50,False,10.579,"LINESTRING (14.5510768 52.3401528, 14.5510502 52.3401472, 14.5509722 52.3401306, 14.5509286 52.3401238)",,,,
"[29778218, 210588799]",False,Lindenstraße,tertiary,30,True,130.007,"LINESTRING (14.5510768 52.3401528, 14.5511924 52.3400162, 14.5512654 52.3399428, 14.5513428 52.3398692, 14.5514476 52.3397811, 14.5517803 52.3394943, 14.5518354 52.3394468, 14.5521111 52.3392092, 14.5521443 52.3391843)",,,,
"[335206144, 335206145, 779389538, 83612198]",True,Lindenstraße,tertiary,50,False,178.83399999999997,"LINESTRING (14.5510768 52.3401528, 14.5510512 52.3402354, 14.5510195 52.3403702, 14.5510049 52.3404418, 14.5509907 52.3405794, 14.5509962 52.3407294, 14.5510152 52.3410225, 14.5510193 52.341078, 14.5510276 52.3411848, 14.551043 52.3415088, 14.5510455 52.3415543, 14.5510564 52.3417567)","['2', '1']",,,
24216472,True,Ferdinandstraße,residential,30,False,215.216,"LINESTRING (14.5510604 52.3389607, 14.550495 52.3389362, 14.5491167 52.3388764, 14.5490563 52.3388652, 14.549032 52.3388426, 14.5491509 52.3382528, 14.549117 52.338224, 14.5490452 52.3382009)",,,,
362091149,False,Klenksberg,residential,30,False,7.681,"LINESTRING (14.5490452 52.3382009, 14.5490585 52.3381323)",,,,
"[24216472, 1182837201]",True,Ferdinandstraße,residential,30,False,131.935,"LINESTRING (14.5490452 52.3382009, 14.5489334 52.3381947, 14.5478637 52.3381509, 14.5475665 52.3381204, 14.5474662 52.3380771, 14.547194 52.3379595)",,,,
