osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,tunnel
889606180,1,secondary,50,roundabout,True,False,19.072000000000003,"LINESTRING (7.0292348 51.2827886, 7.0292224 51.2827553, 7.0292286 51.2827213, 7.0292528 51.2826907, 7.0292919 51.282667, 7.0293162 51.2826585, 7.0293426 51.2826527)",,,
"[29257107, 29257108, 314341029, 314341037]","['2', '3']",secondary,50,,False,True,346.67799999999994,"LINESTRING (7.0294383 51.282843, 7.0295075 51.2829774, 7.02962 51.2831448, 7.0298281 51.2833586, 7.0299527 51.283449, 7.0300828 51.2835242, 7.0302921 51.2836238, 7.0305093 51.2836976, 7.0307515 51.2837398, 7.0309998 51.2837642, 7.0312993 51.2837757, 7.0316027 51.2837662, 7.0322979 51.2837074, 7.0333653 51.2836068, 7.0334968 51.2835986, 7.0336671 51.283593)",L 403,Mettmanner Straße,
131002823,1,secondary,50,roundabout,True,False,16.973999999999997,"LINESTRING (7.0294383 51.282843, 7.0294086 51.282848, 7.0293779 51.2828494, 7.0293496 51.2828474, 7.0293224 51.2828423, 7.0292973 51.2828343, 7.0292748 51.2828237, 7.0292512 51.282807, 7.0292348 51.2827886)",,,
22769119,1,secondary,50,roundabout,True,False,20.128,"LINESTRING (7.0293426 51.2826527, 7.0293701 51.2826499, 7.0293981 51.2826502, 7.0294506 51.2826594, 7.0294952 51.2826792, 7.0295267 51.2827075, 7.0295378 51.282728, 7.0295416 51.2827495)",,,
314341039,2,secondary,50,,False,True,94.821,"LINESTRING (7.0293426 51.2826527, 7.0292986 51.2825744, 7.028891 51.2818481)",L 403,Mettmanner Straße,
"[314341009, 23413797]","['2', '3']",residential,30,,False,False,216.79899999999998,"LINESTRING (7.0282591 51.2807356, 7.0284412 51.2807, 7.0284881 51.2806908, 7.0287568 51.2806423, 7.0291698 51.2805548, 7.0294826 51.2804964, 7.0296735 51.2804608, 7.0307645 51.280339, 7.031285 51.2802855)",,Goethestraße,
"[314341035, 30034164, 314341039]","['2', '3']",secondary,50,,False,False,131.291,"LINESTRING (7.0282591 51.2807356, 7.0283063 51.2808142, 7.0283338 51.2808601, 7.0285629 51.2812673, 7.0286996 51.2815146, 7.0287406 51.2815901, 7.0287619 51.2816288, 7.0287886 51.2816797, 7.028891 51.2818481)",L 403,Mettmanner Straße,
"[314341033, 314341036]","['4', '3']",secondary,50,,False,True,86.061,"LINESTRING (7.0282591 51.2807356, 7.028173 51.2805752, 7.0280313 51.2803352, 7.027838 51.2800079)",L 403,Mettmanner Straße,
314341009,2,residential,30,,False,True,59.34,"LINESTRING (7.0321262 51.2801965, 7.031285 51.2802855)",,Goethestraße,
314341009,2,residential,30,,False,False,89.762,"LINESTRING (7.0321262 51.2801965, 7.0328313 51.2801483, 7.033408 51.2801937)",,Goethestraße,
"[25490001, 699117107]",,"['residential', 'living_street']",30,,False,True,125.256,"LINESTRING (7.0321262 51.2801965, 7.0320844 51.2800236, 7.031857 51.2790827)",,Schillerstraße,
"[415549138, 106111199]",1,residential,30,,True,False,104.358,"LINESTRING (7.0345245 51.280475, 7.0348524 51.2806051, 7.0352881 51.2808002, 7.0356577 51.280958, 7.0356839 51.2809682, 7.0357647 51.2810028)",,Goethestraße,
29264186,1,secondary_link,,,True,False,22.305,"LINESTRING (7.0391867 51.2827729, 7.0392251 51.2828337, 7.0392283 51.2828746, 7.0392148 51.2829685)",,Wilhelmstraße,
31645056,1,secondary,50,,True,False,35.557,"LINESTRING (7.0391867 51.2827729, 7.0393359 51.2828172, 7.03944 51.2828658, 7.039453 51.2828722, 7.0396094 51.2829498)",L 199,Wilhelmstraße,
30034154,2,secondary,50,,False,False,27.582,"LINESTRING (7.0396094 51.2829498, 7.0394622 51.2829498, 7.0393653 51.2829543, 7.0392148 51.2829685)",L 403,Mettmanner Straße,
24686877,,residential,,,False,False,35.031,"LINESTRING (7.0295416 51.2827495, 7.0300408 51.2827076)",,Zur Loev,
889606179,1,secondary,50,roundabout,True,False,13.403,"LINESTRING (7.0295416 51.2827495, 7.0295353 51.2827772, 7.0295251 51.2827937, 7.0295104 51.2828088, 7.0294763 51.2828301, 7.0294383 51.282843)",,,
24686877,,residential,,,False,True,35.031,"LINESTRING (7.0300408 51.2827076, 7.0295416 51.2827495)",,Zur Loev,
"[180870603, 28585023]",,residential,,,False,False,58.78500000000001,"LINESTRING (7.0300408 51.2827076, 7.0301358 51.2827436, 7.0302307 51.282764, 7.0304354 51.282747, 7.0305773 51.2827124, 7.030626 51.2826945, 7.0307324 51.282657, 7.0308201 51.282632)",,Zur Loev,
"[740823690, 29257103]",,"['residential', 'living_street']",,,False,False,105.529,"LINESTRING (7.0300408 51.2827076, 7.0299404 51.2823858, 7.0298542 51.2821347, 7.0297538 51.2817758)",,Gartenstraße,
"[740823690, 29257103]",,"['living_street', 'residential']",,,False,True,105.529,"LINESTRING (7.0297538 51.2817758, 7.0298542 51.2821347, 7.0299404 51.2823858, 7.0300408 51.2827076)",,Gartenstraße,
29264184,,living_street,,,False,False,60.593,"LINESTRING (7.0297538 51.2817758, 7.0295009 51.2817911, 7.0294125 51.2817942, 7.028891 51.2818481)",,Mühlenstraße,
