osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
4752773,2,L 240,Billingstraße,secondary,50,False,False,20.205,"LINESTRING (10.0900877 52.8314987, 10.0901871 52.8316702)",
1047732820,2,K 17,Lotharstraße,tertiary,50,False,False,24.356,"LINESTRING (10.0900877 52.8314987, 10.0904483 52.8315214)",
4755221,,,Gerichtsweg,residential,,False,False,33.544,"LINESTRING (10.0900877 52.8314987, 10.0901273 52.8313861, 10.0902165 52.8312075)",
325037306,2,L 240,Celler Straße,secondary,50,False,True,155.167,"LINESTRING (10.0900877 52.8314987, 10.0892862 52.8313367, 10.0888518 52.8312135, 10.0883806 52.8310277, 10.088196 52.8309575, 10.0880417 52.830877)",
4752779,,,Lotharstraße,residential,,False,True,72.643,"LINESTRING (10.0929767 52.8319105, 10.0927838 52.8313144, 10.0927531 52.8312724)",
38331642,,,Wehrsteg,residential,,False,True,33.513,"LINESTRING (10.0898171 52.8351097, 10.0903103 52.8351551)",
4772482,2,L 240,Billingstraße,secondary,50,False,False,37.427,"LINESTRING (10.0898171 52.8351097, 10.0898022 52.8352753, 10.0898013 52.8352851, 10.0897869 52.8354458)",
40349870,2,L 240,Billingstraße,secondary,50,False,True,212.41100000000003,"LINESTRING (10.0898171 52.8351097, 10.0898243 52.8350526, 10.0898936 52.8346168, 10.0898827 52.8345074, 10.0898465 52.8344116, 10.0897617 52.8342561, 10.0897096 52.834146, 10.0896354 52.8339893, 10.0896112 52.8339088, 10.0895953 52.8338271, 10.08959 52.8337428, 10.0895982 52.8336794, 10.089614 52.8336221, 10.0896475 52.8335499, 10.0896902 52.8334874, 10.0897201 52.8334488, 10.089762 52.8334045, 10.0898218 52.8333549, 10.0899254 52.833279)",
40349870,2,L 240,Billingstraße,secondary,50,False,False,212.411,"LINESTRING (10.0899254 52.833279, 10.0898218 52.8333549, 10.089762 52.8334045, 10.0897201 52.8334488, 10.0896902 52.8334874, 10.0896475 52.8335499, 10.089614 52.8336221, 10.0895982 52.8336794, 10.08959 52.8337428, 10.0895953 52.8338271, 10.0896112 52.8339088, 10.0896354 52.8339893, 10.0897096 52.834146, 10.0897617 52.8342561, 10.0898465 52.8344116, 10.0898827 52.8345074, 10.0898936 52.8346168, 10.0898243 52.8350526, 10.0898171 52.8351097)",
40349870,2,L 240,Billingstraße,secondary,50,False,True,191.913,"LINESTRING (10.0899254 52.833279, 10.0900559 52.8331841, 10.0902121 52.8330781, 10.0902838 52.8330274, 10.0903448 52.8329883, 10.0903767 52.8329522, 10.0904111 52.8329139, 10.09042 52.8328714, 10.0904343 52.8328357, 10.090436 52.832798, 10.0904234 52.8326914, 10.0904155 52.8326571, 10.0903976 52.8325925, 10.0903449 52.8323901, 10.0903189 52.8322904, 10.0902563 52.8320501, 10.0902102 52.8318454, 10.0901871 52.8316702)",
