osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,bridge,junction
240601400,False,1,Hauptstraße,residential,20,True,28.012,,"LINESTRING (8.8580486 51.4578665, 8.8578833 51.4580964)",,
312983501,False,,Oesterstraße,tertiary,50,True,8.87,K 68,"LINESTRING (8.8580486 51.4578665, 8.8581678 51.4578956)",,
26982607,False,,Hauptstraße,tertiary,50,False,42.294,K 68,"LINESTRING (8.8580486 51.4578665, 8.8580125 51.4578104, 8.8579919 51.4577173, 8.8579705 51.4576417, 8.8579334 51.4575909, 8.8578626 51.4575347, 8.8578389 51.4575185)",,
25801681,False,2,Weist,secondary,50,False,154.02100000000002,L 549,"LINESTRING (8.8578389 51.4575185, 8.8577244 51.4575581, 8.8576545 51.4575743, 8.8575829 51.4575845, 8.8574835 51.4575845, 8.8573561 51.4575693, 8.8571198 51.4575403, 8.8569732 51.4575412, 8.8569406 51.4575428, 8.8568262 51.4575602, 8.8566378 51.4576231, 8.8565152 51.4576739, 8.8563902 51.4577324, 8.8563057 51.4577872, 8.8560219 51.4580718)",,
26982607,False,,Hauptstraße,tertiary,50,True,42.294,K 68,"LINESTRING (8.8578389 51.4575185, 8.8578626 51.4575347, 8.8579334 51.4575909, 8.8579705 51.4576417, 8.8579919 51.4577173, 8.8580125 51.4578104, 8.8580486 51.4578665)",,
537717512,False,1,Casparistraße,residential,20,True,14.057,,"LINESTRING (8.8543229 51.4594812, 8.8544832 51.4595587)",,
25801681,False,2,Weist,secondary,50,True,41.254999999999995,L 549,"LINESTRING (8.8543229 51.4594812, 8.8543891 51.4594417, 8.8544809 51.4593758, 8.8547077 51.4591986)",,
26982608,False,,Weist,secondary,50,False,56.831,L 549,"LINESTRING (8.8543229 51.4594812, 8.8542445 51.4595117, 8.8540854 51.459547, 8.8538754 51.4595832, 8.8537772 51.4596072, 8.8536286 51.4596592, 8.8535757 51.4596829)",,
"[925964676, 26982605]",True,1,Hauptstraße,residential,20,False,35.18,,"LINESTRING (8.8534617 51.4613658, 8.8537723 51.46123, 8.8538774 51.4611841)",,
26982606,False,,Hauptstraße,secondary,50,False,30.436,L 549,"LINESTRING (8.8534617 51.4613658, 8.8533635 51.4614168, 8.8532938 51.4614517, 8.8532427 51.4614779, 8.8531218 51.4615392)",,
26983177,False,1,An der Bahn,residential,50,True,123.232,,"LINESTRING (8.8534617 51.4613658, 8.8539799 51.461823, 8.8540756 51.4618763, 8.8541612 51.4619239, 8.8542709 51.4619592, 8.8543906 51.4619799, 8.8545223 51.4619853, 8.8547738 51.4619504)",,
27357244,False,,Weist,secondary,50,True,215.36499999999998,L 549,"LINESTRING (8.8534617 51.4613658, 8.8532161 51.4611088, 8.8530897 51.4609607, 8.8529654 51.4608207, 8.8528934 51.4607198, 8.8528543 51.4606425, 8.8528186 51.4605284, 8.8528197 51.4603975, 8.8528593 51.4602897, 8.8529313 51.4601688, 8.8530937 51.4600169, 8.8532853 51.459876, 8.8534624 51.4597582, 8.8534866 51.4597421, 8.8535237 51.4597175, 8.8535757 51.4596829)",,
39985937,False,,Lillers-Straße,secondary,50,True,71.37299999999999,L 549,"LINESTRING (8.8495891 51.4623637, 8.849754 51.4623507, 8.8499948 51.4623186, 8.8500461 51.4623118, 8.8503016 51.4622663, 8.8505859 51.4622074)",,
240601400,False,1,Hauptstraße,residential,20,False,28.012,,"LINESTRING (8.8578833 51.4580964, 8.8580486 51.4578665)",,
70735926,False,1,Dionysiusstraße,residential,20,False,68.65899999999999,,"LINESTRING (8.8578833 51.4580964, 8.8583465 51.4582214, 8.8585716 51.4582589, 8.8588217 51.4582835)",,
71190401,True,1,Hauptstraße,residential,20,False,72.932,,"LINESTRING (8.8578833 51.4580964, 8.8577867 51.4581789, 8.8575836 51.4583523, 8.8572584 51.4586242)",,
722701294,True,1,Paulinenstraße,residential,20,False,48.080999999999996,,"LINESTRING (8.8552895 51.4603825, 8.8555518 51.4604936, 8.8557811 51.4606076, 8.8558052 51.4606325, 8.8558306 51.4606491)",,
"[637442440, 668588321]",False,1,Paulinenstraße,residential,50,"[False, True]",57.989,,"LINESTRING (8.8558306 51.4606491, 8.8558445 51.4606604, 8.8558519 51.4606682, 8.8559315 51.4607526, 8.8562315 51.4611066)",,
70735911,True,1,Storchgasse,residential,20,False,69.254,,"LINESTRING (8.8562315 51.4611066, 8.8568793 51.4607802, 8.8569794 51.4606973)",,
637442440,False,1,Paulinenstraße,residential,50,False,47.260999999999996,,"LINESTRING (8.8562315 51.4611066, 8.8562924 51.4611744, 8.8564852 51.461449, 8.8565144 51.461493)",,
"[637442440, 668588321]",False,1,Paulinenstraße,residential,50,"[False, True]",57.989,,"LINESTRING (8.8562315 51.4611066, 8.8559315 51.4607526, 8.8558519 51.4606682, 8.8558445 51.4606604, 8.8558306 51.4606491)",,
26522847,True,1,Immenhof,residential,,False,77.976,,"LINESTRING (8.8565144 51.461493, 8.8558402 51.4616611, 8.8554672 51.46175)",,
60123371,False,1,Grüner Weg,residential,,False,54.301,,"LINESTRING (8.8565144 51.461493, 8.8568433 51.4614348, 8.8569787 51.4614123, 8.8570518 51.4614073, 8.8571095 51.4614094, 8.8571489 51.4614125, 8.8571913 51.4614248, 8.8572622 51.4614528)",,
167775199,False,1,Paulinenstraße,residential,50,True,88.602,,"LINESTRING (8.8565144 51.461493, 8.8568433 51.4620715, 8.8569395 51.4622445)",,
637442440,False,1,Paulinenstraße,residential,50,True,47.260999999999996,,"LINESTRING (8.8565144 51.461493, 8.8564852 51.461449, 8.8562924 51.4611744, 8.8562315 51.4611066)",,
40158037,False,1,Immenhof,residential,50,True,14.653,,"LINESTRING (8.8547738 51.4619504, 8.8549535 51.4618809)",,
