osmid,bridge,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,junction,access,tunnel
"[159317993, 451779170]",yes,True,2,Wilhelmstraße,primary,50,False,71.273,"LINESTRING (7.8754381 50.7902567, 7.8754974 50.7902004, 7.8755417 50.7901388, 7.8755697 50.7900736, 7.8755808 50.7900063, 7.8755746 50.7899388, 7.8755514 50.7898728, 7.8755116 50.7898101, 7.8754574 50.7897659, 7.8753919 50.7897285, 7.8753169 50.7896988)",,,,,
"[313876040, 313876041, 605836417, 167732086]",yes,False,"['4', '2', '3']",Wilhelmstraße,primary,50,True,180.82600000000002,"LINESTRING (7.8754381 50.7902567, 7.875298 50.7903396, 7.8751937 50.7903905, 7.8750886 50.7904314, 7.8749773 50.7904602, 7.8748841 50.7904772, 7.8747929 50.7904874, 7.8746811 50.7904892, 7.8745416 50.7904807, 7.8744245 50.7904639, 7.8742942 50.7904269, 7.8741578 50.7903734, 7.8740246 50.7903021, 7.8738056 50.7901762, 7.873693 50.7901283, 7.873586 50.7900901, 7.8734762 50.7900675, 7.8733314 50.7900475, 7.8731842 50.7900462)",B 62,,,,
44679092,,False,,Bismarckstraße,residential,30,False,85.381,"LINESTRING (7.8716595 50.7906587, 7.8720921 50.7913762)",,,,,
161034108,,False,2,Wilhelmstraße,primary,50,True,50.736,"LINESTRING (7.8716595 50.7906587, 7.8719468 50.7905586, 7.8721975 50.7904463, 7.8722683 50.7904149)",B 62,,,,
868755278,,False,2,Wilhelmstraße,primary,50,False,123.22900000000001,"LINESTRING (7.8716595 50.7906587, 7.8705002 50.7910147, 7.8702255 50.7911, 7.870081 50.7911407)",B 62,,,,
25329656,,False,3,Friedrichstraße,primary,50,False,23.827,"LINESTRING (7.8763803 50.7872516, 7.8766369 50.7871116)",L 280,,,,
"[23992984, 1067583421]",yes,True,1,Steinerother Straße,primary_link,50,False,33.586,"LINESTRING (7.8763803 50.7872516, 7.8764459 50.7871452, 7.8764565 50.7870509, 7.8764546 50.7870285, 7.8764429 50.786958)",L 288,,,,
"[24524416, 313938602, 313938603]",,False,"['4', '3']",Friedrichstraße,primary,50,True,63.594,"LINESTRING (7.8763803 50.7872516, 7.8762969 50.7873016, 7.8761558 50.7874222, 7.8760221 50.7875633, 7.8758884 50.7877276)",L 280,,,,
448648646,,False,2,Steinerother Straße,primary,50,True,57.713,"LINESTRING (7.8738854 50.7843769, 7.8733538 50.7839814)",L 288,,,,
755671504,,False,2,Steinerother Straße,primary,50,False,54.43299999999999,"LINESTRING (7.8738854 50.7843769, 7.8739947 50.7845319, 7.8741464 50.784837)",L 288,,,,
104576034,,True,,Stefan-Schuster-Straße,residential,30,False,30.634,"LINESTRING (7.8733538 50.7839814, 7.8730129 50.784153)",,,,,
448648646,,False,2,Steinerother Straße,primary,50,False,57.713,"LINESTRING (7.8733538 50.7839814, 7.8738854 50.7843769)",L 288,,,,
159317981,,True,1,,primary,50,False,43.975,"LINESTRING (7.8758884 50.7877276, 7.8758801 50.7878847, 7.8758975 50.7880085, 7.8759368 50.7880706, 7.87598 50.788109)",L 280,,,,
"[24524416, 313938602, 313938603]",,False,"['4', '3']",Friedrichstraße,primary,50,False,63.594,"LINESTRING (7.8758884 50.7877276, 7.8760221 50.7875633, 7.8761558 50.7874222, 7.8762969 50.7873016, 7.8763803 50.7872516)",L 280,,,,
184643284,,True,2,Siegstraße,unclassified,,False,46.983999999999995,"LINESTRING (7.8742495 50.7893165, 7.8740971 50.7892595, 7.8740556 50.7892417, 7.8739308 50.7892078, 7.8738442 50.7891997, 7.8737274 50.7892081, 7.8736302 50.7892236)",,,,,
294814772,,True,2,Friedrichstraße,primary,50,False,32.831,"LINESTRING (7.8742495 50.7893165, 7.8741957 50.7892108, 7.8741597 50.7890931, 7.8741633 50.7890288)",L 280,,,,
103969028,,True,2,Kirchener Straße,primary,50,False,78.43299999999999,"LINESTRING (7.8780494 50.7910888, 7.8778684 50.7908834, 7.8776662 50.790686, 7.8774436 50.7904977)",B 62,,,,
159317982,,True,1,,primary,50,False,37.894,"LINESTRING (7.8754997 50.7882507, 7.8756615 50.7881782, 7.8757494 50.7881434, 7.8758901 50.7881203, 7.87598 50.788109)",L 280,,,,
159679101,,True,1,Friedrichstraße,primary,50,False,64.285,"LINESTRING (7.8754997 50.7882507, 7.8756432 50.7880739, 7.8758884 50.7877276)",L 280,,,,
"[159679105, 159679106, 159679107, 159679108, 159675781, 159679109, 694436302, 694638838, 170764191, 159679103]",,False,,Konrad-Adenauer-Platz,unclassified,30,True,174.12900000000002,"LINESTRING (7.8708303 50.7893951, 7.8709193 50.7894184, 7.8715972 50.7894613, 7.8719468 50.7894757, 7.8720637 50.789484, 7.8722187 50.7894935, 7.8723431 50.7895078, 7.8724643 50.7895215, 7.8725847 50.7895379, 7.8727095 50.7895566, 7.8728194 50.7895749, 7.8731444 50.7896485, 7.8732584 50.7896351)",,,,,
"[159675784, 199788140]",,True,,Bahnhofstraße,living_street,,False,82.335,"LINESTRING (7.8708303 50.7893951, 7.8706277 50.7893894, 7.8704999 50.7892098, 7.8707198 50.7891532, 7.8707894 50.7892421, 7.8708608 50.7893522, 7.8708303 50.7893951)",,,,,
44679097,,False,2,Schulstraße,residential,30,False,82.976,"LINESTRING (7.8726375 50.7906886, 7.8730737 50.791382)",,4.50,,,
142587480,,False,,Schulstraße,residential,30,False,32.238,"LINESTRING (7.8726375 50.7906886, 7.8724497 50.7904241)",,,,,
28610236,,False,,Bergstraße,residential,30,False,93.713,"LINESTRING (7.8726375 50.7906886, 7.8730278 50.790594, 7.8730926 50.7905921, 7.8739213 50.7907125)",,,,,
28610236,,False,,Bergstraße,residential,30,False,163.142,"LINESTRING (7.8739213 50.7907125, 7.873996 50.7914443, 7.8740926 50.7921756)",,,,,
28610236,,False,,Bergstraße,residential,30,True,93.713,"LINESTRING (7.8739213 50.7907125, 7.8730926 50.7905921, 7.8730278 50.790594, 7.8726375 50.7906886)",,,,,
28819006,,False,,Gontermannstraße,residential,30,False,239.71900000000002,"LINESTRING (7.8739213 50.7907125, 7.8743434 50.7907593, 7.874562 50.7907941, 7.8746804 50.7908209, 7.8747591 50.7908737, 7.874855 50.7909717, 7.8750944 50.7913171, 7.8752084 50.7914909, 7.8752914 50.7916547, 7.8754457 50.7920744, 7.8754678 50.7923811)",,,,,
28819006,,False,,Gontermannstraße,residential,30,True,103.29999999999998,"LINESTRING (7.8739213 50.7907125, 7.8739078 50.7904656, 7.8738807 50.7903931, 7.8738041 50.7903508, 7.8737319 50.7903244, 7.8736259 50.7903134, 7.8734275 50.7903034, 7.8733293 50.7902996, 7.8732356 50.7902778, 7.8731662 50.790232, 7.8731176 50.7901752, 7.8730956 50.7901341)",,,,,
285729787,,False,2,Steinerother Straße,primary,50,True,9.859,"LINESTRING (7.8760989 50.786701, 7.875986 50.7866484)",L 288,,,,
"[106088305, 106088310]",yes,False,"['2', '3']",Steinerother Straße,primary,50,False,37.477000000000004,"LINESTRING (7.8760989 50.786701, 7.8761662 50.786742, 7.8762013 50.7867698, 7.8763062 50.7868524, 7.8764429 50.786958)",L 288,,,,
"[195402896, 159675751]",,False,,Hellerstraße,residential,30,True,210.75799999999998,"LINESTRING (7.8760989 50.786701, 7.8759845 50.7867935, 7.8758215 50.7869253, 7.8755591 50.7871454, 7.8752385 50.7873228, 7.8750129 50.7874285, 7.8747546 50.7875229, 7.874449 50.7875734, 7.8742369 50.7876136, 7.8740575 50.7876669, 7.8739125 50.7877349, 7.8737707 50.7878153)",,,,,
28735233,,False,,Tiergartenstraße,residential,30,True,43.908,"LINESTRING (7.8724704 50.7873298, 7.8725298 50.7872511, 7.872706 50.7869643)",,,,,
28735456,,False,,Kirchstraße,living_street,,False,65.194,"LINESTRING (7.8724704 50.7873298, 7.872688 50.7874014, 7.8731753 50.7876279, 7.8732442 50.78765)",,,,,
31437676,,False,,Tiergartenstraße,residential,30,False,83.049,"LINESTRING (7.8724704 50.7873298, 7.8723384 50.7874501, 7.8722124 50.7875088, 7.8720672 50.7875456, 7.871915 50.7875691, 7.8714417 50.7875179)",,,,,
31437676,,False,,Tiergartenstraße,residential,30,False,26.477,"LINESTRING (7.8714417 50.7875179, 7.8710764 50.7874599)",,,,,
31437676,,False,,Tiergartenstraße,residential,30,True,83.049,"LINESTRING (7.8714417 50.7875179, 7.871915 50.7875691, 7.8720672 50.7875456, 7.8722124 50.7875088, 7.8723384 50.7874501, 7.8724704 50.7873298)",,,,,
