osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,tunnel,bridge
180225256,Rheinallee,residential,False,True,14.677,"LINESTRING (7.5927958 50.232819, 7.593001 50.2328329)",,,,,,
692646277,Rheinallee,living_street,True,False,42.054,"LINESTRING (7.5927958 50.232819, 7.5925084 50.2328023, 7.5922059 50.2327958)",,,,,,
24659642,Wasemstraße,secondary,False,True,100.44500000000001,"LINESTRING (7.5876473 50.2299047, 7.5876995 50.2299238, 7.5877575 50.2299592, 7.5883767 50.2305388, 7.5884751 50.2306309)",2,L 209,50,,,
24660028,Humperdinckstraße,secondary,False,False,204.46800000000002,"LINESTRING (7.5876473 50.2299047, 7.5875414 50.2299096, 7.5874312 50.2299242, 7.5869882 50.2300365, 7.5849631 50.2305515)",2,L 209,50,,,
38724854,Wasemstraße,residential,False,True,63.346999999999994,"LINESTRING (7.5876473 50.2299047, 7.5876164 50.229841, 7.5874292 50.2296255, 7.5872178 50.2294076)",,,,3,,
26192338,Pielstraße,residential,False,False,55.063,"LINESTRING (7.5950799 50.2286679, 7.5946454 50.2287033, 7.59431 50.2287169)",,,,4,,
313393436,Simmerner Straße,secondary,False,False,64.674,"LINESTRING (7.5950799 50.2286679, 7.5951334 50.2282053, 7.5951396 50.2280876)",,L 210,,,,
"[313390473, 982922130]",Simmerner Straße,secondary,False,True,371.89000000000004,"LINESTRING (7.5950799 50.2286679, 7.5950673 50.2288162, 7.5950335 50.2290402, 7.5950001 50.2291273, 7.5949182 50.2292152, 7.5948231 50.2292834, 7.5947063 50.2293285, 7.594481 50.2293851, 7.5943188 50.2294052, 7.5941565 50.2294228, 7.5937675 50.2294348, 7.5928744 50.2294709, 7.5926008 50.2295, 7.5923191 50.2295652, 7.5920885 50.229639, 7.5918229 50.2297643, 7.5916218 50.229905, 7.5914501 50.2300628, 7.5913079 50.2302155, 7.5912382 50.230255, 7.5911672 50.2302687)",,L 210,,,,
26479243,Kloster Marienberg Straße,residential,False,True,216.84899999999996,"LINESTRING (7.5951396 50.2280876, 7.5952241 50.2282573, 7.595248 50.2283417, 7.5952623 50.2285262, 7.5952723 50.228704, 7.595267 50.2288965, 7.5952684 50.2290691, 7.5952684 50.2292665, 7.5952205 50.2293802, 7.5951368 50.2294879, 7.5949991 50.2296016, 7.5948555 50.2297034, 7.5947358 50.2297692, 7.5946585 50.2298131, 7.5946146 50.2298393, 7.5945716 50.2298635)",,,,,,
313393436,Simmerner Straße,secondary,False,True,64.674,"LINESTRING (7.5951396 50.2280876, 7.5951334 50.2282053, 7.5950799 50.2286679)",,L 210,,,,
