osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,tunnel,access,junction
"[258662004, 1092856068]",True,2,Altdorfer Straße,secondary,50,False,55.873,"LINESTRING (11.4602546 49.2835939, 11.4601875 49.2835488, 11.460163 49.2835299, 11.4601391 49.2835087, 11.4601133 49.2834743, 11.4600923 49.2834394, 11.4600804 49.283407, 11.4600736 49.2833808, 11.4600721 49.2833463, 11.4600805 49.283296, 11.4600874 49.283275, 11.4600964 49.2832565, 11.4601203 49.2832217, 11.4601805 49.2831421)",,,,
10870604,False,5,Nürnberger Straße,secondary,50,False,11.666,"LINESTRING (11.4571412 49.2823225, 11.4570163 49.2823886)",,,,
"[1132988387, 1132988392, 23153386, 1206092756, 1229691576]",True,"['2', '3']",Dammstraße,secondary,50,False,240.28699999999998,"LINESTRING (11.4571412 49.2823225, 11.457253 49.282361, 11.4573938 49.2824078, 11.4579164 49.2825755, 11.458039 49.2826138, 11.4580939 49.28263, 11.4581274 49.2826394, 11.458342 49.2826973, 11.4587588 49.2827976, 11.4588591 49.282819, 11.4589386 49.2828355, 11.4590363 49.2828547, 11.459973 49.2830366, 11.460022 49.2830483, 11.4600545 49.2830598, 11.4600881 49.2830753, 11.4601178 49.283094, 11.4601362 49.2831081, 11.4601805 49.2831421)",,,,
"[1244637486, 61743175]",False,"['2', '3']",Untere Marktstraße,residential,30,True,50.995,"LINESTRING (11.4571412 49.2823225, 11.4571749 49.2823055, 11.4571934 49.2822948, 11.4572091 49.2822857, 11.4572323 49.28227, 11.4572536 49.282254, 11.4572739 49.2822374, 11.4572958 49.2822171, 11.4573145 49.2821964, 11.4573288 49.2821789, 11.4573547 49.2821423, 11.4573725 49.2821121, 11.4574537 49.281959, 11.4574588 49.2819496, 11.4574708 49.2819275)",,,,
"[43020417, 1099428119]",False,2,Am Evangelienstein,tertiary,50,True,67.86,"LINESTRING (11.4638752 49.2839022, 11.463873 49.2837853, 11.4638708 49.2836683, 11.463867 49.2836082, 11.4638593 49.2835136, 11.4638425 49.2833809, 11.4638349 49.2833389, 11.4638234 49.2832935)",,,,
945587288,False,4,Ringstraße,secondary,50,False,36.457,"LINESTRING (11.4567267 49.2770395, 11.4563985 49.2770485, 11.4563142 49.2770493, 11.4562245 49.2770472)",St 2240,,,
"[18802712, 1229537277, 1229537276, 1126663805]",False,"['2', '3']",Viehmarkt,residential,30,True,78.29,"LINESTRING (11.4567267 49.2770395, 11.4567284 49.2770819, 11.4567313 49.277102, 11.4567342 49.2771161, 11.4567379 49.2771305, 11.4567435 49.2771424, 11.4567505 49.2771539, 11.456768 49.2771758, 11.4567911 49.2771991, 11.4568193 49.277223, 11.4568767 49.2772671, 11.4569402 49.2773146, 11.4570729 49.2774194, 11.4573154 49.2776109)",,,,
"[1186051938, 1131207623]",False,"['2', '3']",Ringstraße,secondary,50,True,52.875,"LINESTRING (11.4567267 49.2770395, 11.4572625 49.2770263, 11.4573259 49.2770244, 11.457455 49.2770207)",St 2240,,,
60813466,False,3,Badstraße,secondary,50,True,17.631,"LINESTRING (11.4618218 49.2772271, 11.4617291 49.2772258, 11.4616496 49.2772231, 11.4615794 49.2772175)",St 2240,,,
513130994,False,2,Badstraße,secondary,50,False,10.281,"LINESTRING (11.4618218 49.2772271, 11.4618805 49.2772244, 11.4619223 49.27722, 11.4619618 49.2772141)",St 2240,,,
37417060,False,2,Seelstraße,residential,30,False,82.392,"LINESTRING (11.4654576 49.2801276, 11.4648597 49.2794976)",,,,
1135795750,False,,Sandstraße,residential,30,True,147.998,"LINESTRING (11.4654576 49.2801276, 11.4654125 49.2801345, 11.4640152 49.2803279, 11.463462 49.2804045)",,,,
