osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width
8039767,K 8703,Bahnhofstraße,tertiary,False,False,230.034,"LINESTRING (14.0790814 51.0486105, 14.079124 51.0485834, 14.0791715 51.0485532, 14.0791996 51.0485336, 14.0792388 51.0484688, 14.0792432 51.048444, 14.0792589 51.0483553, 14.0792772 51.0482525, 14.0792833 51.0482178, 14.0792904 51.048178, 14.0793222 51.0480051, 14.0793276 51.0479758, 14.0793741 51.0477226, 14.0793777 51.0477078, 14.0794725 51.0473216, 14.0795333 51.0470834, 14.0795606 51.0470152, 14.079725 51.0466039)",,,
"[384283329, 76086277]",S 164,Pirnaer Landstraße,secondary,False,True,236.74199999999996,"LINESTRING (14.0790814 51.0486105, 14.0789406 51.048529, 14.0784346 51.0482443, 14.0781155 51.0480648, 14.0777749 51.0478739, 14.0777146 51.0478386, 14.0775133 51.0477271, 14.0774936 51.0477176, 14.0772786 51.0475954, 14.0771808 51.0475406, 14.0765575 51.047191)",2,"['50', '30']",
504560135,S 164,Pirnaer Landstraße,secondary,False,False,29.59,"LINESTRING (14.0790814 51.0486105, 14.0791247 51.0486828, 14.0791528 51.0487448, 14.0791639 51.048869)",2,50,
23470179,,Kirschallee,residential,False,False,14.586,"LINESTRING (14.079725 51.0466039, 14.0799188 51.0466525)",,,
8039767,K 8703,Bahnhofstraße,tertiary,False,False,49.806,"LINESTRING (14.079725 51.0466039, 14.079976 51.0462134, 14.0799919 51.0461886)",,,
8039767,K 8703,Bahnhofstraße,tertiary,False,True,230.03400000000002,"LINESTRING (14.079725 51.0466039, 14.0795606 51.0470152, 14.0795333 51.0470834, 14.0794725 51.0473216, 14.0793777 51.0477078, 14.0793741 51.0477226, 14.0793276 51.0479758, 14.0793222 51.0480051, 14.0792904 51.048178, 14.0792833 51.0482178, 14.0792772 51.0482525, 14.0792589 51.0483553, 14.0792432 51.048444, 14.0792388 51.0484688, 14.0791996 51.0485336, 14.0791715 51.0485532, 14.079124 51.0485834, 14.0790814 51.0486105)",,,
16081281,,Dresdner Straße,residential,False,False,48.13,"LINESTRING (14.0791639 51.048869, 14.0791881 51.0488711, 14.079238 51.0488756, 14.0798462 51.048927)",,50,
23452440,S 164,Neustädter Straße,secondary,True,False,165.34499999999997,"LINESTRING (14.0791639 51.048869, 14.0790649 51.0492379, 14.079058 51.0493109, 14.079058 51.0493782, 14.0790647 51.0494312, 14.0790678 51.0494556, 14.079075 51.0495125, 14.0791134 51.0496445, 14.0791442 51.0497196, 14.0791732 51.0497778, 14.079223 51.0498713, 14.079273 51.0499475, 14.0793739 51.0500947, 14.0794299 51.050185, 14.0794151 51.0502765, 14.0793998 51.0503099)",1,50,
504560135,S 164,Pirnaer Landstraße,secondary,False,True,29.59,"LINESTRING (14.0791639 51.048869, 14.0791528 51.0487448, 14.0791247 51.0486828, 14.0790814 51.0486105)",2,50,
16081281,,Dresdner Straße,residential,False,True,48.13,"LINESTRING (14.0798462 51.048927, 14.079238 51.0488756, 14.0791881 51.0488711, 14.0791639 51.048869)",,50,
