osmid,oneway,lanes,ref,name,highway,width,reversed,length,geometry,maxspeed,bridge
918002433,False,1,L 74,Markt,secondary,4,False,26.122,"LINESTRING (13.6100411 52.1362415, 13.6099822 52.1362551, 13.6099024 52.1362763, 13.6097992 52.1363103, 13.6097382 52.1363225, 13.6096868 52.13632)",,
"[10254662, 1192824713, 723079602, 29054548, 934684568, 934684569, 934684570, 934684571]",False,2,L 74,"['Poststraße', 'Kastanienallee']",secondary,"['4', '5']",True,372.141,"LINESTRING (13.6100411 52.1362415, 13.6101809 52.1362251, 13.6104795 52.1361706, 13.6108174 52.1360942, 13.6108616 52.1360898, 13.6110533 52.1360705, 13.6111812 52.1360629, 13.6113232 52.1360598, 13.6116818 52.1360601, 13.6118767 52.1360559, 13.6120714 52.1360318, 13.6121876 52.1360039, 13.6123155 52.1359577, 13.6123455 52.1359449, 13.6124536 52.1358989, 13.6126799 52.135776, 13.6127111 52.1357591, 13.6127564 52.1357364, 13.6131588 52.1355011, 13.6134466 52.1353328, 13.6139017 52.1350711, 13.6142004 52.134909, 13.6142585 52.1348774, 13.6143216 52.1348432, 13.614342 52.1348322, 13.6144789 52.1347648, 13.6146361 52.1346959)",50,yes
"[26654546, 623077219]",True,1,L 74,Markt,secondary,4,False,78.80499999999999,"LINESTRING (13.6096316 52.1355838, 13.6097326 52.1358133, 13.609862 52.1360079, 13.6098927 52.1360644, 13.6099166 52.136107, 13.6099765 52.1361931, 13.6100411 52.1362415)",,
"[29054552, 26654547, 934684572, 29054551]",False,2,L 74,"['Baruther Straße', 'Gutzmannstraße']",secondary,"['4.5', '3']",False,297.0489999999999,"LINESTRING (13.6096316 52.1355838, 13.6095995 52.1354574, 13.6095635 52.1353392, 13.6095287 52.1351959, 13.6094764 52.1349973, 13.6094295 52.1348437, 13.6094011 52.1347564, 13.6093647 52.1346182, 13.609353 52.1345269, 13.6093474 52.1344309, 13.6093467 52.1342323, 13.6093458 52.1339917, 13.6093153 52.1338709, 13.6092966 52.1338092, 13.6092349 52.1336165, 13.6090415 52.1330121, 13.6090198 52.1329457)",30,yes
25661155,False,,,Lindenstraße,residential,,False,136.511,"LINESTRING (13.6146361 52.1346959, 13.61454 52.134637, 13.6144345 52.1345683, 13.6143363 52.1344978, 13.614253 52.134424, 13.6141798 52.1343429, 13.6141256 52.134278, 13.6140441 52.1341803, 13.6138967 52.1339909, 13.613764 52.1338082, 13.6136391 52.1336431)",,
"[1192824712, 10259612]",False,2,L 74,Buchholzer Straße,secondary,5,False,197.82300000000004,"LINESTRING (13.6146361 52.1346959, 13.6148793 52.1345947, 13.6150302 52.134534, 13.6153362 52.134411, 13.6154094 52.1343822, 13.6155656 52.134319, 13.6157185 52.1342536, 13.6158782 52.1341803, 13.6160416 52.1340957, 13.6161909 52.1339917, 13.6163109 52.1338895, 13.6165757 52.1336516, 13.6167378 52.1335082)",50,
"[10254662, 1192824713, 723079602, 29054548, 934684568, 934684569, 934684570, 934684571]",False,2,L 74,"['Poststraße', 'Kastanienallee']",secondary,"['4', '5']",False,372.14099999999996,"LINESTRING (13.6146361 52.1346959, 13.6144789 52.1347648, 13.614342 52.1348322, 13.6143216 52.1348432, 13.6142585 52.1348774, 13.6142004 52.134909, 13.6139017 52.1350711, 13.6134466 52.1353328, 13.6131588 52.1355011, 13.6127564 52.1357364, 13.6127111 52.1357591, 13.6126799 52.135776, 13.6124536 52.1358989, 13.6123455 52.1359449, 13.6123155 52.1359577, 13.6121876 52.1360039, 13.6120714 52.1360318, 13.6118767 52.1360559, 13.6116818 52.1360601, 13.6113232 52.1360598, 13.6111812 52.1360629, 13.6110533 52.1360705, 13.6108616 52.1360898, 13.6108174 52.1360942, 13.6104795 52.1361706, 13.6101809 52.1362251, 13.6100411 52.1362415)",50,yes
"[10257904, 622579747]",True,1,L 74,Markt,secondary,4,False,84.995,"LINESTRING (13.6096868 52.13632, 13.6096539 52.1363123, 13.6096148 52.1362913, 13.6095954 52.1362586, 13.6095915 52.1361895, 13.6096012 52.1360781, 13.6096106 52.136013, 13.6096386 52.1358246, 13.6096316 52.1355838)",,
26654548,False,,,Kirchstraße,living_street,,False,96.645,"LINESTRING (13.6096868 52.13632, 13.6096106 52.136418, 13.6095684 52.1364763, 13.609514 52.1365062, 13.6091101 52.136626, 13.6090448 52.1366447, 13.6085997 52.136834)",,
918002433,False,1,L 74,Markt,secondary,4,True,26.122,"LINESTRING (13.6096868 52.13632, 13.6097382 52.1363225, 13.6097992 52.1363103, 13.6099024 52.1362763, 13.6099822 52.1362551, 13.6100411 52.1362415)",,
