osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,tunnel,bridge,access
34588566,Alte Steige,residential,False,False,115.06700000000001,"LINESTRING (9.9826065 49.2028122, 9.9824711 49.2027743, 9.9822195 49.2027361, 9.9820962 49.2027287, 9.9819508 49.2027538, 9.9817444 49.2028092, 9.9815421 49.2029032, 9.9813891 49.2029667, 9.981346 49.203064, 9.9813433 49.2031269)",,,,,,
"[1007247040, 1007247041, 715857516, 1007247038, 1007247039]",Hohenloher Straße,secondary,False,False,221.80400000000003,"LINESTRING (9.9826065 49.2028122, 9.9826381 49.2027159, 9.9826689 49.2026241, 9.9827246 49.2025137, 9.9827783 49.2024287, 9.9828971 49.2022983, 9.9832089 49.2020264, 9.9832363 49.2019637, 9.9832264 49.2019129, 9.9832048 49.201874, 9.9831674 49.2018449, 9.9830741 49.201816, 9.983013 49.2018232, 9.9829439 49.2018459, 9.9828519 49.2018948, 9.9825141 49.2020944, 9.9823434 49.2021737, 9.9822848 49.2021979, 9.9821643 49.2022358, 9.982093 49.2022526, 9.9820106 49.2022576)",2,L 1040,50,,,
"[36603363, 1007247036, 1007247035, 36574959]",Hohenloher Straße,secondary,False,True,276.19800000000004,"LINESTRING (9.9826065 49.2028122, 9.9825864 49.2029335, 9.9825919 49.2030973, 9.9826225 49.203243, 9.9827221 49.203429, 9.9828637 49.203643, 9.9829581 49.2037592, 9.9831364 49.2039288, 9.9834288 49.2042189, 9.9842252 49.2049971)",,L 1040,50,,,
35340196,Crailsheimer Straße,secondary,False,False,57.072,"LINESTRING (9.9816544 49.2020695, 9.9816524 49.2019997, 9.9816822 49.2018934, 9.9817794 49.2017325, 9.9818827 49.2015848)",3,L 1040,50,,,
36139564,Crailsheimer Straße,tertiary,False,True,72.80600000000001,"LINESTRING (9.9816544 49.2020695, 9.9815824 49.2020784, 9.9815422 49.2020834, 9.9814317 49.2021322, 9.9813034 49.2022358, 9.981141 49.2024374, 9.9810376 49.2025507)",,K 2664,50,,,
144906852,Hohenloher Straße,secondary,False,True,35.592,"LINESTRING (9.9816544 49.2020695, 9.9817271 49.2021641, 9.9818303 49.2022264, 9.9819267 49.2022491, 9.9820106 49.2022576)",2,L 1040,50,,,
"[1183302489, 35340197]",Lendsiedler Straße,tertiary,False,False,137.325,"LINESTRING (9.9779474 49.2020005, 9.9781912 49.2019003, 9.9784981 49.201753, 9.9786974 49.2015962, 9.978892 49.2014071, 9.978998 49.2013254, 9.9791807 49.2012397, 9.9793515 49.2012279)",,K 2664,50,,,
144906852,Hohenloher Straße,secondary,False,False,35.592,"LINESTRING (9.9820106 49.2022576, 9.9819267 49.2022491, 9.9818303 49.2022264, 9.9817271 49.2021641, 9.9816544 49.2020695)",2,L 1040,50,,,
"[720874416, 35340069]",Frankenplatz,residential,False,True,89.69200000000001,"LINESTRING (9.9820106 49.2022576, 9.9819397 49.2023679, 9.98186 49.2024431, 9.9818269 49.2024567, 9.9815198 49.2025829, 9.9813757 49.2026165, 9.98121 49.2026018, 9.9810376 49.2025507)",,,,,,
"[1007247040, 1007247041, 715857516, 1007247038, 1007247039]",Hohenloher Straße,secondary,False,True,221.80399999999997,"LINESTRING (9.9820106 49.2022576, 9.982093 49.2022526, 9.9821643 49.2022358, 9.9822848 49.2021979, 9.9823434 49.2021737, 9.9825141 49.2020944, 9.9828519 49.2018948, 9.9829439 49.2018459, 9.983013 49.2018232, 9.9830741 49.201816, 9.9831674 49.2018449, 9.9832048 49.201874, 9.9832264 49.2019129, 9.9832363 49.2019637, 9.9832089 49.2020264, 9.9828971 49.2022983, 9.9827783 49.2024287, 9.9827246 49.2025137, 9.9826689 49.2026241, 9.9826381 49.2027159, 9.9826065 49.2028122)",2,L 1040,50,,,
127068351,Gaggstatter Straße,residential,False,True,51.653000000000006,"LINESTRING (9.9865757 49.2069838, 9.9867466 49.2070271, 9.9872661 49.2070877)",,,,,,
165510987,Rothenburger Straße,secondary,False,False,43.888,"LINESTRING (9.9865757 49.2069838, 9.9865167 49.206992, 9.9864325 49.206988, 9.9860812 49.2069161, 9.9859944 49.2068977)",,L 1040,50,,,
"[1007247032, 1007247033]",Rothenburger Straße,secondary,False,True,97.023,"LINESTRING (9.9865757 49.2069838, 9.9867703 49.2069036, 9.9868686 49.2068431, 9.9876326 49.2064522)",,L 1040,50,,,
29887273,Frankenplatz,residential,False,False,20.545,"LINESTRING (9.9808153 49.2026999, 9.9808234 49.2028001, 9.9808757 49.2028773)",,,,,,
"[709879100, 1183302479]",Crailsheimer Straße,tertiary,False,False,23.191,"LINESTRING (9.9808153 49.2026999, 9.9809363 49.2026272, 9.9810376 49.2025507)",,K 2664,50,,,
"[36585480, 1183302480, 503932469, 1183302486, 1183302487, 1183302488, 1183302485]","['Frankenplatz', 'Lendsiedler Straße']",tertiary,False,True,210.00700000000003,"LINESTRING (9.9808153 49.2026999, 9.9807448 49.2027209, 9.9806949 49.2027227, 9.9806431 49.2027198, 9.9805956 49.2027113, 9.9805421 49.2026936, 9.9804319 49.2026096, 9.9801832 49.2023479, 9.9800221 49.2021733, 9.9798955 49.2020313, 9.9798061 49.2018234, 9.9797178 49.2016046, 9.9796565 49.2014752, 9.9795233 49.2012879, 9.9794471 49.2012497, 9.9793515 49.2012279)",,K 2664,50,,,
29887273,Frankenplatz,residential,False,True,20.545,"LINESTRING (9.9808757 49.2028773, 9.9808234 49.2028001, 9.9808153 49.2026999)",,,,,,
