osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,access,bridge,junction
41872870,True,B 456,Frankfurter Straße,primary_link,50,False,50.875,"LINESTRING (8.5393259 50.3329491, 8.5394766 50.3328723, 8.5396129 50.3327811, 8.5397026 50.332694, 8.5397692 50.3325989)",,,,
"[330762369, 201931863]",False,B 275;B 456,Untergasse,primary,"['50', '30']",True,73.394,"LINESTRING (8.5393259 50.3329491, 8.5391265 50.3330038, 8.5388876 50.3330712, 8.5383771 50.3332115)","['2', '3']",,,
331877436,False,B 275;B 456,Untergasse,primary,50,False,46.469,"LINESTRING (8.5393259 50.3329491, 8.5394964 50.3329071, 8.5396701 50.3328711, 8.5398142 50.3328548, 8.5399559 50.3328427)",2,,,
83535973,True,,,primary_link,30,False,31.906,"LINESTRING (8.5364199 50.334256, 8.5365068 50.3342538, 8.5365934 50.334258, 8.5366788 50.3342685, 8.5367687 50.3342869, 8.5368543 50.3343122)",,,,
503513923,True,B 275,Wilhelmjstraße,primary,30,False,37.701,"LINESTRING (8.5364199 50.334256, 8.5365408 50.3342122, 8.5366542 50.3341609, 8.5367498 50.3341079, 8.5368374 50.3340496)",,,,
28976416,True,,Zitzergasse,residential,30,False,85.461,"LINESTRING (8.5356628 50.3353258, 8.5358325 50.3360867)",,,,
431491972,False,B 275,Kreuzgasse,primary,30,True,41.748,"LINESTRING (8.5356628 50.3353258, 8.5350791 50.3353722)",2,,,
23820568,True,B 275,Zitzergasse,primary,30,False,104.30700000000002,"LINESTRING (8.5356628 50.3353258, 8.5356437 50.3352469, 8.5354575 50.3344805, 8.5354586 50.334451, 8.5354695 50.3344223, 8.5354848 50.3344008)",,,,
23820581,False,B 275,Kreuzgasse,primary,30,True,43.84,"LINESTRING (8.5350791 50.3353722, 8.5344716 50.3354435)",2,,,
28941614,False,,Dreihäusergasse,residential,30,False,79.523,"LINESTRING (8.5350791 50.3353722, 8.5352772 50.3360761)",,,,
431491972,False,B 275,Kreuzgasse,primary,30,False,41.748,"LINESTRING (8.5350791 50.3353722, 8.5356628 50.3353258)",2,,,
28974452,True,,Klaubergasse,living_street,,False,115.056,"LINESTRING (8.5350791 50.3353722, 8.5350308 50.3348646, 8.5350251 50.3346425, 8.5350703 50.3345681, 8.5350654 50.3344385, 8.5350973 50.3343461)",,,,
520044576,True,B 275,Wilhelmjstraße,primary,30,False,28.496,"LINESTRING (8.5360268 50.3343081, 8.5364199 50.334256)",2,,,
28974607,True,,Scheunengasse,residential,30,False,114.202,"LINESTRING (8.5360268 50.3343081, 8.536165 50.3347747, 8.5362105 50.3349495, 8.5362389 50.3351257, 8.5362544 50.3353233)",,,,
198712716,False,,Kirchgasse,residential,,False,50.028999999999996,"LINESTRING (8.5360268 50.3343081, 8.535981 50.3342323, 8.5358749 50.3338699)",,,,
23820578,True,B 275,Wilhelmjstraße,primary,30,False,40.616,"LINESTRING (8.5354848 50.3344008, 8.5355065 50.3343837, 8.535534 50.3343703, 8.5355658 50.3343616, 8.5360268 50.3343081)",2,,,
23820609,False,,Wilhelmjstraße,residential,,True,28.242,"LINESTRING (8.5354848 50.3344008, 8.5352829 50.3343811, 8.5351807 50.3343641, 8.5350973 50.3343461)",,,,
"[127288098, 331877431]",False,B 275,Nauheimer Straße,primary,50,False,83.128,"LINESTRING (8.5399559 50.3328427, 8.5401479 50.3328368, 8.5403329 50.3328417, 8.5405102 50.3328548, 8.5406527 50.3328721, 8.5411083 50.3329464)",3,,,
331877436,False,B 275;B 456,Untergasse,primary,50,True,46.469,"LINESTRING (8.5399559 50.3328427, 8.5398142 50.3328548, 8.5396701 50.3328711, 8.5394964 50.3329071, 8.5393259 50.3329491)",2,,,
690302897,True,B 456,Frankfurter Straße,primary,50,False,34.464,"LINESTRING (8.5399559 50.3328427, 8.5398615 50.3328243, 8.5398046 50.3327904, 8.5397666 50.3327372, 8.539759 50.33269, 8.5397692 50.3325989)",1,,,
38419674,False,,Bahnhofstraße,residential,30,False,138.30599999999998,"LINESTRING (8.5318722 50.3328182, 8.5323389 50.3330406, 8.5324882 50.3331118, 8.5326753 50.333201, 8.5328664 50.333292, 8.5330228 50.3333666, 8.5331355 50.3334203, 8.5334335 50.3335624)",,,,
503593633,False,,Bahnhofstraße,residential,30,True,164.24,"LINESTRING (8.5318722 50.3328182, 8.5318033 50.3327853, 8.5311526 50.3324752, 8.5305007 50.3321645, 8.5300181 50.3319345)",,,,
49804543,False,,Westerfelder Weg,residential,30,False,106.283,"LINESTRING (8.5329262 50.3327451, 8.532992 50.3328275, 8.5330475 50.3328835, 8.5331731 50.3330107, 8.5332428 50.3330757, 8.5333088 50.333132, 8.5334373 50.3332332, 8.5334854 50.3332777, 8.5335177 50.333324, 8.5335408 50.3333666, 8.5335472 50.3334061, 8.5335432 50.3334481, 8.5335244 50.3334863, 8.5334335 50.3335624)",,,,
49804543,False,,Westerfelder Weg,residential,30,True,113.19000000000001,"LINESTRING (8.5329262 50.3327451, 8.5328136 50.3326177, 8.5327318 50.3325355, 8.5323831 50.3322316, 8.5322195 50.3320741, 8.5321589 50.3320069, 8.5321189 50.3319526, 8.5320855 50.3318848)",,,,
198744792,False,,Westerfelder Weg,residential,,True,63.004999999999995,"LINESTRING (8.5329262 50.3327451, 8.5330562 50.3326715, 8.5333454 50.3324618, 8.5335139 50.3323221)",,,,
23820609,False,,Wilhelmjstraße,residential,,False,28.242,"LINESTRING (8.5350973 50.3343461, 8.5351807 50.3343641, 8.5352829 50.3343811, 8.5354848 50.3344008)",,,,
"[431491987, 431491971, 47202612]",False,,"['Bahnhofstraße', 'Wilhelmjstraße']",residential,30,True,68.189,"LINESTRING (8.5350973 50.3343461, 8.5350077 50.3343195, 8.5349205 50.3342843, 8.5346205 50.3341377, 8.5344972 50.3340779, 8.5343172 50.3339906)",,,,
714614124,False,,Blücherstraße,residential,30,True,133.605,"LINESTRING (8.5320855 50.3318848, 8.5302112 50.3317743)",,,,
28976769,True,,Blücherstraße,residential,30,False,145.126,"LINESTRING (8.5320855 50.3318848, 8.5322034 50.3318781, 8.5333864 50.331697, 8.5340183 50.3314908)",,,,
49804543,False,,Westerfelder Weg,residential,30,False,113.19000000000001,"LINESTRING (8.5320855 50.3318848, 8.5321189 50.3319526, 8.5321589 50.3320069, 8.5322195 50.3320741, 8.5323831 50.3322316, 8.5327318 50.3325355, 8.5328136 50.3326177, 8.5329262 50.3327451)",,,,
198793718,False,,Westerfelder Weg,residential,30,True,147.10399999999998,"LINESTRING (8.5320855 50.3318848, 8.5320607 50.3318187, 8.5316025 50.3305983)",,,,
5194571,False,,Ostpreußenstraße,residential,30,True,127.44200000000001,"LINESTRING (8.5340183 50.3314908, 8.5337163 50.3310909, 8.5332044 50.3304694)",,,,
28976772,False,,Blücherstraße,residential,30,False,107.288,"LINESTRING (8.5340183 50.3314908, 8.5341527 50.3314551, 8.5348692 50.3313421, 8.5354809 50.3312517)",,,,
5194572,False,,Schlesienstraße,residential,30,True,114.606,"LINESTRING (8.5332044 50.3304694, 8.5316025 50.3305983)",,,,
5194571,False,,Ostpreußenstraße,residential,30,False,127.44200000000001,"LINESTRING (8.5332044 50.3304694, 8.5337163 50.3310909, 8.5340183 50.3314908)",,,,
5194571,False,,Ostpreußenstraße,residential,30,True,70.113,"LINESTRING (8.5332044 50.3304694, 8.5330698 50.3302892, 8.5328583 50.32988)",,,,
"[690413952, 28976772]",False,,Blücherstraße,residential,30,False,258.711,"LINESTRING (8.5354809 50.3312517, 8.5359102 50.3311881, 8.5362226 50.3311132, 8.5363957 50.3310888, 8.5365052 50.3310743, 8.5366726 50.3310643, 8.5386455 50.3311291, 8.5388675 50.331164, 8.5390753 50.3311782)",,,,
28976772,False,,Blücherstraße,residential,30,True,107.288,"LINESTRING (8.5354809 50.3312517, 8.5348692 50.3313421, 8.5341527 50.3314551, 8.5340183 50.3314908)",,,,
5194571,False,,Ostpreußenstraße,residential,30,True,106.942,"LINESTRING (8.5328583 50.32988, 8.5313544 50.3299373)",,,,
5194571,False,,Ostpreußenstraße,residential,30,False,70.113,"LINESTRING (8.5328583 50.32988, 8.5330698 50.3302892, 8.5332044 50.3304694)",,,,
5194572,False,,Schlesienstraße,residential,30,False,114.606,"LINESTRING (8.5316025 50.3305983, 8.5332044 50.3304694)",,,,
198793717,False,,Westerfelder Weg,residential,30,True,60.384,"LINESTRING (8.5316025 50.3305983, 8.5314043 50.3300702)",,,,
198793718,False,,Westerfelder Weg,residential,30,False,147.10399999999998,"LINESTRING (8.5316025 50.3305983, 8.5320607 50.3318187, 8.5320855 50.3318848)",,,,
"[331877417, 48133326, 139828687]",False,B 456,Frankfurter Straße,primary,50,False,156.20600000000002,"LINESTRING (8.5390753 50.3311782, 8.5390993 50.3312603, 8.5391599 50.3313919, 8.5392438 50.3315407, 8.5393532 50.3317023, 8.5395445 50.3319716, 8.539632 50.3321112, 8.539701 50.3322312, 8.5397458 50.3323266, 8.5397819 50.3324198, 8.5398108 50.3324981)","['2', '3']",,,
48133326,False,B 456,Frankfurter Straße,primary,50,True,48.159000000000006,"LINESTRING (8.5390753 50.3311782, 8.5390654 50.3311015, 8.5390728 50.3310167, 8.5390886 50.3309579, 8.539113 50.3308999, 8.5391409 50.3308512, 8.5391772 50.3308012, 8.5392143 50.3307635)",2,,,
"[690413952, 28976772]",False,,Blücherstraße,residential,30,True,258.71099999999996,"LINESTRING (8.5390753 50.3311782, 8.5388675 50.331164, 8.5386455 50.3311291, 8.5366726 50.3310643, 8.5365052 50.3310743, 8.5363957 50.3310888, 8.5362226 50.3311132, 8.5359102 50.3311881, 8.5354809 50.3312517)",,,,
5194577,False,,Blücherstraße,residential,50,False,22.476,"LINESTRING (8.5300181 50.3319345, 8.5302112 50.3317743)",,,,
503593633,False,,Bahnhofstraße,residential,30,False,164.24,"LINESTRING (8.5300181 50.3319345, 8.5305007 50.3321645, 8.5311526 50.3324752, 8.5318033 50.3327853, 8.5318722 50.3328182)",,,,
5194577,False,,Blücherstraße,residential,50,True,22.476,"LINESTRING (8.5302112 50.3317743, 8.5300181 50.3319345)",,,,
714614124,False,,Blücherstraße,residential,30,False,133.605,"LINESTRING (8.5302112 50.3317743, 8.5320855 50.3318848)",,,,
