osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,bridge
48367417,4,L 1142,An der Talaue,tertiary,50,False,True,10.489,"LINESTRING (9.3223912 48.8318565, 9.3225035 48.8317979)",,,
48373013,2,,Alte Bundesstraße,secondary,50,True,False,30.318,"LINESTRING (9.3223912 48.8318565, 9.3220928 48.8316674)",,,
967567983,3,L 1142,An der Talaue,tertiary,50,True,False,22.322,"LINESTRING (9.3223912 48.8318565, 9.3222778 48.8319484, 9.3222068 48.8320162)",,,
47933897,5,L 1142,Schorndorfer Straße,tertiary,,False,False,11.499,"LINESTRING (9.3185082 48.8293974, 9.3186252 48.8293284)",,,
120396460,4,,Alter Postplatz,tertiary,50,False,True,27.553,"LINESTRING (9.3185082 48.8293974, 9.3182155 48.8295532)",,,
47933900,2,L 1193,Alte Bundesstraße,secondary,50,True,False,28.402,"LINESTRING (9.3185082 48.8293974, 9.3184043 48.8293315, 9.3183545 48.8292758, 9.3182959 48.8291881)",,,
"[22940782, 1160572982, 414638239]",3,L 1193,Alte Bundesstraße,secondary,50,True,False,94.72600000000001,"LINESTRING (9.3189769 48.8282871, 9.3188148 48.8284658, 9.3187363 48.8285522, 9.3185486 48.828732, 9.3185246 48.8287582, 9.3184535 48.8288357, 9.3184356 48.8288776, 9.3184187 48.8289169, 9.3184145 48.8289636, 9.3184083 48.8289943, 9.3184029 48.8290358)",,,
4488225,2,L 1142,Talstraße,tertiary,50,False,False,135.912,"LINESTRING (9.3122399 48.8356661, 9.3123404 48.835776, 9.3126504 48.8361148, 9.3129736 48.8365428, 9.3131727 48.8367202)",,,
4488225,2,L 1142,Talstraße,tertiary,50,False,True,62.833000000000006,"LINESTRING (9.3122399 48.8356661, 9.3120587 48.8355855, 9.3119637 48.8355433, 9.3114755 48.8354159)",,,
27662535,,,Unterer Rosberg,residential,30,False,False,8.514,"LINESTRING (9.3158252 48.8367698, 9.3159253 48.8368088)",,,
778029804,2,L 1142,Neustädter Straße,tertiary,50,False,True,16.711,"LINESTRING (9.3158252 48.8367698, 9.3159487 48.8366434)",,,
4488433,2,,Winnender Straße,residential,30,False,False,10.757,"LINESTRING (9.3205674 48.8335593, 9.3204466 48.8335042)",,,
"[1017422793, 217135982]",2,,Alte Winnender Steige,residential,30,False,True,160.485,"LINESTRING (9.3205674 48.8335593, 9.3205983 48.83364, 9.320777 48.8338477, 9.3208169 48.8339296, 9.3208262 48.8340218, 9.3207851 48.8341054, 9.3204647 48.8345028, 9.3202591 48.8348847)",,,
"[1017422795, 1265537468, 24830899]","['2', '1']",L 1142,Neustädter Straße,tertiary,50,True,False,70.78200000000001,"LINESTRING (9.3205674 48.8335593, 9.320425 48.8336784, 9.3202135 48.8337981, 9.3198566 48.8339869)",,,
1017422813,,,Winnender Straße,residential,30,True,False,33.937,"LINESTRING (9.3205674 48.8335593, 9.3206932 48.8334991, 9.3207963 48.8335049, 9.3210002 48.8335164)",,,
31312029,,,Kurze Straße,living_street,,False,True,28.106,"LINESTRING (9.3176751 48.8333743, 9.3176927 48.8331218)",,,
397200539,,,Lange Straße,residential,20,True,False,16.562,"LINESTRING (9.3176751 48.8333743, 9.3174581 48.8333321)",,,
4488434,,,Lange Straße,residential,20,False,True,36.191,"LINESTRING (9.3176751 48.8333743, 9.3179296 48.833433, 9.3181458 48.8334735)",,,
717375069,,,Lange Straße,residential,20,True,False,4.979,"LINESTRING (9.3166811 48.8332172, 9.3166168 48.8332026)",,,
22997920,,,Mittlere Sackgasse,living_street,,False,False,36.599000000000004,"LINESTRING (9.3166811 48.8332172, 9.3167181 48.8333201, 9.3167697 48.8335409)",,,
31312034,,,Weingärtner Vorstadt,residential,30,False,False,28.232999999999997,"LINESTRING (9.3154082 48.8333496, 9.3152702 48.8333051, 9.3151092 48.8331951)",,,
113555535,,,Weingärtner Vorstadt,living_street,,False,True,80.784,"LINESTRING (9.3154082 48.8333496, 9.3154623 48.8334564, 9.31549 48.8334814, 9.3155063 48.8334961, 9.3160113 48.8339527)",,,
