osmid,oneway,ref,name,highway,reversed,length,maxspeed,geometry,lanes,bridge,access,width,tunnel
300890782,True,K 2354,Friedrichsruher Straße,tertiary,False,24.547,,"LINESTRING (9.578368 49.2052058, 9.5781135 49.205351)",,,,,
727605176,False,L 1051,Öhringer Straße,secondary,False,13.988,50,"LINESTRING (9.578368 49.2052058, 9.578187 49.2051629)",,,,,
342499411,False,L 1051,Öhringer Straße,secondary,True,29.562,50,"LINESTRING (9.578368 49.2052058, 9.5786478 49.205206, 9.5787747 49.2052108)",,,,,
1088831400,False,L 1051,Öhringer Straße,secondary,True,15.58,50,"LINESTRING (9.5798119 49.2061486, 9.5799292 49.2062659)",,,,,
"[32030412, 30979165]",False,L 1051,Öhringer Straße,secondary,False,132.507,50,"LINESTRING (9.5798119 49.2061486, 9.57966 49.2059897, 9.5796275 49.2059525, 9.5795571 49.2058644, 9.5794773 49.2057645, 9.579328 49.2055767, 9.5791669 49.205379, 9.5790712 49.205307, 9.5789477 49.2052499, 9.5787747 49.2052108)",,,,,
723894190,True,K 2356,Südtangente,tertiary_link,False,32.032,50,"LINESTRING (9.5798119 49.2061486, 9.5799447 49.2061183, 9.5800047 49.2061113, 9.5800914 49.2061168, 9.5802272 49.2061617)",,,,,
32030174,False,K 2356,Nordtangente,tertiary,True,196.46400000000006,,"LINESTRING (9.5834075 49.206347, 9.5831619 49.2063698, 9.5830941 49.2063811, 9.5828571 49.2064191, 9.5827293 49.2064554, 9.5826133 49.2065045, 9.5825241 49.2065544, 9.5824427 49.2066055, 9.5823596 49.2066586, 9.5822798 49.2067267, 9.5821707 49.2068352, 9.5820584 49.206948, 9.5819933 49.2070204, 9.5819167 49.2070874, 9.5817473 49.2072017, 9.5816194 49.2072805, 9.5815194 49.2073246, 9.5814111 49.2073645, 9.5813555 49.2073815)",2,,,,
"[126109266, 171613411]",False,,Kirchensaller Straße,residential,True,28.722,,"LINESTRING (9.5834075 49.206347, 9.5834197 49.2063987, 9.5834965 49.206558, 9.5835312 49.2065897)",,,,,
40363168,False,,Öhringer Straße,residential,False,12.089,,"LINESTRING (9.5737448 49.2016916, 9.5738615 49.2016141)",,,,,
"[40112412, 40112413]",False,L 1051,Öhringer Straße,secondary,True,205.36100000000002,50,"LINESTRING (9.5737448 49.2016916, 9.5741401 49.2019979, 9.5745047 49.2023381, 9.574728 49.2025465, 9.5751302 49.2029015, 9.5754375 49.2031694)",2,,,,
4720226,False,L 1051,Öhringer Straße,secondary,True,115.80399999999999,50,"LINESTRING (9.5770367 49.2044488, 9.5772644 49.2046309, 9.5775814 49.2048463, 9.5776741 49.204899, 9.5780619 49.2051112, 9.578187 49.2051629)",2,,,,
24524556,False,K 2354,Am Schwanensee,tertiary,False,96.82499999999999,,"LINESTRING (9.5770367 49.2044488, 9.5772501 49.2036909, 9.5772927 49.2035947)",,,,,
"[966143384, 363369269, 363369270]",False,L 1051,Öhringer Straße,secondary,False,183.72,50,"LINESTRING (9.5770367 49.2044488, 9.5765073 49.2040497, 9.5764009 49.2039669, 9.5754375 49.2031694)",2,yes,,,
24524558,False,,Amselweg,residential,True,109.679,,"LINESTRING (9.5797855 49.2016638, 9.5810401 49.2020251, 9.5811715 49.2020538)",,,,,
35138666,False,L 1051,Öhringer Straße,secondary,False,38.734,50,"LINESTRING (9.5807615 49.2075216, 9.5807199 49.2074103, 9.5806212 49.2071856)",3,,,,
337794275,True,,,tertiary_link,False,27.488,,"LINESTRING (9.5807615 49.2075216, 9.5808072 49.207457, 9.5809145 49.2074184, 9.5810566 49.2073939)",,,,,
33071581,False,,Buchenstraße,residential,False,62.02,,"LINESTRING (9.574454 49.2060827, 9.5746084 49.2061161, 9.5747418 49.2061516, 9.5748516 49.2061852, 9.5749633 49.2062246, 9.575005 49.2062483, 9.5750315 49.2062634, 9.5750398 49.2062709, 9.5750958 49.2063213, 9.5751539 49.2063736)",,,,,
33071581,False,,Buchenstraße,residential,False,79.589,,"LINESTRING (9.5751539 49.2063736, 9.5751653 49.2064196, 9.5751898 49.2065187, 9.5751632 49.2065834, 9.575093 49.2067547, 9.5750844 49.2067666, 9.5749725 49.2069214, 9.574881 49.2070481)",,,,,
33071581,False,,Buchenstraße,residential,True,62.02,,"LINESTRING (9.5751539 49.2063736, 9.5750958 49.2063213, 9.5750398 49.2062709, 9.5750315 49.2062634, 9.575005 49.2062483, 9.5749633 49.2062246, 9.5748516 49.2061852, 9.5747418 49.2061516, 9.5746084 49.2061161, 9.574454 49.2060827)",,,,,
33071604,False,,Ziegelweg,residential,False,65.715,,"LINESTRING (9.5751539 49.2063736, 9.5753448 49.206353, 9.5760551 49.2063749)",,,,,
33071582,False,,Lindenstraße,residential,True,42.562,,"LINESTRING (9.574881 49.2070481, 9.575391 49.2072365)",,,,,
33071581,False,,Buchenstraße,residential,True,79.58900000000001,,"LINESTRING (9.574881 49.2070481, 9.5749725 49.2069214, 9.5750844 49.2067666, 9.575093 49.2067547, 9.5751632 49.2065834, 9.5751898 49.2065187, 9.5751653 49.2064196, 9.5751539 49.2063736)",,,,,
33071582,False,,Lindenstraße,residential,False,91.362,,"LINESTRING (9.574881 49.2070481, 9.57472 49.207119, 9.5746527 49.2071531, 9.574307 49.2073285, 9.5741289 49.2074189, 9.5740998 49.2074336, 9.5738431 49.2075038)",,,,,
33071582,False,,Lindenstraße,residential,False,42.562,,"LINESTRING (9.575391 49.2072365, 9.574881 49.2070481)",,,,,
170280984,False,K 2354,Friedrichsruher Straße,tertiary,False,59.135,,"LINESTRING (9.575391 49.2072365, 9.5758282 49.2067879)",,,,,
33071582,False,,Lindenstraße,residential,True,91.36200000000001,,"LINESTRING (9.5738431 49.2075038, 9.5740998 49.2074336, 9.5741289 49.2074189, 9.574307 49.2073285, 9.5746527 49.2071531, 9.57472 49.207119, 9.574881 49.2070481)",,,,,
33071584,False,,Fichtenstraße,residential,True,80.369,,"LINESTRING (9.5738431 49.2075038, 9.5739023 49.2077622, 9.5738339 49.2080039, 9.5737497 49.2081333, 9.5737047 49.2082024)",,,,,
33071584,False,,Fichtenstraße,residential,False,80.369,,"LINESTRING (9.5737047 49.2082024, 9.5737497 49.2081333, 9.5738339 49.2080039, 9.5739023 49.2077622, 9.5738431 49.2075038)",,,,,
33071604,False,,Ziegelweg,residential,True,65.715,,"LINESTRING (9.5760551 49.2063749, 9.5753448 49.206353, 9.5751539 49.2063736)",,,,,
