osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width,lanes
622904334,B 32,Hauptstraße,primary,50,False,False,15.864,"LINESTRING (9.1126741 48.2888511, 9.1128853 48.2888757)",,,,
27683187,B 32,Hauptstraße,primary,50,False,True,47.875,"LINESTRING (9.1126741 48.2888511, 9.1125045 48.2888555, 9.112388 48.2888675, 9.1122078 48.2888846, 9.112035 48.2889114)",,,,
27683224,,Josengasse,residential,50,True,False,34.734,"LINESTRING (9.1126741 48.2888511, 9.1126882 48.288767, 9.1127508 48.2886555, 9.1128369 48.2885631)",,,,
108537461,,Kirchweg,residential,30,False,True,16.833,"LINESTRING (9.1152422 48.2900217, 9.1152138 48.2901719)",,,,
620861969,,Kirchweg,residential,30,False,False,87.354,"LINESTRING (9.1152422 48.2900217, 9.1152694 48.2899228, 9.1153039 48.2898222, 9.1154055 48.2895439, 9.1154889 48.2893091, 9.1155037 48.2892558)",,,,
622904349,,Bahnhofstraße,residential,30,False,True,83.582,"LINESTRING (9.1152422 48.2900217, 9.1146894 48.289962, 9.1142482 48.2899143, 9.1141264 48.2899044)",,,,
603882753,B 32,Hauptstraße,primary,50,False,True,17.467,"LINESTRING (9.1155037 48.2892558, 9.1154079 48.2892201, 9.1152949 48.2891826)",,,,
620861960,B 32,Hauptstraße,primary,50,False,False,118.832,"LINESTRING (9.1155037 48.2892558, 9.1163019 48.2895471, 9.1169118 48.2897699)",,,,
620861969,,Kirchweg,residential,30,False,True,87.35399999999998,"LINESTRING (9.1155037 48.2892558, 9.1154889 48.2893091, 9.1154055 48.2895439, 9.1153039 48.2898222, 9.1152694 48.2899228, 9.1152422 48.2900217)",,,,
30930305,K 7102,Hermannsdorfer Straße,tertiary,50,False,False,86.856,"LINESTRING (9.1152949 48.2891826, 9.1153224 48.289147, 9.1153707 48.2890969, 9.1154325 48.2890555, 9.1155025 48.289027, 9.1155855 48.2890019, 9.1157082 48.288973, 9.1157911 48.288943, 9.1158884 48.2888973, 9.1161694 48.2887332, 9.1162027 48.2887122)",,,,
