osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,maxspeed,ref,width,tunnel
"[75764498, 25041654]",True,1,Stadtstraße,living_street,False,187.893,"LINESTRING (6.241872 50.5526115, 6.2418914 50.5527102, 6.2418893 50.5527513, 6.2418719 50.5528695, 6.2418712 50.5529364, 6.2418555 50.5529686, 6.2418307 50.5530136, 6.2417875 50.5531074, 6.2417616 50.5531591, 6.2416868 50.5533296, 6.2416268 50.553427, 6.2414513 50.5536714, 6.2412917 50.5539086, 6.241198 50.554032, 6.2411774 50.5540611, 6.2410786 50.5542007)",,,,,
115159704,False,,Stadtstraße,living_street,True,23.867,"LINESTRING (6.241872 50.5526115, 6.2418214 50.5524968, 6.2417425 50.5524155)",,,,,
"[816234991, 14853207]",False,,Laufenstraße,living_street,False,89.017,"LINESTRING (6.2410786 50.5542007, 6.2408503 50.554449, 6.2408277 50.5544638, 6.2407805 50.554474, 6.2407633 50.5544792, 6.2407517 50.5544889, 6.240712 50.5545974, 6.2405559 50.5547142, 6.2405696 50.5547462, 6.2405785 50.5547774, 6.2405862 50.5547955, 6.240649 50.5548741)",,,,,
"[96698537, 14853211, 25047175]",False,,Rurstraße,living_street,False,86.851,"LINESTRING (6.2410786 50.5542007, 6.2412434 50.5542424, 6.2413009 50.5542699, 6.2414509 50.5544692, 6.2414831 50.5545716, 6.2414957 50.5545973, 6.2415394 50.5546791, 6.2415578 50.5547149, 6.2416725 50.5548418)",yes,,,,
"[27738778, 42204619, 42204620, 42204623]",False,,Laufenstraße,living_street,False,66.374,"LINESTRING (6.240649 50.5548741, 6.2406191 50.5549345, 6.2406006 50.55496, 6.2405524 50.5549963, 6.2401891 50.5552112, 6.2401248 50.5552656, 6.2400554 50.5553258)",yes,,,,
42204621,False,,Laufenstraße,living_street,False,19.283,"LINESTRING (6.240649 50.5548741, 6.2406862 50.5548895, 6.2408763 50.5549701)",,,,,
"[14853207, 816234991]",False,,Laufenstraße,living_street,True,89.01699999999998,"LINESTRING (6.240649 50.5548741, 6.2405862 50.5547955, 6.2405785 50.5547774, 6.2405696 50.5547462, 6.2405559 50.5547142, 6.240712 50.5545974, 6.2407517 50.5544889, 6.2407633 50.5544792, 6.2407805 50.554474, 6.2408277 50.5544638, 6.2408503 50.554449, 6.2410786 50.5542007)",,,,,
"[537816228, 107619837, 537821263]",False,"['2', '3']",Sankt-Vither-Straße,residential,False,213.77699999999996,"LINESTRING (6.2337525 50.5510927, 6.2338306 50.5511732, 6.2338731 50.5512289, 6.2339057 50.5512857, 6.2339728 50.5514463, 6.2342327 50.5519819, 6.2343416 50.55222, 6.2345336 50.552543, 6.2347178 50.5527983, 6.2348013 50.5528888)",,50,,,
95417831,False,,Herbert-Isaac-Straße,residential,False,352.961,"LINESTRING (6.2348013 50.5528888, 6.2350202 50.5530698, 6.2352358 50.5532513, 6.2354389 50.5533937, 6.2356398 50.5534964, 6.2357906 50.5535555, 6.2359696 50.5536075, 6.2361366 50.553637, 6.236294 50.5536473, 6.236502 50.5536441, 6.2367857 50.5536042, 6.2372817 50.5535111, 6.2380007 50.5533617, 6.2382251 50.5533089, 6.2383936 50.5532463, 6.2384898 50.5531932, 6.2385703 50.5531347, 6.2386509 50.553059, 6.2387056 50.5529724, 6.2387667 50.5528081)",,,,,
"[537816228, 107619837, 537821263]",False,"['2', '3']",Sankt-Vither-Straße,residential,True,213.77700000000004,"LINESTRING (6.2348013 50.5528888, 6.2347178 50.5527983, 6.2345336 50.552543, 6.2343416 50.55222, 6.2342327 50.5519819, 6.2339728 50.5514463, 6.2339057 50.5512857, 6.2338731 50.5512289, 6.2338306 50.5511732, 6.2337525 50.5510927)",,50,,,
25041530,False,,Eschbachstraße,tertiary,True,93.888,"LINESTRING (6.2455345 50.5549686, 6.2453547 50.5549949, 6.2449946 50.5550451, 6.2442566 50.5551971)",,30,K 2,,
25041309,False,,Unterer Kalk,residential,False,169.291,"LINESTRING (6.2352914 50.5536801, 6.2355258 50.5537451, 6.2357671 50.5538211, 6.2359124 50.5538654, 6.2360327 50.5538864, 6.2362131 50.5539059, 6.2366742 50.5539428, 6.2367317 50.5539409, 6.2368101 50.5539278, 6.2369725 50.5538914, 6.2370288 50.553883, 6.2371657 50.5538858, 6.2373595 50.5538994, 6.2375025 50.5539306, 6.237571 50.5539633)",,,,,
396441784,True,1,Unterer Kalk,residential,False,103.794,"LINESTRING (6.2352914 50.5536801, 6.2352247 50.5536205, 6.2350831 50.5535289, 6.2350289 50.5534785, 6.2349151 50.5533224, 6.2348323 50.5532211, 6.2346932 50.5530545, 6.234674 50.5530209, 6.2346705 50.5530027, 6.2346785 50.5529864, 6.2348013 50.5528888)",,,,,
25041309,False,,Unterer Kalk,residential,True,169.29099999999997,"LINESTRING (6.237571 50.5539633, 6.2375025 50.5539306, 6.2373595 50.5538994, 6.2371657 50.5538858, 6.2370288 50.553883, 6.2369725 50.5538914, 6.2368101 50.5539278, 6.2367317 50.5539409, 6.2366742 50.5539428, 6.2362131 50.5539059, 6.2360327 50.5538864, 6.2359124 50.5538654, 6.2357671 50.5538211, 6.2355258 50.5537451, 6.2352914 50.5536801)",,,,,
"[1081708648, 620930934, 396384331, 47205814]",False,,Unterer Kalk,living_street,False,139.867,"LINESTRING (6.237571 50.5539633, 6.2380886 50.5539085, 6.2381628 50.553891, 6.2382981 50.55385, 6.2384618 50.5537791, 6.2385308 50.5537631, 6.2386013 50.553753, 6.2386767 50.5537533, 6.2387601 50.5537623, 6.2388113 50.5537692, 6.2388498 50.5537744, 6.2389257 50.5537943, 6.2391063 50.5538683, 6.2391624 50.5538952, 6.2392068 50.5539292, 6.2392294 50.5539612, 6.2392394 50.553992, 6.2392446 50.5540484)",,,,,
"[25041316, 396442103]",False,1,Unterer Kalk,residential,True,129.968,"LINESTRING (6.237571 50.5539633, 6.2371704 50.5539816, 6.2370675 50.554003, 6.2368575 50.5540678, 6.2367909 50.5540826, 6.2365655 50.5541322, 6.2360877 50.5542096, 6.2359688 50.554222, 6.2359053 50.5542275, 6.2358736 50.5542431, 6.2358394 50.5542815)",,,,,
25041500,True,,Bergstraße,living_street,False,55.735,"LINESTRING (6.2395668 50.5559139, 6.2395781 50.5558312, 6.2395618 50.5557759, 6.2395107 50.5556822, 6.239366 50.5554672, 6.2393491 50.5554403)",,,,,
25041641,False,,Holzmarkt,living_street,False,69.63,"LINESTRING (6.2401734 50.5547085, 6.2401497 50.5547469, 6.2400952 50.5548957, 6.2401086 50.554976, 6.2400554 50.5553258)",,,,,
25041689,True,,Kirchstraße,living_street,False,65.249,"LINESTRING (6.2401734 50.5547085, 6.2402255 50.5546761, 6.2404077 50.5545173, 6.2405985 50.5541954)",,,,,
24772087,True,,Eschbachstraße,living_street,False,176.71500000000003,"LINESTRING (6.2442566 50.5551971, 6.2441739 50.5552302, 6.2439587 50.5552959, 6.2435918 50.5554079, 6.2433788 50.555473, 6.2430943 50.5555219, 6.24299 50.5555348, 6.2428524 50.5555402, 6.2427178 50.555538, 6.2425177 50.5555296, 6.2422322 50.5555046, 6.2420064 50.5554814, 6.2419309 50.5554816, 6.2418764 50.5554865)",,,,,
25041530,False,,Eschbachstraße,tertiary,False,93.888,"LINESTRING (6.2442566 50.5551971, 6.2449946 50.5550451, 6.2453547 50.5549949, 6.2455345 50.5549686)",,30,K 2,,
"[25041528, 96698541, 926905006, 926905007]",False,,,tertiary,False,44.347,"LINESTRING (6.2442566 50.5551971, 6.2442305 50.5551625, 6.2441395 50.5550434, 6.2440163 50.5548893, 6.2439762 50.5548403)",yes,,K 2,,
"[25041352, 25041952]",False,,"['Austraße', 'Markt']",living_street,"[False, True]",129.542,"LINESTRING (6.2439762 50.5548403, 6.2439036 50.5548309, 6.2438202 50.5548326, 6.2436138 50.5548708, 6.2433734 50.554914, 6.2432944 50.5549353, 6.2432564 50.5549564, 6.2431799 50.5550206, 6.2430955 50.5550728, 6.2430235 50.5550998, 6.242855 50.5551377, 6.24267 50.5551773, 6.242559 50.5551784, 6.2424321 50.555173, 6.2422988 50.5551605)",,,,,
