osmid,name,highway,maxspeed,width,oneway,reversed,length,ref,geometry,lanes
178606391,Mühlenweg,residential,30,5,False,False,151.603,,"LINESTRING (7.8476259 50.602052, 7.8495924 50.6015034)",
45250093,Wildenhahnstraße,residential,30,,False,False,71.438,,"LINESTRING (7.8495924 50.6015034, 7.8492617 50.6021106)",
178606391,Mühlenweg,residential,30,5,False,False,18.709,,"LINESTRING (7.8495924 50.6015034, 7.8497179 50.6013552)",
178606391,Mühlenweg,residential,30,5,False,True,151.603,,"LINESTRING (7.8495924 50.6015034, 7.8476259 50.602052)",
178606391,Mühlenweg,residential,30,5,False,True,18.709,,"LINESTRING (7.8497179 50.6013552, 7.8495924 50.6015034)",
965435008,Hauptstraße,secondary,,,False,True,7.825,L 303,"LINESTRING (7.8497179 50.6013552, 7.8496415 50.6013042)",
965435008,Hauptstraße,secondary,,,False,False,83.368,L 303,"LINESTRING (7.8497179 50.6013552, 7.8498394 50.6014364, 7.8499579 50.601514, 7.8500926 50.6015929, 7.8502955 50.6017091, 7.8503505 50.6017428, 7.8504031 50.6017821, 7.8505156 50.6019023)",
45250113,Waldstraße,residential,30,5,False,True,249.181,,"LINESTRING (7.8528683 50.5993517, 7.85238 50.5996337, 7.8519823 50.5998922, 7.8515739 50.6001396, 7.8503206 50.6009026)",
778348711,,secondary,,,True,False,51.94,L 303,"LINESTRING (7.8532778 50.6034881, 7.8538099 50.6038108)",1
"[778348713, 160397732]",Hauptstraße,secondary,,,False,True,160.711,L 303,"LINESTRING (7.8532778 50.6034881, 7.8529896 50.6033071, 7.852891 50.6032523, 7.8528112 50.6032103, 7.8526444 50.6031397, 7.8524358 50.6030615, 7.8520268 50.6029185, 7.8513813 50.6027058)",2
45250093,Wildenhahnstraße,residential,30,,False,True,71.438,,"LINESTRING (7.8492617 50.6021106, 7.8495924 50.6015034)",
45250093,Wildenhahnstraße,residential,30,,False,False,81.75399999999999,,"LINESTRING (7.8492617 50.6021106, 7.8490615 50.6025377, 7.8489155 50.6028121)",
45250114,Ringstraße,residential,30,,False,False,65.116,,"LINESTRING (7.8492617 50.6021106, 7.8493461 50.6021199, 7.8497981 50.6020179, 7.850155 50.6020079)",
45250093,Wildenhahnstraße,residential,30,,False,False,47.941,,"LINESTRING (7.8489155 50.6028121, 7.8487138 50.6032238)",
45250093,Wildenhahnstraße,residential,30,,False,True,81.75399999999999,,"LINESTRING (7.8489155 50.6028121, 7.8490615 50.6025377, 7.8492617 50.6021106)",
74760527,Bergstraße,residential,,,False,False,135.95600000000002,,"LINESTRING (7.8489155 50.6028121, 7.8493506 50.6029901, 7.8496238 50.6031929, 7.8503933 50.6035866)",
45250115,Ringstraße,residential,30,,False,False,28.028,,"LINESTRING (7.850155 50.6020079, 7.8505156 50.6019023)",
45250114,Ringstraße,residential,30,,False,True,65.116,,"LINESTRING (7.850155 50.6020079, 7.8497981 50.6020179, 7.8493461 50.6021199, 7.8492617 50.6021106)",
45250115,Ringstraße,residential,30,,False,True,95.218,,"LINESTRING (7.850155 50.6020079, 7.8502435 50.6023025, 7.8506552 50.6025177, 7.8509811 50.6024492)",
45250115,Ringstraße,residential,30,,False,True,28.028,,"LINESTRING (7.8505156 50.6019023, 7.850155 50.6020079)",
965435008,Hauptstraße,secondary,,,False,False,69.119,L 303,"LINESTRING (7.8505156 50.6019023, 7.8509811 50.6024492)",
965435008,Hauptstraße,secondary,,,False,True,83.368,L 303,"LINESTRING (7.8505156 50.6019023, 7.8504031 50.6017821, 7.8503505 50.6017428, 7.8502955 50.6017091, 7.8500926 50.6015929, 7.8499579 50.601514, 7.8498394 50.6014364, 7.8497179 50.6013552)",
965435008,Hauptstraße,secondary,,,False,True,69.119,L 303,"LINESTRING (7.8509811 50.6024492, 7.8505156 50.6019023)",
45250115,Ringstraße,residential,30,,False,False,95.21799999999999,,"LINESTRING (7.8509811 50.6024492, 7.8506552 50.6025177, 7.8502435 50.6023025, 7.850155 50.6020079)",
965435008,Hauptstraße,secondary,,,False,False,40.739,L 303,"LINESTRING (7.8509811 50.6024492, 7.8510499 50.6025213, 7.8511299 50.6025837, 7.8512463 50.6026509, 7.8513813 50.6027058)",
45250095,Bornstraße,residential,,,False,False,147.781,,"LINESTRING (7.8513813 50.6027058, 7.8513918 50.6028274, 7.8515291 50.6030191, 7.852179 50.6039264)",
"[778348713, 160397732]",Hauptstraße,secondary,,,False,False,160.711,L 303,"LINESTRING (7.8513813 50.6027058, 7.8520268 50.6029185, 7.8524358 50.6030615, 7.8526444 50.6031397, 7.8528112 50.6032103, 7.852891 50.6032523, 7.8529896 50.6033071, 7.8532778 50.6034881)",2
965435008,Hauptstraße,secondary,,,False,True,40.739,L 303,"LINESTRING (7.8513813 50.6027058, 7.8512463 50.6026509, 7.8511299 50.6025837, 7.8510499 50.6025213, 7.8509811 50.6024492)",
45250093,Wildenhahnstraße,residential,30,,False,True,47.941,,"LINESTRING (7.8487138 50.6032238, 7.8489155 50.6028121)",
45250095,Bornstraße,residential,,,False,True,147.781,,"LINESTRING (7.852179 50.6039264, 7.8515291 50.6030191, 7.8513918 50.6028274, 7.8513813 50.6027058)",
45250113,Waldstraße,residential,30,5,False,False,65.508,,"LINESTRING (7.8496415 50.6013042, 7.8503206 50.6009026)",
965435008,Hauptstraße,secondary,,,False,False,7.825,L 303,"LINESTRING (7.8496415 50.6013042, 7.8497179 50.6013552)",
74760527,Bergstraße,residential,,,False,True,135.95600000000002,,"LINESTRING (7.8503933 50.6035866, 7.8496238 50.6031929, 7.8493506 50.6029901, 7.8489155 50.6028121)",
45250113,Waldstraße,residential,30,5,False,True,65.508,,"LINESTRING (7.8503206 50.6009026, 7.8496415 50.6013042)",
793163091,Waldstraße,residential,,,False,False,48.132,,"LINESTRING (7.8503206 50.6009026, 7.8508009 50.6012099)",
45250113,Waldstraße,residential,30,5,False,False,249.18099999999998,,"LINESTRING (7.8503206 50.6009026, 7.8515739 50.6001396, 7.8519823 50.5998922, 7.85238 50.5996337, 7.8528683 50.5993517)",
793163091,Waldstraße,residential,,,False,True,48.132,,"LINESTRING (7.8508009 50.6012099, 7.8503206 50.6009026)",
778348712,,secondary,,,True,False,52.8,L 303,"LINESTRING (7.8538099 50.6038108, 7.853661 50.6037579, 7.8535378 50.6036971, 7.8534344 50.6036333, 7.8532778 50.6034881)",1
